Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Remo Pihel,36.0,4.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
2.0,Maksim Zemtšihhin,91.0,9.0,12.0,6.0,3.0,4.0,3.0,8.0,4.0,4.0,4.0,5.0,4.0,7.0,2.0,6.0,2.0,8.0
3.0,Oliver Pällo,96.0,5.0,15.0,3.0,5.0,3.0,4.0,7.0,8.0,14.0,1.0,4.0,2.0,6.0,3.0,6.0,2.0,8.0
4.0,Kaur Tuule,108.0,1.0,7.0,1.0,4.0,8.0,14.0,17.0,1.0,1.0,10.0,2.0,7.0,3.0,16.0,6.0,2.0,8.0
5.0,Erik Kippus,151.0,6.0,21.0,7.0,6.0,7.0,8.0,3.0,8.0,6.0,28.0,7.0,11.0,16.0,4.0,6.0,2.0,5.0
6.0,Jan Erik Soosaar,159.0,15.0,10.0,15.0,10.0,9.0,6.0,17.0,14.0,10.0,11.0,1.0,9.0,10.0,6.0,6.0,2.0,8.0
7.0,Ralf Marcus Veedler,195.0,24.0,25.0,9.0,8.0,5.0,5.0,17.0,12.0,19.0,2.0,10.0,30.0,8.0,5.0,6.0,2.0,8.0
8.0,Pelle Mandel,204.0,8.0,6.0,2.0,9.0,6.0,7.0,17.0,32.0,24.0,16.0,12.0,25.0,12.0,12.0,6.0,2.0,8.0
9.0,Andrei Solntsev,216.0,29.0,17.0,16.0,16.0,13.0,13.0,1.0,4.0,9.0,20.0,28.0,24.0,14.0,8.0,2.0,1.0,1.0
10.0,Andreas Pung,218.0,12.0,9.0,23.0,19.0,20.0,14.0,17.0,6.0,7.0,24.0,13.0,6.0,13.0,19.0,6.0,2.0,8.0
11.0,Gert Kevin Aamisepp,245.0,12.0,8.0,10.0,29.0,16.0,14.0,17.0,12.0,5.0,28.0,18.0,8.0,22.0,30.0,6.0,2.0,8.0
12.0,Anett Kruus,251.0,27.0,4.0,32.0,25.0,14.0,14.0,10.0,21.0,26.0,6.0,11.0,10.0,18.0,17.0,6.0,2.0,8.0
13.0,Richard-Mattias Prints,253.0,21.0,30.0,11.0,13.0,10.0,14.0,6.0,18.0,17.0,28.0,19.0,15.0,23.0,18.0,4.0,2.0,4.0
14.0,Leho Hiienurm,254.0,10.0,2.0,12.0,7.0,20.0,14.0,11.0,28.0,15.0,28.0,34.0,17.0,33.0,7.0,6.0,2.0,8.0
15.0,Uku Kruusamägi,272.0,31.0,26.0,27.0,17.0,12.0,9.0,5.0,10.0,23.0,28.0,20.0,18.0,28.0,10.0,3.0,2.0,3.0
16.0,Kait Rosenberg,283.0,7.0,19.0,4.0,1.0,1.0,1.0,17.0,27.0,33.0,28.0,9.0,46.0,45.0,29.0,6.0,2.0,8.0
17.0,Nikita Slavinski,288.0,3.0,28.0,8.0,42.0,20.0,14.0,17.0,32.0,3.0,28.0,22.0,3.0,20.0,32.0,6.0,2.0,8.0
17.0,Mike Vidrik Rätsep,288.0,26.0,14.0,35.0,26.0,20.0,14.0,17.0,21.0,32.0,7.0,14.0,21.0,11.0,14.0,6.0,2.0,8.0
19.0,Markus Sild,299.0,23.0,31.0,17.0,11.0,20.0,14.0,17.0,32.0,30.0,12.0,17.0,19.0,15.0,25.0,6.0,2.0,8.0
20.0,Platon Suslov,307.0,14.0,21.0,13.0,23.0,20.0,14.0,17.0,32.0,25.0,28.0,21.0,12.0,19.0,32.0,6.0,2.0,8.0
21.0,Hedi Liis Timmusk,313.0,52.0,29.0,28.0,20.0,11.0,10.0,17.0,26.0,36.0,5.0,8.0,5.0,24.0,26.0,6.0,2.0,8.0
22.0,Mark Jarovoi,329.0,16.0,23.0,29.0,42.0,20.0,14.0,17.0,32.0,29.0,28.0,6.0,26.0,4.0,27.0,6.0,2.0,8.0
23.0,David Nugis,368.0,50.0,18.0,33.0,31.0,18.0,12.0,17.0,18.0,49.0,15.0,25.0,32.0,2.0,32.0,6.0,2.0,8.0
24.0,Rio Truija,369.0,41.0,12.0,22.0,27.0,20.0,14.0,14.0,20.0,40.0,28.0,31.0,27.0,27.0,32.0,6.0,2.0,6.0
25.0,Kert Jalukse,393.0,19.0,15.0,26.0,24.0,20.0,14.0,17.0,32.0,8.0,28.0,30.0,49.0,86.0,9.0,6.0,2.0,8.0
26.0,Robin Mere,396.0,40.0,5.0,36.0,28.0,20.0,14.0,17.0,30.0,35.0,28.0,34.0,31.0,30.0,32.0,6.0,2.0,8.0
27.0,Tormi Püvi,398.0,20.0,3.0,31.0,21.0,20.0,14.0,17.0,15.0,27.0,28.0,34.0,34.0,86.0,32.0,6.0,2.0,8.0
28.0,Alfred Saidlo,400.0,2.0,11.0,30.0,42.0,20.0,14.0,4.0,6.0,11.0,28.0,26.0,103.0,55.0,32.0,6.0,2.0,8.0
29.0,Kaur Kenk,404.0,34.0,37.0,41.0,35.0,20.0,14.0,17.0,32.0,37.0,23.0,32.0,15.0,29.0,22.0,6.0,2.0,8.0
30.0,Mark Nedashkovski,415.0,30.0,19.0,93.0,42.0,20.0,14.0,17.0,29.0,45.0,14.0,34.0,22.0,9.0,11.0,6.0,2.0,8.0
