Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Urho Kinnunen,105.0,8.0,13.0,5.0,6.0,3.0,2.0,12.0,6.0,5.0,6.0,2.0,4.0,1.0,2.0,11.0,5.0,14.0
2.0,Linus Laurén,174.0,2.0,3.0,2.0,2.0,13.0,19.0,45.0,25.0,3.0,8.0,4.0,8.0,2.0,1.0,11.0,5.0,21.0
3.0,Antto Pitkänen,191.0,11.0,8.0,13.0,17.0,9.0,15.0,21.0,14.0,13.0,2.0,8.0,14.0,4.0,5.0,11.0,5.0,21.0
4.0,Niko Ronkainen,196.0,10.0,1.0,8.0,15.0,10.0,9.0,45.0,1.0,9.0,1.0,15.0,13.0,5.0,17.0,11.0,5.0,21.0
5.0,Kari Hyttinen,202.0,4.0,9.0,4.0,3.0,6.0,7.0,29.0,32.0,4.0,23.0,6.0,16.0,18.0,4.0,11.0,5.0,21.0
6.0,Kim Jokinen,214.0,7.0,12.0,10.0,18.0,20.0,20.0,7.0,14.0,7.0,14.0,24.0,4.0,14.0,19.0,6.0,5.0,13.0
7.0,Joonas Silvennoinen,226.0,24.0,11.0,14.0,11.0,15.0,11.0,10.0,24.0,10.0,19.0,5.0,21.0,10.0,9.0,11.0,5.0,16.0
8.0,Arttu Puttonen,259.0,9.0,14.0,15.0,8.0,5.0,8.0,6.0,25.0,25.0,10.0,21.0,19.0,36.0,33.0,11.0,5.0,9.0
9.0,Amos Nordman,260.0,1.0,2.0,1.0,4.0,2.0,3.0,45.0,22.0,2.0,116.0,1.0,7.0,3.0,14.0,11.0,5.0,21.0
10.0,Lauri Korhonen,265.0,19.0,25.0,3.0,1.0,1.0,1.0,45.0,40.0,15.0,28.0,3.0,12.0,9.0,26.0,11.0,5.0,21.0
11.0,Pessi Ansaranta,271.0,6.0,6.0,9.0,19.0,18.0,33.0,19.0,9.0,6.0,47.0,17.0,28.0,15.0,8.0,11.0,5.0,15.0
12.0,Viljo Elo,283.0,14.0,32.0,11.0,16.0,24.0,28.0,8.0,6.0,1.0,25.0,9.0,26.0,38.0,27.0,8.0,5.0,5.0
13.0,Timo Norrkniivilä,304.0,16.0,26.0,29.0,28.0,31.0,30.0,1.0,6.0,38.0,9.0,28.0,17.0,29.0,12.0,2.0,1.0,1.0
14.0,Luukas Lempinen,322.0,20.0,31.0,19.0,12.0,17.0,10.0,45.0,22.0,30.0,5.0,16.0,24.0,27.0,7.0,11.0,5.0,21.0
15.0,Jami Viljanen,355.0,26.0,29.0,31.0,29.0,30.0,25.0,14.0,14.0,29.0,24.0,19.0,10.0,16.0,22.0,11.0,5.0,21.0
16.0,Joonatan Uusipulkamo,372.0,31.0,21.0,25.0,13.0,14.0,16.0,45.0,63.0,34.0,21.0,10.0,10.0,19.0,13.0,11.0,5.0,21.0
17.0,Callum McArthur-Mortell,414.0,5.0,23.0,6.0,5.0,8.0,13.0,45.0,46.0,11.0,80.0,14.0,2.0,20.0,99.0,11.0,5.0,21.0
18.0,Juho Arjanne,419.0,47.0,28.0,34.0,32.0,25.0,31.0,27.0,14.0,42.0,22.0,20.0,15.0,44.0,3.0,11.0,5.0,19.0
19.0,Veikko Heikkinen,458.0,37.0,44.0,53.0,24.0,29.0,24.0,11.0,19.0,20.0,15.0,42.0,30.0,50.0,31.0,7.0,5.0,17.0
20.0,Olli Vikstedt,476.0,38.0,19.0,26.0,21.0,26.0,36.0,2.0,66.0,32.0,33.0,32.0,51.0,46.0,41.0,1.0,3.0,3.0
21.0,Santeri Laine,498.0,36.0,66.0,32.0,31.0,32.0,26.0,32.0,43.0,17.0,26.0,30.0,32.0,48.0,10.0,11.0,5.0,21.0
22.0,Rasmus Hagnäs,510.0,25.0,49.0,22.0,23.0,21.0,34.0,45.0,40.0,31.0,71.0,11.0,36.0,35.0,30.0,11.0,5.0,21.0
23.0,Eetu Kajan,516.0,28.0,60.0,24.0,25.0,28.0,23.0,45.0,53.0,47.0,30.0,12.0,34.0,33.0,37.0,11.0,5.0,21.0
24.0,Ivan Kunitcyn,589.0,43.0,45.0,46.0,30.0,36.0,42.0,45.0,53.0,44.0,27.0,35.0,43.0,39.0,24.0,11.0,5.0,21.0
25.0,Leo Alanen,612.0,42.0,64.0,67.0,51.0,51.0,51.0,31.0,35.0,68.0,11.0,29.0,31.0,16.0,28.0,11.0,5.0,21.0
26.0,Eemil Lahti,615.0,33.0,10.0,30.0,34.0,78.0,69.0,40.0,66.0,46.0,18.0,72.0,38.0,23.0,21.0,11.0,5.0,21.0
27.0,Asla Väyrynen,621.0,12.0,27.0,37.0,46.0,78.0,69.0,45.0,28.0,21.0,28.0,124.0,45.0,13.0,11.0,11.0,5.0,21.0
28.0,Alex Kekkonen,683.0,63.0,79.0,81.0,44.0,48.0,48.0,22.0,39.0,48.0,31.0,60.0,42.0,7.0,44.0,11.0,5.0,11.0
29.0,Vincent von Schantz,704.0,14.0,4.0,47.0,166.0,78.0,69.0,45.0,66.0,16.0,3.0,124.0,9.0,8.0,18.0,11.0,5.0,21.0
30.0,Niilo Eskelinen,707.0,67.0,72.0,59.0,52.0,39.0,40.0,25.0,66.0,68.0,16.0,61.0,62.0,27.0,16.0,11.0,5.0,21.0
31.0,Robin Hagner,709.0,106.0,112.0,74.0,54.0,45.0,38.0,23.0,19.0,64.0,7.0,33.0,22.0,34.0,57.0,9.0,5.0,7.0
32.0,Juuso Suutari,720.0,65.0,76.0,52.0,56.0,46.0,44.0,45.0,14.0,40.0,59.0,52.0,82.0,37.0,15.0,11.0,5.0,21.0
33.0,Oliver Stremmelaar,726.0,35.0,112.0,28.0,9.0,11.0,6.0,36.0,35.0,51.0,116.0,124.0,23.0,60.0,43.0,11.0,5.0,21.0
34.0,Veikko Rauhala,768.0,123.0,92.0,40.0,49.0,50.0,49.0,13.0,30.0,67.0,53.0,23.0,59.0,40.0,46.0,11.0,5.0,18.0
35.0,Leevi Järvinen,813.0,99.0,86.0,71.0,39.0,22.0,12.0,45.0,60.0,97.0,81.0,55.0,39.0,32.0,38.0,11.0,5.0,21.0
36.0,Tristan Osica,827.0,78.0,147.0,55.0,45.0,34.0,21.0,45.0,66.0,113.0,44.0,31.0,37.0,40.0,34.0,11.0,5.0,21.0
37.0,Joni Hiisvirta,843.0,59.0,22.0,54.0,33.0,37.0,52.0,45.0,46.0,35.0,116.0,51.0,127.0,106.0,23.0,11.0,5.0,21.0
38.0,Niko Paavilainen,844.0,46.0,42.0,20.0,10.0,7.0,4.0,45.0,62.0,23.0,116.0,18.0,25.0,299.0,90.0,11.0,5.0,21.0
39.0,Atilla Kopecky,850.0,76.0,51.0,96.0,100.0,78.0,69.0,45.0,46.0,77.0,12.0,71.0,18.0,11.0,63.0,11.0,5.0,21.0
40.0,Eevert Antola,853.0,23.0,40.0,56.0,63.0,78.0,69.0,45.0,66.0,18.0,116.0,124.0,73.0,25.0,20.0,11.0,5.0,21.0
41.0,Viljami Mettovaara,861.0,129.0,73.0,63.0,42.0,35.0,32.0,42.0,40.0,61.0,40.0,46.0,58.0,105.0,58.0,11.0,5.0,21.0
42.0,Ville Seppänen,887.0,45.0,37.0,35.0,35.0,78.0,29.0,4.0,12.0,43.0,116.0,40.0,75.0,299.0,25.0,4.0,2.0,8.0
43.0,Aleksi Tuononen,935.0,72.0,33.0,65.0,62.0,62.0,47.0,45.0,12.0,58.0,95.0,124.0,72.0,90.0,61.0,11.0,5.0,21.0
