Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Clément Cherblanc,269.0,22.0,17.0,20.0,12.0,9.0,10.0,39.0,7.0,21.0,8.0,14.0,17.0,10.0,6.0,14.0,13.0,30.0
2.0,Nicolas Gertner Kilian,270.0,9.0,15.0,12.0,14.0,20.0,29.0,10.0,2.0,5.0,9.0,16.0,20.0,4.0,24.0,39.0,16.0,26.0
3.0,Lucas Déglise,271.0,18.0,30.0,4.0,6.0,8.0,5.0,28.0,11.0,14.0,14.0,17.0,17.0,20.0,4.0,26.0,16.0,33.0
4.0,Noé Bourdon,436.0,25.0,8.0,30.0,15.0,18.0,14.0,38.0,16.0,46.0,38.0,19.0,54.0,6.0,12.0,35.0,16.0,46.0
5.0,Elian Beguec,452.0,5.0,2.0,15.0,7.0,3.0,7.0,89.0,85.0,7.0,23.0,20.0,8.0,11.0,2.0,39.0,16.0,113.0
6.0,Jules Desjardin,464.0,3.0,45.0,3.0,17.0,24.0,44.0,41.0,26.0,10.0,55.0,18.0,2.0,57.0,16.0,39.0,16.0,48.0
7.0,Juliette Sébastien,466.0,1.0,3.0,5.0,9.0,27.0,45.0,42.0,11.0,1.0,79.0,2.0,55.0,14.0,37.0,39.0,16.0,80.0
8.0,Diego Fraile,490.0,20.0,7.0,43.0,36.0,28.0,26.0,59.0,16.0,40.0,20.0,22.0,16.0,26.0,18.0,39.0,16.0,58.0
9.0,Anthony Lafourcade,497.0,30.0,28.0,18.0,10.0,16.0,16.0,139.0,16.0,13.0,7.0,39.0,19.0,3.0,9.0,39.0,16.0,79.0
10.0,Paul Luciw,611.0,86.0,30.0,44.0,49.0,34.0,22.0,36.0,68.0,67.0,3.0,43.0,22.0,49.0,3.0,21.0,16.0,18.0
11.0,Virgile Perrot,626.0,71.0,24.0,46.0,43.0,31.0,25.0,47.0,68.0,22.0,1.0,24.0,9.0,36.0,11.0,39.0,16.0,113.0
12.0,Wilfrid Py,702.0,93.0,40.0,67.0,50.0,38.0,39.0,18.0,21.0,90.0,13.0,45.0,33.0,37.0,86.0,11.0,9.0,12.0
13.0,Diego Alfonso,708.0,14.0,17.0,10.0,5.0,7.0,3.0,282.0,96.0,17.0,60.0,11.0,1.0,9.0,8.0,39.0,16.0,113.0
14.0,Peter Grassard,714.0,25.0,69.0,7.0,2.0,2.0,2.0,282.0,7.0,27.0,42.0,26.0,37.0,11.0,7.0,39.0,16.0,113.0
