Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Tamar Dolenjishvili,21.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0
2.0,Andro Gvaramadze,49.0,5.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,8.0,3.0,2.0,5.0
3.0,Giorgi Minasiani (გიორგი მინასიანი),52.0,2.0,7.0,2.0,11.0,2.0,4.0,3.0,2.0,2.0,8.0,1.0,3.0,5.0
4.0,Vako Marchilashvili (ვაკო მარჩილაშვილი),53.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,3.0,2.0,5.0,4.0,19.0,5.0
5.0,Dachi Tevdorashvili,71.0,6.0,8.0,5.0,2.0,2.0,4.0,3.0,18.0,2.0,2.0,5.0,10.0,4.0
6.0,Nino Zguladze,73.0,4.0,2.0,11.0,11.0,2.0,4.0,3.0,8.0,2.0,8.0,6.0,7.0,5.0
6.0,Giorgi Tarielashvili,73.0,14.0,5.0,7.0,6.0,2.0,3.0,2.0,7.0,1.0,3.0,12.0,6.0,5.0
8.0,Nikolozi Kobakhidze (ნიკოლოზი კობახიძე),86.0,9.0,9.0,8.0,11.0,2.0,4.0,3.0,6.0,2.0,8.0,17.0,4.0,3.0
9.0,Lasha Ilashvili,124.0,8.0,11.0,15.0,7.0,2.0,4.0,3.0,10.0,2.0,8.0,15.0,34.0,5.0
10.0,Daviti Utavsauri,136.0,17.0,17.0,20.0,11.0,2.0,4.0,3.0,23.0,2.0,8.0,7.0,17.0,5.0
11.0,Luka Patarkalashvili,141.0,27.0,19.0,10.0,11.0,2.0,4.0,3.0,17.0,2.0,8.0,18.0,15.0,5.0
12.0,Sandro Daushvili,154.0,36.0,15.0,27.0,11.0,2.0,4.0,3.0,16.0,2.0,6.0,9.0,18.0,5.0
13.0,Luka Subari,158.0,16.0,29.0,31.0,11.0,2.0,4.0,3.0,11.0,2.0,8.0,30.0,9.0,2.0
14.0,Mate Macharashvili,161.0,30.0,30.0,19.0,11.0,2.0,4.0,3.0,21.0,2.0,8.0,13.0,13.0,5.0
15.0,Giorgi Gegeshidze (გიორგი გეგეშიძე),163.0,13.0,6.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,4.0,22.0,8.0,5.0
16.0,Zurab Kakhiani,185.0,31.0,39.0,17.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,8.0,11.0,5.0
17.0,Luka Patashuri (ლუკა პატაშური),187.0,15.0,28.0,39.0,11.0,2.0,4.0,3.0,9.0,2.0,8.0,27.0,34.0,5.0
18.0,Revaz Mamatsashvili (რევაზ მამაცაშვილი),192.0,25.0,17.0,13.0,11.0,2.0,4.0,3.0,22.0,2.0,8.0,46.0,34.0,5.0
19.0,Ketevan Feradze (ქეთევან ფერაძე),194.0,39.0,12.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,11.0,14.0,5.0
20.0,George Tsiklauri,198.0,26.0,23.0,33.0,11.0,2.0,4.0,3.0,19.0,2.0,8.0,57.0,5.0,5.0
21.0,Beqa Kakhiani (ბექა კახიანი),211.0,7.0,43.0,6.0,4.0,2.0,4.0,3.0,5.0,2.0,8.0,88.0,34.0,5.0
22.0,Alex Davitashvili,212.0,52.0,21.0,22.0,11.0,2.0,4.0,3.0,35.0,2.0,8.0,20.0,27.0,5.0
23.0,Mariami Narchemashvili,214.0,19.0,38.0,9.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,35.0,34.0,5.0
23.0,Saba Jikia,214.0,35.0,42.0,26.0,11.0,2.0,4.0,3.0,26.0,2.0,8.0,16.0,34.0,5.0
25.0,Luka Patarqalashvili (ლუკა პატარქალაშვილი),217.0,34.0,19.0,18.0,11.0,2.0,4.0,3.0,28.0,2.0,8.0,49.0,34.0,5.0
26.0,Giorgi Jijieshvili (გიორგი ჯიჯიეშვილი),227.0,50.0,31.0,23.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,32.0,12.0,5.0
27.0,Sandro Benashvili (სანდრო ბენაშვილი),232.0,10.0,14.0,39.0,11.0,2.0,4.0,3.0,12.0,2.0,8.0,88.0,34.0,5.0
28.0,Irakli Javaxadze (ირაკლი ჯავახაძე),233.0,38.0,13.0,25.0,10.0,2.0,4.0,3.0,29.0,2.0,8.0,60.0,34.0,5.0
29.0,Dachi Dzeria,239.0,33.0,56.0,14.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,23.0,34.0,5.0
30.0,Luka Kvavilashvili (ლუკა ყვავილაშვილი),241.0,22.0,25.0,16.0,8.0,2.0,4.0,3.0,24.0,2.0,8.0,88.0,34.0,5.0
31.0,Giorgi Sutiashvili (გიორგი სუთიაშვილი),244.0,11.0,113.0,12.0,11.0,2.0,4.0,3.0,14.0,2.0,8.0,25.0,34.0,5.0
32.0,Irakli Siradze (ირაკლი სირაძე),247.0,23.0,36.0,39.0,11.0,2.0,4.0,3.0,39.0,2.0,8.0,41.0,34.0,5.0
33.0,Lasha Getiashvili,262.0,12.0,10.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
34.0,Lali Amiranashvili (ლალი ამირანაშვილი),268.0,54.0,40.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,7.0,34.0,23.0,5.0
35.0,Giorgi Adeishvili (გიორგი ადეიშვილი),270.0,18.0,37.0,38.0,11.0,2.0,4.0,3.0,20.0,2.0,8.0,88.0,34.0,5.0
