Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Oliver Fritz,144.0,9.0,3.0,7.0,7.0,12.0,12.0,4.0,37.0,7.0,18.0,6.0,1.0,1.0,1.0,1.0,1.0,17.0
2.0,Henri Gerber,177.0,5.0,15.0,5.0,9.0,5.0,6.0,10.0,32.0,10.0,16.0,2.0,13.0,6.0,6.0,8.0,11.0,18.0
3.0,Kevin Gerhardt,325.0,4.0,1.0,2.0,3.0,2.0,5.0,31.0,15.0,6.0,33.0,1.0,2.0,2.0,2.0,66.0,36.0,114.0
4.0,Alexander Botz,346.0,35.0,17.0,22.0,5.0,4.0,2.0,33.0,28.0,15.0,28.0,11.0,35.0,18.0,11.0,17.0,36.0,29.0
5.0,Joel Cetra,376.0,15.0,2.0,11.0,12.0,8.0,13.0,46.0,32.0,56.0,17.0,8.0,11.0,22.0,14.0,25.0,36.0,48.0
6.0,Noah Kraft,392.0,20.0,4.0,25.0,63.0,44.0,48.0,2.0,4.0,9.0,29.0,49.0,11.0,10.0,39.0,3.0,8.0,24.0
7.0,Jan Bentlage,420.0,82.0,11.0,83.0,62.0,36.0,21.0,20.0,2.0,23.0,11.0,25.0,14.0,3.0,12.0,9.0,4.0,2.0
8.0,Malte Ihlefeld,429.0,50.0,67.0,19.0,15.0,9.0,10.0,27.0,4.0,60.0,8.0,9.0,17.0,29.0,7.0,29.0,36.0,33.0
9.0,Lucas Wesche,494.0,13.0,46.0,15.0,10.0,6.0,4.0,32.0,42.0,25.0,41.0,5.0,73.0,63.0,17.0,39.0,28.0,35.0
10.0,Laura Holzhauer,548.0,74.0,76.0,6.0,14.0,7.0,8.0,39.0,91.0,13.0,7.0,4.0,40.0,20.0,29.0,40.0,24.0,56.0
11.0,Jonathan Blöcher,576.0,53.0,44.0,34.0,25.0,21.0,26.0,7.0,91.0,57.0,42.0,22.0,66.0,35.0,44.0,5.0,3.0,1.0
12.0,Wilhelm Kilders,583.0,79.0,33.0,37.0,28.0,14.0,11.0,60.0,28.0,37.0,19.0,34.0,18.0,19.0,13.0,61.0,34.0,58.0
13.0,Christian König,584.0,56.0,31.0,58.0,39.0,25.0,29.0,40.0,37.0,19.0,32.0,33.0,7.0,22.0,31.0,43.0,36.0,46.0
14.0,Emanuel Rheinert,607.0,18.0,41.0,17.0,33.0,30.0,28.0,53.0,15.0,53.0,70.0,64.0,9.0,86.0,9.0,31.0,20.0,30.0
15.0,Magnus Lensch,636.0,10.0,62.0,57.0,29.0,31.0,56.0,6.0,53.0,1.0,6.0,29.0,128.0,46.0,18.0,36.0,36.0,32.0
16.0,Leonard Wetzel,715.0,43.0,22.0,31.0,38.0,33.0,30.0,81.0,61.0,40.0,39.0,17.0,24.0,5.0,34.0,66.0,36.0,115.0
17.0,Sebastian Werb,748.0,29.0,6.0,29.0,21.0,22.0,32.0,14.0,169.0,42.0,114.0,48.0,87.0,79.0,8.0,18.0,21.0,9.0
18.0,Niclas Mach,755.0,60.0,21.0,46.0,43.0,64.0,45.0,52.0,21.0,44.0,34.0,40.0,47.0,63.0,35.0,52.0,36.0,52.0
19.0,Linus Frész,832.0,83.0,54.0,113.0,70.0,66.0,63.0,12.0,4.0,78.0,54.0,19.0,48.0,115.0,33.0,2.0,2.0,16.0
20.0,Jonas Pilhöfer,837.0,8.0,28.0,30.0,44.0,73.0,81.0,82.0,123.0,3.0,67.0,7.0,30.0,25.0,36.0,49.0,36.0,115.0
21.0,Sébastien Auroux,893.0,103.0,13.0,126.0,93.0,63.0,43.0,56.0,2.0,103.0,11.0,88.0,21.0,12.0,60.0,30.0,33.0,36.0
22.0,Ricardo Olea Catalán,990.0,92.0,6.0,96.0,46.0,20.0,17.0,149.0,15.0,83.0,52.0,66.0,36.0,45.0,50.0,66.0,36.0,115.0
23.0,Fabian Browa,998.0,69.0,42.0,35.0,26.0,32.0,34.0,74.0,264.0,18.0,43.0,44.0,82.0,14.0,4.0,66.0,36.0,115.0
24.0,Linus Buck,1011.0,50.0,17.0,23.0,17.0,15.0,19.0,124.0,28.0,24.0,199.0,24.0,3.0,29.0,222.0,66.0,36.0,115.0
25.0,Elias Fischer,1029.0,47.0,82.0,9.0,8.0,18.0,18.0,22.0,264.0,79.0,149.0,3.0,81.0,34.0,53.0,11.0,36.0,115.0
26.0,Carsten Matheus,1036.0,134.0,82.0,36.0,36.0,17.0,16.0,115.0,42.0,61.0,57.0,31.0,145.0,4.0,43.0,66.0,36.0,115.0
27.0,Linus Kunath,1077.0,85.0,49.0,63.0,52.0,39.0,40.0,136.0,150.0,76.0,5.0,41.0,5.0,80.0,74.0,66.0,36.0,80.0
28.0,Mats Walker,1102.0,61.0,120.0,75.0,54.0,37.0,35.0,96.0,37.0,99.0,22.0,74.0,44.0,120.0,71.0,51.0,30.0,76.0
29.0,Luis Kleinheinz,1138.0,169.0,133.0,124.0,75.0,54.0,51.0,28.0,47.0,38.0,3.0,123.0,36.0,31.0,70.0,66.0,36.0,54.0
30.0,Frederik Hutfleß,1155.0,34.0,24.0,85.0,68.0,71.0,70.0,257.0,65.0,17.0,36.0,89.0,52.0,33.0,37.0,66.0,36.0,115.0
31.0,Patrick Hetco,1180.0,11.0,14.0,10.0,23.0,34.0,54.0,84.0,264.0,4.0,48.0,63.0,113.0,177.0,64.0,66.0,36.0,115.0
32.0,Balder Henke,1206.0,12.0,175.0,33.0,11.0,16.0,24.0,42.0,264.0,22.0,26.0,68.0,50.0,227.0,19.0,66.0,36.0,115.0
33.0,Cedric Meysing,1226.0,183.0,245.0,123.0,55.0,23.0,27.0,18.0,32.0,81.0,78.0,116.0,31.0,94.0,102.0,6.0,7.0,5.0
