Rank,name,Sum,333,222,444,555,333oh,minx,pyram,skewb,sq1
1.0,Benjamin Orthner,14.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0
2.0,Zaffery Hammond-Aryee,23.0,6.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0
3.0,Malek Hamoui,33.0,12.0,6.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0
4.0,Ransford Gyasi,35.0,3.0,5.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
4.0,Moses Baiden,35.0,5.0,3.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
6.0,Gavriel Badu Egyir,38.0,2.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
7.0,Shaun Kudjawu,39.0,8.0,4.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
8.0,Peter Nyarko Dankwa,40.0,4.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
9.0,Omar Rafic El Katerji,41.0,10.0,9.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0
9.0,Bernard Badu Arkoh,41.0,9.0,8.0,3.0,2.0,2.0,3.0,8.0,4.0,2.0
11.0,Eugene Sarpong Frimpong,43.0,7.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
12.0,Caleb Amo,47.0,13.0,7.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
12.0,Miguel Yoofi Asmah,47.0,11.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
14.0,Ekow Ogoe Bentsi-Enchill,50.0,14.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
15.0,Jonas Lamptey,51.0,15.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
15.0,Huda Karroum,51.0,19.0,9.0,4.0,2.0,3.0,3.0,5.0,4.0,2.0
17.0,Janelle Gyampo,52.0,16.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
18.0,Allen Kpentey,53.0,17.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
19.0,Hamida Abdul Wahab,54.0,18.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
20.0,Aaron Godfried Oquaye,56.0,20.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
20.0,Lina Fattal,56.0,23.0,9.0,4.0,2.0,3.0,3.0,6.0,4.0,2.0
20.0,Micah Opuni,56.0,22.0,9.0,4.0,2.0,3.0,3.0,7.0,4.0,2.0
23.0,Charlene Lamptey,57.0,21.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
24.0,Lloyd Thompson,60.0,24.0,9.0,4.0,2.0,3.0,3.0,9.0,4.0,2.0
