Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Zois Lefkidis,179.0,5.0,23.0,9.0,2.0,2.0,2.0,13.0,33.0,18.0,29.0,10.0,11.0,7.0,13.0,2.0
2.0,Nikolas Baxevanis,210.0,12.0,31.0,25.0,22.0,22.0,24.0,20.0,7.0,21.0,9.0,4.0,4.0,2.0,5.0,2.0
3.0,Nikolaos Zikos,271.0,16.0,28.0,3.0,12.0,10.0,26.0,20.0,33.0,24.0,56.0,1.0,8.0,5.0,27.0,2.0
4.0,Nikos Preda,300.0,22.0,3.0,21.0,34.0,33.0,26.0,20.0,33.0,35.0,14.0,9.0,34.0,10.0,4.0,2.0
5.0,Iraklis Magioglou,327.0,77.0,47.0,14.0,11.0,4.0,10.0,20.0,17.0,44.0,24.0,14.0,32.0,8.0,3.0,2.0
6.0,Thodoris Tsoleridis,332.0,30.0,58.0,13.0,6.0,5.0,26.0,20.0,33.0,22.0,23.0,25.0,44.0,16.0,9.0,2.0
7.0,Athanasios Bouboulis,371.0,28.0,6.0,47.0,42.0,33.0,26.0,20.0,17.0,39.0,3.0,35.0,14.0,26.0,33.0,2.0
8.0,Vasilis Prigkos,389.0,3.0,2.0,2.0,4.0,3.0,3.0,20.0,33.0,144.0,56.0,77.0,17.0,13.0,10.0,2.0
9.0,Panos Gkotsis,392.0,10.0,14.0,6.0,9.0,33.0,26.0,16.0,3.0,3.0,56.0,8.0,54.0,114.0,38.0,2.0
10.0,Thodoris Iatrou,436.0,35.0,79.0,17.0,17.0,33.0,7.0,1.0,13.0,77.0,10.0,6.0,71.0,48.0,20.0,2.0
11.0,Panagiotis Christopoulos,438.0,39.0,54.0,71.0,75.0,33.0,26.0,20.0,33.0,29.0,1.0,26.0,5.0,3.0,21.0,2.0
11.0,Ioannis Papadopoulos,438.0,54.0,55.0,40.0,21.0,12.0,9.0,15.0,4.0,86.0,8.0,3.0,93.0,20.0,16.0,2.0
13.0,Vasilis Vasileris,457.0,6.0,19.0,4.0,8.0,19.0,19.0,20.0,33.0,4.0,56.0,77.0,38.0,114.0,38.0,2.0
14.0,Billy Palaiologos,461.0,13.0,21.0,8.0,5.0,33.0,26.0,20.0,33.0,2.0,56.0,77.0,13.0,114.0,38.0,2.0
15.0,Konstantinos Parissis,463.0,46.0,60.0,34.0,56.0,33.0,26.0,20.0,11.0,36.0,56.0,15.0,7.0,23.0,38.0,2.0
16.0,Athanasios Iasonas Mulonas,465.0,7.0,7.0,7.0,10.0,11.0,8.0,20.0,4.0,5.0,56.0,77.0,99.0,114.0,38.0,2.0
17.0,Haridimos Gourniezakis,476.0,16.0,5.0,46.0,43.0,33.0,26.0,20.0,24.0,64.0,16.0,19.0,106.0,18.0,38.0,2.0
18.0,Alexandros Efremidis,480.0,37.0,15.0,24.0,13.0,18.0,14.0,20.0,9.0,32.0,4.0,73.0,67.0,114.0,38.0,2.0
19.0,Andreas Karagounis,492.0,57.0,52.0,19.0,18.0,8.0,4.0,20.0,16.0,144.0,56.0,5.0,29.0,24.0,38.0,2.0
19.0,Konstantinos Pantoulas,492.0,32.0,83.0,16.0,7.0,6.0,6.0,20.0,33.0,8.0,56.0,77.0,44.0,94.0,8.0,2.0
