Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Gabriel Barrios,104.0,7.0,12.0,4.0,5.0,1.0,19.0,1.0,1.0,1.0,7.0,9.0,5.0,3.0,19.0,1.0,3.0,6.0
2.0,Jose Javier Melendez Maldonado,141.0,2.0,11.0,2.0,6.0,4.0,2.0,6.0,9.0,6.0,22.0,11.0,10.0,20.0,10.0,4.0,3.0,13.0
3.0,Shalóm Melquisedec Batz Rodríguez,201.0,3.0,1.0,23.0,15.0,20.0,18.0,41.0,13.0,3.0,4.0,3.0,2.0,11.0,24.0,4.0,3.0,13.0
3.0,Javier Siquité,201.0,4.0,7.0,1.0,4.0,2.0,3.0,41.0,48.0,12.0,15.0,13.0,19.0,9.0,3.0,4.0,3.0,13.0
5.0,Daniel Escobar,233.0,10.0,57.0,5.0,2.0,6.0,8.0,24.0,5.0,14.0,8.0,37.0,23.0,13.0,1.0,4.0,3.0,13.0
6.0,Olander Rafael Hernández Morales,245.0,11.0,21.0,31.0,13.0,14.0,10.0,34.0,9.0,30.0,5.0,12.0,17.0,6.0,12.0,4.0,3.0,13.0
7.0,Daniel Méndez,254.0,19.0,32.0,24.0,14.0,13.0,12.0,18.0,13.0,13.0,20.0,33.0,12.0,5.0,6.0,4.0,3.0,13.0
8.0,Aldo José Gramajo de León,255.0,9.0,20.0,3.0,3.0,15.0,7.0,36.0,4.0,2.0,1.0,44.0,42.0,34.0,15.0,4.0,3.0,13.0
9.0,Brian Bernabé Bolaños Arreaga,266.0,5.0,8.0,13.0,1.0,5.0,4.0,41.0,48.0,15.0,50.0,25.0,1.0,12.0,18.0,4.0,3.0,13.0
10.0,Jesser Armando Ramírez Diaz,281.0,16.0,48.0,8.0,7.0,3.0,1.0,41.0,48.0,5.0,16.0,32.0,30.0,2.0,4.0,4.0,3.0,13.0
11.0,Manuel Aleandro Chang Pérez,316.0,27.0,3.0,11.0,24.0,31.0,29.0,8.0,16.0,25.0,32.0,14.0,32.0,29.0,21.0,4.0,3.0,7.0
12.0,Pablo Say,319.0,55.0,18.0,37.0,23.0,21.0,20.0,17.0,9.0,34.0,13.0,40.0,7.0,1.0,9.0,4.0,3.0,8.0
13.0,Francisco Alberto Castañeda Lima,326.0,24.0,5.0,36.0,34.0,28.0,28.0,39.0,23.0,4.0,12.0,36.0,22.0,4.0,11.0,4.0,3.0,13.0
14.0,Alexander Batz,331.0,14.0,34.0,18.0,19.0,19.0,30.0,11.0,5.0,9.0,18.0,1.0,21.0,75.0,37.0,4.0,3.0,13.0
15.0,Sergio Bulux,340.0,49.0,38.0,38.0,12.0,22.0,17.0,5.0,15.0,27.0,17.0,10.0,19.0,21.0,43.0,2.0,1.0,4.0
16.0,Esdras Rodolfo Toc Hi,426.0,45.0,39.0,27.0,22.0,24.0,23.0,41.0,26.0,24.0,31.0,30.0,37.0,32.0,5.0,4.0,3.0,13.0
17.0,Ronald Josué Sicá Alvarado,438.0,89.0,28.0,33.0,45.0,23.0,21.0,41.0,27.0,57.0,2.0,18.0,4.0,17.0,13.0,4.0,3.0,13.0
18.0,Kevin Ochaita,456.0,53.0,3.0,25.0,29.0,33.0,47.0,41.0,48.0,17.0,14.0,21.0,13.0,36.0,56.0,4.0,3.0,13.0
19.0,Adrián Ramírez,471.0,19.0,26.0,51.0,42.0,41.0,39.0,16.0,1.0,18.0,24.0,55.0,18.0,97.0,8.0,4.0,3.0,9.0
20.0,Juan Jose Ajcam,482.0,27.0,6.0,44.0,30.0,53.0,47.0,10.0,48.0,8.0,50.0,2.0,53.0,64.0,20.0,4.0,3.0,13.0
21.0,Jaime Andrés Escobar Chan,489.0,48.0,15.0,34.0,18.0,17.0,15.0,41.0,35.0,32.0,49.0,57.0,58.0,15.0,35.0,4.0,3.0,13.0
22.0,Natalia Sosa,503.0,11.0,1.0,6.0,17.0,11.0,14.0,41.0,48.0,41.0,50.0,28.0,95.0,66.0,54.0,4.0,3.0,13.0
23.0,Rubén Moir Ramirez,533.0,13.0,9.0,46.0,38.0,53.0,47.0,41.0,48.0,65.0,50.0,8.0,39.0,10.0,46.0,4.0,3.0,13.0
24.0,Luis Fernando Icú Son,540.0,30.0,63.0,30.0,28.0,30.0,22.0,30.0,17.0,7.0,50.0,114.0,37.0,35.0,27.0,4.0,3.0,13.0
25.0,Fernando José Muchuch Chavez,544.0,90.0,21.0,94.0,64.0,53.0,36.0,7.0,3.0,58.0,6.0,15.0,15.0,7.0,65.0,4.0,3.0,3.0
26.0,Josué Arévalo,559.0,33.0,35.0,45.0,40.0,38.0,47.0,41.0,48.0,22.0,42.0,39.0,64.0,28.0,17.0,4.0,3.0,13.0
27.0,Isidro Ramírez Domínguez,632.0,81.0,58.0,41.0,46.0,27.0,32.0,41.0,48.0,82.0,3.0,26.0,11.0,42.0,74.0,4.0,3.0,13.0
28.0,Josue Leiva,642.0,8.0,69.0,20.0,44.0,53.0,47.0,9.0,48.0,35.0,50.0,17.0,80.0,140.0,2.0,4.0,3.0,13.0
28.0,Cristian Javier Garcia Montejo,642.0,21.0,27.0,9.0,10.0,8.0,5.0,41.0,48.0,11.0,50.0,19.0,135.0,175.0,63.0,4.0,3.0,13.0
30.0,Douglas Marco Tulio Pereira López,664.0,56.0,21.0,49.0,76.0,46.0,47.0,41.0,17.0,72.0,27.0,72.0,26.0,24.0,70.0,4.0,3.0,13.0
31.0,Sergio Antonio Menéndez Cardona,672.0,16.0,25.0,48.0,61.0,44.0,47.0,41.0,43.0,23.0,50.0,50.0,98.0,27.0,79.0,4.0,3.0,13.0
32.0,Eduardo Cabrera,677.0,74.0,47.0,40.0,21.0,53.0,47.0,41.0,8.0,56.0,50.0,6.0,2.0,161.0,51.0,4.0,3.0,13.0
33.0,Gabriel Gilberto Chocooj Villagran,682.0,73.0,35.0,42.0,48.0,53.0,47.0,41.0,45.0,49.0,23.0,80.0,31.0,16.0,79.0,4.0,3.0,13.0
34.0,Gerson Alexander Urbina Gonzalez,688.0,29.0,43.0,12.0,35.0,53.0,47.0,41.0,48.0,19.0,50.0,114.0,57.0,41.0,79.0,4.0,3.0,13.0
35.0,Gerardo Pérez,693.0,64.0,63.0,29.0,54.0,53.0,40.0,41.0,27.0,68.0,50.0,88.0,8.0,38.0,50.0,4.0,3.0,13.0
35.0,Diego Tobar,693.0,18.0,73.0,16.0,41.0,53.0,47.0,41.0,48.0,46.0,50.0,46.0,16.0,99.0,79.0,4.0,3.0,13.0
37.0,Edward Mendez,723.0,141.0,17.0,66.0,58.0,35.0,37.0,41.0,27.0,54.0,21.0,62.0,72.0,14.0,58.0,4.0,3.0,13.0
38.0,Eduardo David Mazariegos Cifuentes,745.0,40.0,39.0,15.0,20.0,18.0,24.0,41.0,47.0,105.0,50.0,84.0,135.0,43.0,64.0,4.0,3.0,13.0
39.0,Seth Nephi Perez Arevalo,758.0,50.0,49.0,57.0,60.0,36.0,33.0,25.0,48.0,10.0,50.0,20.0,191.0,69.0,40.0,4.0,3.0,13.0
39.0,Luis Esteban Morales Orozco,758.0,37.0,69.0,39.0,51.0,53.0,47.0,23.0,31.0,20.0,50.0,48.0,63.0,128.0,79.0,4.0,3.0,13.0
41.0,Mario Fernando Reyes Morales,762.0,52.0,82.0,17.0,26.0,53.0,47.0,41.0,48.0,85.0,36.0,34.0,67.0,75.0,79.0,4.0,3.0,13.0
42.0,Jak Fernando Essau Morales Garcia,788.0,57.0,86.0,35.0,16.0,7.0,6.0,41.0,48.0,48.0,37.0,43.0,259.0,43.0,42.0,4.0,3.0,13.0
43.0,Juan Pablo Mendez Martinez,810.0,32.0,10.0,21.0,9.0,9.0,9.0,41.0,48.0,51.0,50.0,114.0,142.0,175.0,79.0,4.0,3.0,13.0
44.0,Manuel José Domínguez Ávila,815.0,38.0,31.0,19.0,27.0,40.0,47.0,13.0,5.0,28.0,28.0,29.0,282.0,164.0,44.0,4.0,3.0,13.0
45.0,Eder Alberto Samayoa Lopez,865.0,115.0,29.0,120.0,82.0,53.0,47.0,41.0,17.0,33.0,34.0,114.0,36.0,45.0,79.0,4.0,3.0,13.0
46.0,Luis Estuardo Monterroso Chán,879.0,72.0,30.0,119.0,100.0,53.0,47.0,41.0,48.0,88.0,50.0,94.0,9.0,46.0,62.0,4.0,3.0,13.0
47.0,Efrain Lopez,880.0,1.0,72.0,121.0,55.0,53.0,47.0,41.0,17.0,21.0,50.0,74.0,65.0,175.0,68.0,4.0,3.0,13.0
48.0,Jose Gilberto Tello Tello,881.0,76.0,52.0,32.0,33.0,53.0,47.0,41.0,48.0,67.0,50.0,77.0,196.0,60.0,29.0,4.0,3.0,13.0
49.0,Marcos Jacome,886.0,99.0,58.0,84.0,96.0,53.0,47.0,41.0,48.0,80.0,40.0,7.0,85.0,105.0,23.0,4.0,3.0,13.0
50.0,Brandon Gil,899.0,102.0,61.0,76.0,89.0,48.0,47.0,41.0,45.0,86.0,35.0,92.0,84.0,25.0,48.0,4.0,3.0,13.0
51.0,Richard Henry Figueroa Guitz,922.0,129.0,135.0,104.0,97.0,52.0,43.0,29.0,22.0,55.0,50.0,76.0,41.0,37.0,32.0,4.0,3.0,13.0
52.0,Lester Cabrera,923.0,31.0,122.0,77.0,83.0,53.0,47.0,26.0,40.0,41.0,50.0,4.0,87.0,175.0,67.0,4.0,3.0,13.0
53.0,Jefferson Ramírez,940.0,79.0,54.0,50.0,75.0,53.0,47.0,41.0,31.0,68.0,48.0,69.0,100.0,126.0,79.0,4.0,3.0,13.0
54.0,Dayner Gomez,945.0,113.0,141.0,79.0,39.0,26.0,25.0,41.0,48.0,62.0,50.0,47.0,149.0,67.0,38.0,4.0,3.0,13.0
55.0,Jefferson Antonio Morales Cruz,951.0,6.0,18.0,43.0,140.0,53.0,47.0,20.0,48.0,29.0,50.0,23.0,200.0,175.0,79.0,4.0,3.0,13.0
56.0,Katherine Aguilar,965.0,76.0,108.0,54.0,140.0,53.0,47.0,41.0,48.0,43.0,50.0,114.0,55.0,85.0,31.0,4.0,3.0,13.0
56.0,Marcelo Andre Detlefsen Zamora,965.0,133.0,69.0,82.0,84.0,53.0,47.0,41.0,48.0,169.0,50.0,73.0,28.0,32.0,36.0,4.0,3.0,13.0
58.0,Otto Normanns,966.0,101.0,42.0,47.0,31.0,10.0,16.0,41.0,48.0,87.0,50.0,114.0,105.0,175.0,79.0,4.0,3.0,13.0
59.0,Daniel Alexander González Mazariegos,969.0,83.0,68.0,81.0,140.0,53.0,47.0,41.0,48.0,129.0,45.0,5.0,111.0,19.0,79.0,4.0,3.0,13.0
60.0,Rodrigo Anleu,990.0,79.0,54.0,52.0,32.0,25.0,31.0,41.0,48.0,74.0,50.0,114.0,116.0,175.0,79.0,4.0,3.0,13.0
61.0,Juan Pablo Juarez,996.0,175.0,124.0,95.0,77.0,53.0,47.0,41.0,27.0,76.0,9.0,53.0,79.0,71.0,49.0,4.0,3.0,13.0
62.0,Rafael Alejandro Menchù Tuy,998.0,59.0,76.0,73.0,113.0,53.0,47.0,41.0,48.0,135.0,50.0,114.0,43.0,47.0,79.0,4.0,3.0,13.0
63.0,Rodrigo Pinto,1001.0,43.0,39.0,153.0,140.0,53.0,47.0,22.0,48.0,143.0,50.0,45.0,93.0,50.0,55.0,4.0,3.0,13.0
64.0,Jorge Fernando Barrios Alay,1028.0,75.0,123.0,59.0,63.0,53.0,47.0,15.0,48.0,63.0,38.0,114.0,56.0,175.0,79.0,4.0,3.0,13.0
65.0,Marvin Saucedo,1035.0,96.0,119.0,139.0,55.0,53.0,47.0,41.0,48.0,79.0,50.0,90.0,46.0,73.0,79.0,4.0,3.0,13.0
66.0,Luis José Rodríguez Pérez,1044.0,106.0,199.0,117.0,50.0,29.0,42.0,27.0,48.0,59.0,43.0,66.0,75.0,84.0,79.0,4.0,3.0,13.0
67.0,Dany José Pablo Cutzal Curruchich,1057.0,109.0,127.0,71.0,52.0,37.0,35.0,41.0,48.0,39.0,50.0,114.0,94.0,141.0,79.0,4.0,3.0,13.0
68.0,Byron Juan Diego Tahay Lemus,1066.0,105.0,46.0,125.0,140.0,53.0,47.0,41.0,48.0,82.0,50.0,24.0,103.0,103.0,79.0,4.0,3.0,13.0
68.0,Jurgen Lara,1066.0,22.0,104.0,7.0,8.0,16.0,13.0,41.0,48.0,16.0,50.0,114.0,398.0,175.0,34.0,4.0,3.0,13.0
70.0,José Carlos Pérez García,1078.0,15.0,93.0,14.0,86.0,12.0,11.0,41.0,48.0,118.0,50.0,79.0,237.0,175.0,79.0,4.0,3.0,13.0
71.0,Audrick Raúl Veliz Hernandez,1094.0,171.0,56.0,102.0,140.0,53.0,47.0,41.0,48.0,113.0,50.0,67.0,61.0,99.0,26.0,4.0,3.0,13.0
72.0,Helmuth William Figueroa Guitz,1109.0,214.0,44.0,202.0,129.0,53.0,47.0,41.0,41.0,91.0,50.0,65.0,25.0,40.0,47.0,4.0,3.0,13.0
73.0,Luis Carlos Aguilar Caceres,1112.0,39.0,84.0,58.0,140.0,53.0,47.0,41.0,48.0,267.0,50.0,114.0,50.0,22.0,79.0,4.0,3.0,13.0
74.0,Allison Daniela Cajas Girón,1141.0,183.0,66.0,174.0,140.0,53.0,47.0,35.0,37.0,146.0,30.0,52.0,58.0,55.0,45.0,4.0,3.0,13.0
75.0,Juan Pablo Rojas Chinchilla,1149.0,26.0,63.0,89.0,69.0,53.0,41.0,41.0,31.0,130.0,50.0,114.0,168.0,175.0,79.0,4.0,3.0,13.0
76.0,Andres Prado Garzaro,1157.0,47.0,100.0,67.0,37.0,32.0,26.0,41.0,48.0,31.0,50.0,51.0,353.0,175.0,79.0,4.0,3.0,13.0
