Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Luis David Hernández Mejía,65.0,7.0,10.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,10.0,5.0,4.0,8.0,2.0,2.0
2.0,Gerardo Varela,70.0,9.0,1.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,7.0,8.0,6.0,6.0,2.0,2.0
3.0,Fabio Lenin Tabora Castillo,99.0,10.0,9.0,9.0,10.0,4.0,3.0,5.0,6.0,5.0,5.0,8.0,3.0,9.0,9.0,2.0,2.0
4.0,Juan Carlos Boquín Izaguirre,113.0,8.0,4.0,16.0,7.0,4.0,3.0,5.0,5.0,31.0,5.0,11.0,1.0,5.0,4.0,2.0,2.0
5.0,Javier Armando Cruz Santos,119.0,17.0,7.0,18.0,12.0,4.0,3.0,5.0,1.0,11.0,5.0,5.0,4.0,14.0,9.0,2.0,2.0
6.0,Dorian Ernesto Rosales Rodriguez,127.0,27.0,2.0,12.0,4.0,2.0,2.0,5.0,6.0,12.0,2.0,20.0,15.0,7.0,7.0,2.0,2.0
7.0,José Lisandro Velásquez Martínez,128.0,3.0,11.0,3.0,21.0,4.0,3.0,5.0,6.0,6.0,5.0,2.0,12.0,34.0,9.0,2.0,2.0
8.0,Jose Carlo Valladares,130.0,12.0,19.0,4.0,13.0,4.0,3.0,5.0,6.0,15.0,5.0,16.0,13.0,2.0,9.0,2.0,2.0
9.0,Danniel Andrés Orellana Alvarado,142.0,4.0,17.0,10.0,21.0,4.0,3.0,5.0,6.0,10.0,5.0,1.0,9.0,34.0,9.0,2.0,2.0
10.0,Sara Abigail Cubas Cálix,151.0,22.0,27.0,13.0,9.0,4.0,3.0,5.0,6.0,17.0,4.0,4.0,14.0,10.0,9.0,2.0,2.0
11.0,Rommel Alexander Reyes Nuñez,159.0,15.0,5.0,17.0,8.0,4.0,3.0,5.0,6.0,25.0,5.0,3.0,16.0,34.0,9.0,2.0,2.0
12.0,Nelson Alonso Hernández Sánchez,163.0,13.0,20.0,6.0,6.0,4.0,3.0,5.0,6.0,16.0,5.0,23.0,22.0,21.0,9.0,2.0,2.0
13.0,Miguel Angel Edelman Vindel,166.0,1.0,3.0,1.0,21.0,4.0,3.0,5.0,6.0,1.0,5.0,25.0,44.0,34.0,9.0,2.0,2.0
14.0,Néstor Emil Rodríguez Flores,169.0,20.0,21.0,11.0,5.0,4.0,3.0,5.0,6.0,40.0,5.0,25.0,10.0,1.0,9.0,2.0,2.0
15.0,Ramon Eduardo Yip Yip,193.0,13.0,12.0,7.0,2.0,4.0,3.0,5.0,2.0,13.0,5.0,25.0,55.0,34.0,9.0,2.0,2.0
16.0,Alejandro Jose Amador Cruz,195.0,33.0,16.0,20.0,16.0,4.0,3.0,4.0,6.0,30.0,5.0,15.0,2.0,28.0,9.0,2.0,2.0
17.0,Oscar Salomón Martínez Moreno,206.0,45.0,36.0,29.0,21.0,4.0,3.0,5.0,6.0,21.0,1.0,13.0,6.0,3.0,9.0,2.0,2.0
18.0,Oscar Armando Sauceda Benavidez,213.0,18.0,31.0,21.0,18.0,4.0,3.0,5.0,6.0,13.0,5.0,25.0,34.0,23.0,3.0,2.0,2.0
18.0,Fares Daniel Flores Hernández,213.0,5.0,8.0,54.0,21.0,4.0,3.0,5.0,6.0,2.0,5.0,25.0,28.0,34.0,9.0,2.0,2.0
20.0,Erick Y. Maldonado,251.0,37.0,34.0,25.0,21.0,4.0,3.0,5.0,6.0,28.0,5.0,25.0,19.0,34.0,1.0,2.0,2.0
