Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Ivan Li Ka Leong (李嘉亮),83.0,2.0,5.0,1.0,1.0,1.0,2.0,4.0,7.0,2.0,13.0,2.0,9.0,10.0,4.0,8.0,6.0,6.0
2.0,Burno Li Chak Kwan (李澤堃),96.0,1.0,3.0,2.0,2.0,2.0,3.0,36.0,2.0,4.0,4.0,1.0,1.0,5.0,1.0,8.0,6.0,15.0
3.0,Andy Mok Man Cheuk (莫文卓),121.0,7.0,13.0,3.0,3.0,4.0,5.0,23.0,5.0,6.0,2.0,3.0,5.0,7.0,6.0,8.0,6.0,15.0
4.0,Wong Yuk Chi (黃昱誌),198.0,19.0,8.0,7.0,7.0,6.0,7.0,36.0,12.0,10.0,8.0,7.0,20.0,6.0,16.0,8.0,6.0,15.0
5.0,Shek Ho Hin (石灝軒),199.0,24.0,14.0,11.0,12.0,9.0,8.0,28.0,12.0,22.0,3.0,11.0,8.0,4.0,8.0,8.0,6.0,11.0
6.0,Mok Man Kit (莫文傑),202.0,33.0,7.0,16.0,11.0,7.0,9.0,19.0,2.0,14.0,5.0,10.0,21.0,1.0,29.0,7.0,6.0,5.0
7.0,Leung Ka Ho (梁家浩),229.0,29.0,34.0,6.0,6.0,8.0,6.0,11.0,9.0,7.0,16.0,26.0,11.0,13.0,24.0,8.0,3.0,12.0
8.0,Chan Hay Yin (陳希言),237.0,23.0,15.0,17.0,18.0,11.0,11.0,10.0,21.0,40.0,9.0,14.0,14.0,11.0,9.0,6.0,6.0,2.0
9.0,Wong Kin Lok (黃健樂),281.0,3.0,11.0,4.0,4.0,3.0,1.0,25.0,1.0,3.0,58.0,27.0,3.0,39.0,70.0,8.0,6.0,15.0
10.0,Chan Hui Tung (陳許瞳),282.0,33.0,19.0,14.0,20.0,12.0,13.0,18.0,12.0,32.0,23.0,16.0,23.0,17.0,3.0,8.0,6.0,13.0
11.0,Timothy Kong Wing Sum (江永琛),298.0,21.0,26.0,10.0,9.0,44.0,39.0,12.0,18.0,11.0,17.0,8.0,7.0,45.0,2.0,8.0,6.0,15.0
12.0,Suen Ming Chi (孫銘志),304.0,53.0,4.0,8.0,16.0,44.0,39.0,36.0,4.0,23.0,1.0,23.0,2.0,2.0,20.0,8.0,6.0,15.0
13.0,Antonio Kam (甘浩東),341.0,11.0,21.0,21.0,21.0,15.0,24.0,1.0,8.0,1.0,34.0,79.0,51.0,8.0,38.0,3.0,4.0,1.0
14.0,Michael Ngan (顏律言),375.0,12.0,46.0,34.0,17.0,14.0,12.0,5.0,12.0,42.0,39.0,17.0,17.0,35.0,50.0,2.0,6.0,15.0
15.0,Fung Hoi Yin (馮凱賢),398.0,13.0,31.0,5.0,5.0,5.0,4.0,36.0,21.0,12.0,58.0,6.0,136.0,15.0,22.0,8.0,6.0,15.0
16.0,Chung Yeung Ho (鍾養浩),438.0,47.0,32.0,32.0,27.0,19.0,25.0,32.0,33.0,49.0,6.0,33.0,25.0,12.0,37.0,8.0,6.0,15.0
17.0,Jacky Koo Chun Ki (顧俊祺),441.0,38.0,49.0,29.0,30.0,20.0,23.0,36.0,36.0,69.0,12.0,4.0,10.0,26.0,30.0,8.0,6.0,15.0
18.0,Rinji Chan Pak Hei (陳柏熹),451.0,19.0,23.0,13.0,23.0,44.0,39.0,17.0,29.0,30.0,11.0,79.0,69.0,9.0,17.0,8.0,6.0,15.0
19.0,Victor Tang Yao Jun (湯曜駿),484.0,98.0,22.0,40.0,15.0,23.0,16.0,3.0,25.0,33.0,47.0,22.0,76.0,40.0,19.0,1.0,1.0,3.0
20.0,Henry Tang Kun Chung (鄧貫中),500.0,24.0,42.0,12.0,8.0,17.0,10.0,36.0,25.0,9.0,19.0,12.0,242.0,3.0,12.0,8.0,6.0,15.0
21.0,Tsang Hon Pong (曾漢邦),507.0,28.0,46.0,20.0,34.0,28.0,26.0,22.0,6.0,17.0,25.0,21.0,102.0,36.0,67.0,8.0,6.0,15.0
22.0,Ng Tsz Hei (吳紫熙),562.0,49.0,6.0,47.0,48.0,37.0,33.0,36.0,30.0,24.0,14.0,79.0,49.0,54.0,27.0,8.0,6.0,15.0
23.0,Brian Wu Shang Zhi (鄔尚志),570.0,16.0,28.0,22.0,26.0,16.0,18.0,36.0,47.0,5.0,58.0,29.0,100.0,70.0,70.0,8.0,6.0,15.0
24.0,Lui Chi Fung (雷智鋒),637.0,77.0,88.0,39.0,43.0,27.0,19.0,36.0,47.0,71.0,58.0,28.0,43.0,21.0,11.0,8.0,6.0,15.0
25.0,Wu Chun Yin (胡俊賢),684.0,41.0,18.0,36.0,39.0,44.0,39.0,8.0,47.0,31.0,58.0,30.0,34.0,160.0,70.0,8.0,6.0,15.0
26.0,Daniel Chiu,727.0,15.0,19.0,9.0,25.0,44.0,39.0,36.0,47.0,29.0,58.0,79.0,68.0,160.0,70.0,8.0,6.0,15.0
27.0,Yi Qian (钱奕),742.0,73.0,69.0,105.0,52.0,44.0,39.0,36.0,41.0,26.0,31.0,74.0,37.0,16.0,70.0,8.0,6.0,15.0
28.0,Yang Pin Xiu (楊品修),744.0,4.0,10.0,88.0,57.0,44.0,39.0,36.0,33.0,20.0,49.0,79.0,26.0,160.0,70.0,8.0,6.0,15.0
28.0,Chau Ka Wai (周嘉偉),744.0,48.0,16.0,18.0,41.0,44.0,39.0,26.0,47.0,58.0,58.0,79.0,44.0,159.0,39.0,8.0,6.0,14.0
30.0,Quinson Hon Kwan Shun (韓君信),748.0,62.0,60.0,52.0,36.0,44.0,39.0,36.0,23.0,67.0,44.0,72.0,82.0,32.0,70.0,8.0,6.0,15.0
31.0,Mok Mun Wai (莫滿懷),763.0,57.0,68.0,98.0,110.0,44.0,39.0,34.0,20.0,54.0,54.0,13.0,31.0,43.0,69.0,8.0,6.0,15.0
32.0,Pascal So (蘇柏熙),768.0,68.0,58.0,71.0,60.0,41.0,37.0,36.0,28.0,38.0,35.0,24.0,55.0,160.0,28.0,8.0,6.0,15.0
33.0,Ryan Tang Chi Hang (鄧智恒),783.0,31.0,140.0,19.0,13.0,39.0,39.0,36.0,47.0,97.0,30.0,38.0,42.0,160.0,23.0,8.0,6.0,15.0
34.0,Lam Yu Ching (林雨晴),793.0,120.0,211.0,53.0,55.0,38.0,35.0,36.0,16.0,53.0,43.0,44.0,4.0,22.0,34.0,8.0,6.0,15.0
35.0,Chan Chun Hang (陳浚鏗),794.0,158.0,35.0,74.0,40.0,18.0,21.0,20.0,38.0,76.0,37.0,25.0,62.0,160.0,6.0,8.0,6.0,10.0
