Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Ivan Li Ka Leong (李嘉亮),83.0,2.0,5.0,1.0,1.0,1.0,2.0,4.0,7.0,3.0,13.0,2.0,8.0,10.0,4.0,8.0,6.0,6.0
2.0,Burno Li Chak Kwan (李澤堃),96.0,1.0,3.0,2.0,2.0,2.0,4.0,35.0,2.0,4.0,4.0,1.0,1.0,5.0,1.0,8.0,6.0,15.0
3.0,Andy Mok Man Cheuk (莫文卓),120.0,7.0,13.0,3.0,3.0,4.0,5.0,23.0,5.0,5.0,2.0,3.0,5.0,7.0,6.0,8.0,6.0,15.0
4.0,Wong Yuk Chi (黃昱誌),189.0,17.0,8.0,7.0,7.0,6.0,7.0,35.0,11.0,9.0,8.0,6.0,17.0,6.0,16.0,8.0,6.0,15.0
5.0,Shek Ho Hin (石灝軒),193.0,22.0,14.0,11.0,12.0,9.0,8.0,28.0,11.0,21.0,3.0,10.0,7.0,4.0,8.0,8.0,6.0,11.0
6.0,Mok Man Kit (莫文傑),196.0,32.0,7.0,16.0,11.0,7.0,9.0,19.0,2.0,13.0,5.0,9.0,18.0,1.0,29.0,7.0,6.0,5.0
7.0,Leung Ka Ho (梁家浩),223.0,28.0,33.0,6.0,6.0,8.0,6.0,11.0,8.0,6.0,15.0,26.0,10.0,13.0,24.0,8.0,3.0,12.0
8.0,Chan Hay Yin (陳希言),232.0,21.0,15.0,17.0,18.0,11.0,11.0,10.0,21.0,40.0,9.0,13.0,12.0,11.0,9.0,6.0,6.0,2.0
9.0,Chan Hui Tung (陳許瞳),274.0,32.0,19.0,14.0,20.0,12.0,13.0,18.0,11.0,31.0,21.0,16.0,20.0,17.0,3.0,8.0,6.0,13.0
10.0,Wong Kin Lok (黃健樂),277.0,3.0,11.0,4.0,4.0,3.0,1.0,25.0,1.0,2.0,56.0,27.0,3.0,38.0,70.0,8.0,6.0,15.0
11.0,Timothy Kong Wing Sum (江永琛),286.0,19.0,26.0,10.0,9.0,42.0,37.0,12.0,17.0,10.0,16.0,7.0,6.0,44.0,2.0,8.0,6.0,15.0
12.0,Suen Ming Chi (孫銘志),297.0,52.0,4.0,8.0,16.0,42.0,37.0,35.0,4.0,22.0,1.0,23.0,2.0,2.0,20.0,8.0,6.0,15.0
13.0,Antonio Kam Ho Tung (甘浩東),363.0,11.0,21.0,21.0,24.0,33.0,24.0,1.0,17.0,1.0,33.0,74.0,49.0,8.0,38.0,3.0,4.0,1.0
14.0,Michael Ngan (顏律言),369.0,12.0,46.0,33.0,17.0,14.0,12.0,5.0,11.0,42.0,38.0,17.0,15.0,34.0,50.0,2.0,6.0,15.0
15.0,Fung Hoi Yin (馮凱賢),387.0,13.0,30.0,5.0,5.0,5.0,3.0,35.0,21.0,11.0,56.0,5.0,132.0,15.0,22.0,8.0,6.0,15.0
16.0,Chung Yeung Ho (鍾養浩),424.0,46.0,31.0,31.0,25.0,17.0,23.0,31.0,33.0,49.0,6.0,32.0,22.0,12.0,37.0,8.0,6.0,15.0
17.0,Jacky Koo Chun Ki (顧俊祺),432.0,37.0,49.0,28.0,28.0,18.0,22.0,35.0,36.0,69.0,12.0,4.0,9.0,26.0,30.0,8.0,6.0,15.0
18.0,Rinji Chan Pak Hei (陳柏熹),435.0,17.0,23.0,13.0,22.0,42.0,37.0,17.0,29.0,29.0,11.0,74.0,66.0,9.0,17.0,8.0,6.0,15.0
19.0,Victor Tang Yao Jun (湯曜駿),475.0,98.0,22.0,39.0,15.0,21.0,16.0,3.0,25.0,32.0,46.0,22.0,73.0,39.0,19.0,1.0,1.0,3.0
20.0,Henry Tang Kun Chung (鄧貫中),486.0,22.0,42.0,12.0,8.0,15.0,10.0,35.0,25.0,8.0,18.0,11.0,236.0,3.0,12.0,8.0,6.0,15.0
21.0,Tsang Hon Pong (曾漢邦),495.0,27.0,46.0,20.0,32.0,26.0,25.0,22.0,6.0,16.0,24.0,21.0,99.0,35.0,67.0,8.0,6.0,15.0
22.0,Ng Tsz Hei,545.0,48.0,6.0,46.0,47.0,35.0,32.0,35.0,30.0,23.0,14.0,74.0,47.0,52.0,27.0,8.0,6.0,15.0
23.0,Lui Chi Fung (雷智鋒),622.0,76.0,85.0,38.0,42.0,25.0,18.0,35.0,47.0,71.0,56.0,28.0,40.0,21.0,11.0,8.0,6.0,15.0
24.0,Wu Chun Yin (胡俊賢),666.0,40.0,18.0,35.0,38.0,42.0,37.0,8.0,47.0,30.0,56.0,29.0,30.0,157.0,70.0,8.0,6.0,15.0
25.0,Daniel Chiu,718.0,15.0,19.0,9.0,35.0,42.0,37.0,35.0,47.0,28.0,56.0,74.0,65.0,157.0,70.0,8.0,6.0,15.0
26.0,Yi Qian (钱奕),722.0,73.0,67.0,105.0,50.0,42.0,37.0,35.0,41.0,25.0,30.0,69.0,33.0,16.0,70.0,8.0,6.0,15.0
27.0,Chau Ka Wai (周嘉偉),726.0,47.0,16.0,18.0,40.0,42.0,37.0,26.0,47.0,58.0,56.0,74.0,42.0,156.0,39.0,8.0,6.0,14.0
28.0,Quinson Hon Kwan Shun (韓君信),730.0,62.0,59.0,52.0,34.0,42.0,37.0,35.0,23.0,67.0,43.0,67.0,79.0,31.0,70.0,8.0,6.0,15.0
29.0,Mok Mun Wai (莫滿懷),745.0,57.0,66.0,98.0,105.0,42.0,37.0,33.0,20.0,54.0,53.0,12.0,28.0,42.0,69.0,8.0,6.0,15.0
30.0,Pascal So (蘇柏熙),754.0,68.0,57.0,71.0,58.0,39.0,35.0,35.0,28.0,38.0,34.0,24.0,53.0,157.0,28.0,8.0,6.0,15.0
31.0,Ryan Tang Chi Hang (鄧智恒),763.0,30.0,137.0,19.0,13.0,37.0,37.0,35.0,47.0,95.0,29.0,36.0,39.0,157.0,23.0,8.0,6.0,15.0
32.0,Lam Yu Ching (林雨晴),779.0,120.0,208.0,53.0,53.0,36.0,33.0,35.0,15.0,53.0,42.0,42.0,4.0,22.0,34.0,8.0,6.0,15.0
33.0,Chan Chun Hang (陳浚鏗),782.0,158.0,34.0,74.0,39.0,16.0,20.0,20.0,38.0,76.0,36.0,25.0,59.0,157.0,6.0,8.0,6.0,10.0
34.0,Wong Pat Lun (黃柏綸),786.0,34.0,121.0,86.0,72.0,42.0,37.0,35.0,23.0,90.0,27.0,43.0,64.0,47.0,36.0,8.0,6.0,15.0
35.0,Yang Pin Xiu (楊品修),788.0,4.0,10.0,88.0,105.0,42.0,37.0,35.0,33.0,19.0,50.0,74.0,35.0,157.0,70.0,8.0,6.0,15.0
36.0,Ryan Chan,792.0,43.0,29.0,42.0,105.0,42.0,37.0,35.0,47.0,46.0,56.0,30.0,24.0,157.0,70.0,8.0,6.0,15.0
37.0,Albert So Yik Ban (蘇益品),793.0,58.0,103.0,67.0,69.0,42.0,37.0,35.0,17.0,80.0,56.0,49.0,31.0,50.0,70.0,8.0,6.0,15.0
38.0,Poon Yat Long (潘逸朗),812.0,52.0,126.0,70.0,64.0,42.0,37.0,35.0,47.0,81.0,56.0,74.0,12.0,40.0,47.0,8.0,6.0,15.0
