Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Bence Barát,93.0,5.0,2.0,10.0,3.0,1.0,1.0,4.0,3.0,3.0,14.0,6.0,8.0,10.0,6.0,6.0,6.0,5.0
2.0,Bálint Csengő,99.0,3.0,13.0,4.0,2.0,3.0,4.0,2.0,23.0,8.0,8.0,7.0,5.0,6.0,4.0,2.0,3.0,2.0
3.0,Szabolcs Szántai,124.0,11.0,5.0,7.0,6.0,2.0,5.0,8.0,9.0,7.0,2.0,5.0,2.0,1.0,3.0,12.0,8.0,31.0
4.0,Hunor Bózsing,249.0,6.0,32.0,8.0,7.0,9.0,11.0,30.0,11.0,5.0,16.0,11.0,29.0,16.0,5.0,12.0,8.0,33.0
5.0,Mihály Horváth,268.0,20.0,28.0,20.0,19.0,11.0,15.0,5.0,23.0,18.0,29.0,9.0,23.0,14.0,17.0,4.0,5.0,8.0
6.0,Kristóf Veres,291.0,4.0,10.0,6.0,8.0,7.0,10.0,55.0,23.0,2.0,28.0,23.0,38.0,8.0,13.0,12.0,8.0,36.0
7.0,Dániel Varga,300.0,35.0,25.0,23.0,15.0,12.0,12.0,19.0,11.0,9.0,21.0,25.0,18.0,24.0,21.0,12.0,8.0,10.0
8.0,Bence Kiácz,378.0,22.0,10.0,14.0,17.0,23.0,90.0,78.0,11.0,11.0,11.0,19.0,13.0,2.0,1.0,12.0,8.0,36.0
9.0,Gergely Novotni,395.0,12.0,7.0,2.0,4.0,4.0,3.0,78.0,34.0,27.0,18.0,1.0,12.0,3.0,134.0,12.0,8.0,36.0
10.0,Ákos Dél,411.0,18.0,54.0,15.0,11.0,8.0,8.0,29.0,100.0,39.0,25.0,12.0,7.0,4.0,25.0,12.0,8.0,36.0
11.0,Gábor Slezák,415.0,1.0,24.0,5.0,10.0,13.0,13.0,78.0,11.0,12.0,31.0,43.0,59.0,27.0,32.0,12.0,8.0,36.0
12.0,Milán Baticz,416.0,9.0,23.0,13.0,9.0,14.0,6.0,7.0,7.0,15.0,15.0,8.0,17.0,227.0,15.0,9.0,8.0,14.0
13.0,Róbert Maróti,428.0,2.0,3.0,1.0,5.0,5.0,2.0,42.0,9.0,6.0,116.0,10.0,95.0,26.0,50.0,12.0,8.0,36.0
14.0,Olivér Perge,438.0,38.0,33.0,35.0,34.0,24.0,25.0,18.0,5.0,28.0,3.0,36.0,55.0,33.0,34.0,12.0,8.0,17.0
15.0,Dávid Balog,446.0,61.0,40.0,16.0,18.0,16.0,14.0,78.0,1.0,24.0,16.0,37.0,32.0,29.0,8.0,12.0,8.0,36.0
16.0,Dániel Székely,508.0,28.0,14.0,11.0,20.0,19.0,19.0,9.0,100.0,54.0,116.0,15.0,35.0,5.0,7.0,12.0,8.0,36.0
17.0,András Szermek,562.0,19.0,45.0,33.0,38.0,21.0,22.0,39.0,16.0,43.0,35.0,27.0,42.0,67.0,59.0,12.0,8.0,36.0
18.0,Máté Berecz,665.0,17.0,9.0,17.0,32.0,52.0,50.0,78.0,34.0,20.0,84.0,57.0,98.0,38.0,23.0,12.0,8.0,36.0
19.0,Balázs Bernát,687.0,43.0,55.0,45.0,16.0,26.0,20.0,13.0,16.0,19.0,48.0,40.0,46.0,227.0,44.0,12.0,8.0,9.0
20.0,Benedek Szepesi-Réder,694.0,63.0,75.0,27.0,24.0,45.0,64.0,36.0,100.0,94.0,1.0,44.0,3.0,11.0,51.0,12.0,8.0,36.0
21.0,Bence János Csuti,699.0,23.0,34.0,23.0,29.0,46.0,90.0,34.0,1.0,29.0,116.0,18.0,4.0,86.0,134.0,12.0,8.0,12.0
22.0,György Pintér,701.0,44.0,38.0,26.0,14.0,25.0,17.0,78.0,100.0,40.0,70.0,64.0,74.0,22.0,33.0,12.0,8.0,36.0
23.0,Bálint Bodor,757.0,36.0,86.0,57.0,26.0,17.0,31.0,37.0,16.0,66.0,59.0,2.0,40.0,149.0,79.0,12.0,8.0,36.0
24.0,István Szepesi-Nagy,805.0,61.0,4.0,79.0,95.0,74.0,74.0,21.0,45.0,47.0,46.0,65.0,101.0,18.0,31.0,12.0,8.0,24.0
25.0,Ádám Szabó,832.0,29.0,35.0,53.0,65.0,99.0,90.0,78.0,100.0,88.0,27.0,24.0,25.0,24.0,39.0,12.0,8.0,36.0
26.0,David Csejtey,837.0,20.0,75.0,12.0,13.0,10.0,18.0,69.0,38.0,35.0,116.0,29.0,50.0,227.0,69.0,12.0,8.0,36.0
27.0,Bence Kovács,842.0,100.0,124.0,75.0,56.0,36.0,28.0,60.0,8.0,110.0,43.0,28.0,61.0,48.0,9.0,12.0,8.0,36.0
28.0,Botond Benedek,849.0,27.0,16.0,18.0,47.0,99.0,90.0,78.0,100.0,48.0,74.0,136.0,19.0,22.0,19.0,12.0,8.0,36.0
29.0,Botond Vigh,850.0,97.0,106.0,80.0,52.0,41.0,41.0,31.0,100.0,61.0,13.0,32.0,21.0,89.0,30.0,12.0,8.0,36.0
30.0,Márton Vancsa,872.0,56.0,78.0,36.0,45.0,33.0,36.0,25.0,100.0,21.0,116.0,3.0,105.0,161.0,22.0,12.0,8.0,15.0
31.0,Levente Fejes-Nagyfejeő,875.0,57.0,134.0,39.0,25.0,31.0,24.0,78.0,100.0,55.0,105.0,71.0,51.0,21.0,28.0,12.0,8.0,36.0
32.0,Brúnó Bereczki,881.0,34.0,62.0,42.0,60.0,58.0,70.0,78.0,30.0,79.0,26.0,46.0,1.0,136.0,103.0,12.0,8.0,36.0
33.0,István Márián,890.0,41.0,26.0,48.0,71.0,98.0,90.0,14.0,20.0,14.0,64.0,136.0,27.0,68.0,134.0,11.0,8.0,20.0
34.0,Balázs Kuthi,900.0,126.0,12.0,67.0,62.0,99.0,55.0,78.0,23.0,67.0,39.0,35.0,80.0,76.0,25.0,12.0,8.0,36.0
35.0,András Orbán,901.0,46.0,21.0,64.0,106.0,99.0,90.0,57.0,100.0,46.0,9.0,16.0,14.0,43.0,134.0,12.0,8.0,36.0
36.0,Ábris Galler,913.0,7.0,50.0,9.0,12.0,15.0,49.0,78.0,100.0,1.0,116.0,67.0,164.0,55.0,134.0,12.0,8.0,36.0
37.0,Levente Baráth,926.0,72.0,75.0,88.0,73.0,54.0,46.0,78.0,100.0,107.0,51.0,42.0,31.0,12.0,41.0,12.0,8.0,36.0
38.0,Salamon Tűzkő,933.0,15.0,26.0,19.0,21.0,18.0,16.0,78.0,71.0,4.0,116.0,136.0,120.0,103.0,134.0,12.0,8.0,36.0
39.0,Barnabás Turi,934.0,120.0,80.0,29.0,40.0,32.0,21.0,78.0,11.0,127.0,44.0,45.0,26.0,128.0,97.0,12.0,8.0,36.0
40.0,Norbert Héjja,988.0,58.0,145.0,30.0,23.0,22.0,9.0,15.0,48.0,41.0,49.0,82.0,140.0,227.0,61.0,12.0,8.0,18.0
41.0,Péter Ákos Barta,994.0,76.0,46.0,59.0,30.0,35.0,47.0,50.0,100.0,139.0,62.0,69.0,71.0,20.0,134.0,12.0,8.0,36.0
42.0,József Katona,995.0,69.0,117.0,38.0,28.0,99.0,90.0,78.0,100.0,59.0,34.0,17.0,22.0,54.0,134.0,12.0,8.0,36.0
42.0,Gellért Tamás,995.0,48.0,36.0,94.0,67.0,55.0,90.0,78.0,100.0,56.0,116.0,33.0,33.0,62.0,71.0,12.0,8.0,36.0
