Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Óskar Pétursson,20.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
2.0,Rúnar Gauti Gunnarsson,72.0,2.0,3.0,2.0,2.0,1.0,1.0,8.0,6.0,6.0,9.0,3.0,14.0,8.0,7.0
3.0,Stefán Jónsson,84.0,14.0,1.0,10.0,6.0,5.0,5.0,8.0,4.0,10.0,10.0,1.0,2.0,6.0,2.0
4.0,Óðinn Logi Gunnarsson,86.0,7.0,5.0,5.0,8.0,4.0,4.0,8.0,7.0,9.0,5.0,6.0,6.0,4.0,8.0
5.0,Aron Levi Sigmundsson,117.0,8.0,19.0,6.0,3.0,3.0,0.0,8.0,7.0,12.0,2.0,5.0,26.0,5.0,13.0
6.0,Hilmar Magnusson,124.0,5.0,16.0,3.0,4.0,7.0,6.0,5.0,1.0,2.0,4.0,4.0,17.0,44.0,6.0
7.0,Kári Einarsson,127.0,4.0,24.0,4.0,5.0,6.0,3.0,1.0,7.0,4.0,10.0,13.0,13.0,13.0,20.0
8.0,Eythór Gauti Gíslason,135.0,13.0,6.0,8.0,10.0,11.0,9.0,8.0,7.0,13.0,10.0,13.0,5.0,2.0,20.0
9.0,Hróar Hrólfsson,136.0,15.0,11.0,7.0,16.0,11.0,9.0,8.0,7.0,7.0,10.0,7.0,4.0,19.0,5.0
10.0,Erik Yngvi Brannan,141.0,3.0,8.0,12.0,7.0,11.0,9.0,8.0,7.0,3.0,10.0,13.0,20.0,10.0,20.0
11.0,Gabriel Gunnarsson,177.0,22.0,9.0,19.0,20.0,11.0,8.0,8.0,7.0,16.0,3.0,12.0,8.0,15.0,19.0
12.0,Týr Fáfnir Stefánsson,189.0,11.0,13.0,18.0,30.0,11.0,9.0,8.0,7.0,14.0,10.0,13.0,24.0,17.0,4.0
13.0,Matthías Hrafn Ólafsson Schram,194.0,23.0,20.0,17.0,15.0,11.0,9.0,8.0,7.0,19.0,10.0,13.0,10.0,12.0,20.0
14.0,Tómas Atlason,201.0,10.0,15.0,26.0,30.0,11.0,9.0,8.0,7.0,15.0,10.0,13.0,18.0,9.0,20.0
15.0,Magnús Thor Holloway,213.0,6.0,7.0,44.0,12.0,9.0,9.0,8.0,7.0,17.0,7.0,13.0,32.0,31.0,11.0
