Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Shivam Bansal,218.0,37.0,13.0,33.0,24.0,8.0,11.0,3.0,3.0,11.0,20.0,21.0,3.0,18.0,9.0,2.0,1.0,1.0
2.0,Nikhil Soares,229.0,2.0,1.0,9.0,18.0,25.0,23.0,26.0,18.0,10.0,17.0,1.0,16.0,4.0,20.0,13.0,13.0,13.0
3.0,Sukant Koul,504.0,78.0,62.0,38.0,27.0,19.0,19.0,6.0,5.0,29.0,5.0,5.0,144.0,49.0,5.0,5.0,5.0,3.0
4.0,Mohammed Aiman Koli,596.0,31.0,70.0,34.0,37.0,40.0,43.0,4.0,5.0,42.0,70.0,20.0,17.0,131.0,43.0,3.0,4.0,2.0
5.0,Shubham Maharana,605.0,3.0,3.0,32.0,51.0,45.0,47.0,63.0,28.0,31.0,11.0,11.0,60.0,40.0,31.0,50.0,20.0,79.0
6.0,Bhargav Narasimhan,636.0,30.0,49.0,17.0,62.0,43.0,38.0,19.0,10.0,8.0,34.0,12.0,117.0,41.0,73.0,18.0,20.0,45.0
7.0,Akshaansh Chilakapati,844.0,55.0,144.0,14.0,11.0,7.0,9.0,51.0,74.0,17.0,80.0,16.0,116.0,65.0,85.0,50.0,20.0,30.0
8.0,Akash Rupela,854.0,42.0,128.0,65.0,36.0,38.0,25.0,14.0,12.0,44.0,54.0,14.0,156.0,151.0,29.0,10.0,17.0,19.0
9.0,Hargun Singh Tikku,956.0,27.0,155.0,19.0,9.0,5.0,4.0,153.0,74.0,23.0,65.0,4.0,164.0,28.0,25.0,50.0,20.0,131.0
10.0,Aamir Saifee,987.0,12.0,13.0,22.0,43.0,51.0,44.0,366.0,86.0,35.0,48.0,8.0,40.0,1.0,17.0,50.0,20.0,131.0
11.0,Arnav Arora,989.0,15.0,9.0,6.0,4.0,13.0,7.0,429.0,28.0,3.0,93.0,56.0,89.0,28.0,8.0,50.0,20.0,131.0
12.0,Sheldon Rego,1055.0,122.0,93.0,12.0,2.0,2.0,3.0,223.0,112.0,95.0,33.0,70.0,25.0,3.0,59.0,50.0,20.0,131.0
13.0,Yash Budhiraja,1078.0,81.0,212.0,41.0,13.0,20.0,21.0,114.0,50.0,37.0,83.0,7.0,86.0,51.0,61.0,50.0,20.0,131.0
14.0,Alaik Bhatia,1083.0,25.0,123.0,30.0,38.0,49.0,48.0,13.0,10.0,217.0,87.0,117.0,168.0,95.0,2.0,7.0,20.0,34.0
