Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Firstian Fushada (符逢城),33.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,4.0,6.0,1.0
2.0,Vincent Hartanto Utomo,91.0,6.0,5.0,2.0,3.0,2.0,2.0,11.0,4.0,5.0,11.0,10.0,5.0,11.0,2.0,3.0,2.0,7.0
3.0,Andre Febriato Jonathan,371.0,13.0,11.0,8.0,7.0,6.0,8.0,50.0,16.0,21.0,9.0,20.0,25.0,34.0,18.0,41.0,17.0,67.0
4.0,Wilson Alvis (陈智胜),385.0,26.0,23.0,9.0,12.0,9.0,12.0,32.0,2.0,8.0,51.0,30.0,20.0,28.0,63.0,15.0,14.0,31.0
5.0,Leon Marcell Alamanda,415.0,4.0,12.0,3.0,2.0,3.0,3.0,122.0,5.0,3.0,46.0,14.0,14.0,3.0,7.0,41.0,17.0,116.0
6.0,Michael (謝富亦),566.0,114.0,65.0,43.0,21.0,4.0,4.0,68.0,16.0,81.0,1.0,7.0,35.0,2.0,9.0,41.0,17.0,38.0
7.0,Hendry Cahyadi,615.0,17.0,25.0,14.0,26.0,25.0,17.0,28.0,40.0,34.0,7.0,54.0,9.0,29.0,224.0,20.0,17.0,29.0
8.0,Cendy Cahyo Rahmat,846.0,74.0,3.0,80.0,72.0,56.0,50.0,38.0,11.0,13.0,100.0,128.0,55.0,54.0,39.0,26.0,17.0,30.0
9.0,Muhammad Faeyza Koda,847.0,3.0,6.0,16.0,42.0,135.0,115.0,17.0,6.0,2.0,228.0,8.0,3.0,68.0,24.0,41.0,17.0,116.0
10.0,Angeline Wijaya (黃千儀),912.0,38.0,134.0,19.0,6.0,12.0,10.0,209.0,32.0,100.0,38.0,11.0,117.0,9.0,3.0,41.0,17.0,116.0
11.0,Ariq Rifqi Febrian,974.0,105.0,16.0,76.0,31.0,59.0,77.0,36.0,106.0,120.0,10.0,113.0,36.0,41.0,53.0,41.0,17.0,37.0
12.0,Fakhri Raihaan,975.0,72.0,14.0,70.0,54.0,67.0,62.0,27.0,147.0,51.0,35.0,92.0,33.0,120.0,89.0,13.0,10.0,19.0
13.0,Hafizh Dary Faridhan Hudoyo,1010.0,57.0,42.0,87.0,106.0,53.0,65.0,76.0,9.0,60.0,110.0,127.0,83.0,7.0,36.0,41.0,17.0,34.0
14.0,Jundi Ahmad Alwan,1043.0,87.0,66.0,68.0,32.0,39.0,44.0,227.0,24.0,32.0,52.0,62.0,17.0,45.0,74.0,41.0,17.0,116.0
15.0,Anang Hariyanto Nurhadi,1132.0,11.0,116.0,18.0,15.0,10.0,51.0,92.0,147.0,15.0,29.0,22.0,150.0,123.0,159.0,41.0,17.0,116.0
16.0,Muhammad Badruddin,1164.0,20.0,127.0,12.0,13.0,19.0,35.0,63.0,147.0,45.0,126.0,31.0,50.0,169.0,133.0,41.0,17.0,116.0
17.0,Winda Wardani,1177.0,21.0,107.0,55.0,138.0,135.0,115.0,10.0,24.0,44.0,20.0,13.0,151.0,13.0,224.0,41.0,17.0,49.0
18.0,Nathan Azaria,1187.0,110.0,161.0,78.0,83.0,36.0,40.0,64.0,6.0,56.0,3.0,103.0,226.0,95.0,6.0,41.0,17.0,62.0
19.0,Zaky Kurnia Falah,1277.0,23.0,49.0,27.0,71.0,102.0,115.0,316.0,147.0,39.0,67.0,32.0,15.0,6.0,94.0,41.0,17.0,116.0
20.0,Naufal Shidqi,1315.0,75.0,16.0,46.0,124.0,90.0,115.0,74.0,21.0,47.0,83.0,223.0,53.0,62.0,185.0,41.0,17.0,43.0
21.0,Alvaro Haidar Ersha,1319.0,51.0,4.0,31.0,29.0,31.0,24.0,316.0,147.0,130.0,228.0,17.0,24.0,41.0,72.0,41.0,17.0,116.0
22.0,Fayad Hafiz Attaqi,1327.0,36.0,62.0,51.0,51.0,135.0,115.0,316.0,147.0,52.0,56.0,33.0,32.0,8.0,59.0,41.0,17.0,116.0
23.0,Stephen Adhisaputra,1343.0,19.0,33.0,47.0,50.0,58.0,57.0,43.0,3.0,18.0,40.0,58.0,109.0,516.0,200.0,18.0,17.0,57.0
24.0,Gilbert Theodore Nathaniel,1344.0,62.0,9.0,22.0,45.0,135.0,115.0,45.0,147.0,27.0,228.0,55.0,65.0,14.0,224.0,41.0,17.0,93.0
25.0,Fandy Ramadhan Ganefianto,1346.0,129.0,36.0,73.0,41.0,21.0,27.0,316.0,65.0,28.0,90.0,24.0,26.0,180.0,116.0,41.0,17.0,116.0
26.0,Muhammad Nurul Fajri,1400.0,82.0,100.0,84.0,89.0,135.0,115.0,123.0,147.0,46.0,59.0,40.0,15.0,64.0,127.0,41.0,17.0,116.0
27.0,Muhammad Zhafran Al-Allam,1419.0,33.0,43.0,25.0,13.0,61.0,78.0,219.0,55.0,29.0,149.0,72.0,158.0,133.0,181.0,41.0,17.0,112.0
28.0,Ida Putu Sucita Danuartha,1471.0,178.0,149.0,28.0,25.0,22.0,16.0,316.0,147.0,79.0,62.0,2.0,77.0,149.0,47.0,41.0,17.0,116.0
29.0,Achmad Rizki Zakaria,1489.0,63.0,38.0,11.0,11.0,11.0,9.0,316.0,147.0,259.0,34.0,25.0,84.0,83.0,224.0,41.0,17.0,116.0
30.0,Adrian Jorghy,1501.0,7.0,39.0,4.0,4.0,7.0,19.0,316.0,147.0,6.0,228.0,18.0,40.0,268.0,224.0,41.0,17.0,116.0
31.0,Muhammad Yunan Fahmi,1517.0,389.0,28.0,93.0,118.0,50.0,52.0,148.0,49.0,201.0,48.0,28.0,64.0,45.0,30.0,41.0,17.0,116.0
32.0,Benjamin Wirahpati,1530.0,45.0,31.0,76.0,16.0,13.0,13.0,316.0,147.0,66.0,228.0,47.0,104.0,249.0,5.0,41.0,17.0,116.0
33.0,Mohammad Ibnu Sabilillah,1547.0,171.0,178.0,53.0,24.0,17.0,6.0,59.0,8.0,61.0,188.0,6.0,217.0,389.0,42.0,25.0,17.0,86.0
34.0,Angga Atrie,1593.0,30.0,100.0,23.0,102.0,135.0,115.0,30.0,24.0,64.0,28.0,254.0,250.0,158.0,224.0,17.0,17.0,22.0
35.0,Phillip Maxwell,1610.0,42.0,25.0,60.0,506.0,135.0,115.0,1.0,32.0,24.0,116.0,134.0,41.0,331.0,25.0,2.0,17.0,4.0
36.0,Setya Hadi,1623.0,123.0,138.0,79.0,38.0,38.0,29.0,316.0,106.0,86.0,155.0,98.0,112.0,76.0,55.0,41.0,17.0,116.0
37.0,Faris Adilah Zakaria,1626.0,54.0,157.0,36.0,73.0,44.0,36.0,197.0,141.0,40.0,228.0,102.0,81.0,115.0,224.0,41.0,17.0,40.0
38.0,Alevio Hamizan Ersha,1653.0,28.0,61.0,20.0,20.0,5.0,5.0,316.0,147.0,118.0,228.0,21.0,86.0,200.0,224.0,41.0,17.0,116.0
39.0,Azaeel Benaya Putra,1659.0,5.0,2.0,92.0,85.0,135.0,115.0,316.0,147.0,20.0,228.0,46.0,48.0,22.0,224.0,41.0,17.0,116.0
40.0,Gerson Natanael,1732.0,348.0,55.0,121.0,33.0,26.0,11.0,167.0,65.0,314.0,18.0,131.0,177.0,24.0,68.0,41.0,17.0,116.0
41.0,Muhammad Rafly,1762.0,48.0,45.0,6.0,19.0,24.0,115.0,316.0,147.0,233.0,228.0,48.0,123.0,12.0,224.0,41.0,17.0,116.0
42.0,Michael Tjandra (锺梓翔),1797.0,40.0,43.0,40.0,47.0,75.0,115.0,316.0,24.0,75.0,228.0,254.0,244.0,47.0,75.0,41.0,17.0,116.0
43.0,Muchammad Daniyal Kautsar,1799.0,180.0,77.0,82.0,52.0,33.0,33.0,316.0,55.0,164.0,105.0,176.0,199.0,107.0,46.0,41.0,17.0,116.0
43.0,Tanto Prabowo,1799.0,229.0,95.0,70.0,56.0,71.0,63.0,316.0,147.0,72.0,26.0,120.0,58.0,78.0,224.0,41.0,17.0,116.0
45.0,Ahsanul Insan Hamid,1843.0,245.0,66.0,114.0,127.0,77.0,71.0,4.0,14.0,174.0,77.0,148.0,299.0,285.0,138.0,1.0,1.0,2.0
46.0,Daniel (昂惠丽),1907.0,234.0,178.0,134.0,68.0,66.0,26.0,124.0,147.0,242.0,228.0,67.0,48.0,126.0,45.0,41.0,17.0,116.0
47.0,Allan Tabriez Rosyada,1921.0,10.0,37.0,5.0,5.0,8.0,21.0,217.0,147.0,24.0,228.0,254.0,412.0,155.0,224.0,41.0,17.0,116.0
48.0,Nathan Yusuf Ardabili,1930.0,16.0,72.0,65.0,151.0,135.0,115.0,221.0,147.0,70.0,228.0,254.0,29.0,29.0,224.0,41.0,17.0,116.0
49.0,Adrianus Leoputra (洪海朧),1982.0,27.0,46.0,17.0,17.0,135.0,115.0,100.0,147.0,12.0,195.0,142.0,588.0,43.0,224.0,41.0,17.0,116.0
49.0,Sama Al-Qonuni,1982.0,134.0,22.0,173.0,188.0,135.0,115.0,316.0,60.0,77.0,152.0,116.0,44.0,52.0,224.0,41.0,17.0,116.0
51.0,Alfrisa Diva Wandana,1984.0,12.0,20.0,10.0,10.0,18.0,115.0,316.0,147.0,19.0,228.0,38.0,36.0,743.0,98.0,41.0,17.0,116.0
52.0,Nicholas Vigo Wardhana,2029.0,100.0,171.0,83.0,91.0,135.0,115.0,316.0,106.0,156.0,45.0,254.0,45.0,210.0,28.0,41.0,17.0,116.0
53.0,Farrel Enzo Tanaputra,2030.0,46.0,39.0,56.0,59.0,135.0,115.0,316.0,147.0,210.0,228.0,39.0,153.0,89.0,224.0,41.0,17.0,116.0
54.0,Jayson Sutanto,2035.0,348.0,174.0,131.0,103.0,49.0,37.0,316.0,106.0,205.0,44.0,51.0,192.0,65.0,40.0,41.0,17.0,116.0
55.0,Fiqrianur Haikal,2062.0,199.0,62.0,90.0,131.0,135.0,115.0,316.0,147.0,109.0,228.0,56.0,62.0,37.0,201.0,41.0,17.0,116.0
56.0,Rifa Octavian Himawan,2077.0,8.0,19.0,39.0,506.0,135.0,115.0,316.0,147.0,14.0,228.0,254.0,30.0,38.0,54.0,41.0,17.0,116.0
57.0,Juan Juli Andika Chandra,2107.0,301.0,312.0,110.0,44.0,42.0,34.0,81.0,11.0,92.0,32.0,29.0,94.0,743.0,64.0,41.0,17.0,60.0
58.0,Bali Catur Pengembara,2114.0,200.0,169.0,177.0,506.0,135.0,115.0,48.0,85.0,68.0,111.0,254.0,23.0,26.0,23.0,41.0,17.0,116.0
59.0,Muhammad Fahri Rahman,2115.0,147.0,138.0,112.0,211.0,135.0,115.0,153.0,147.0,167.0,228.0,63.0,97.0,4.0,224.0,41.0,17.0,116.0
60.0,Elliott Yahya Sugondo,2130.0,196.0,92.0,126.0,373.0,135.0,115.0,145.0,147.0,368.0,25.0,151.0,12.0,50.0,21.0,41.0,17.0,116.0
61.0,Damar Arestyo,2136.0,160.0,57.0,108.0,152.0,135.0,115.0,316.0,147.0,87.0,228.0,254.0,53.0,131.0,19.0,41.0,17.0,116.0
62.0,Muhammad Farhan Ardiapratama,2152.0,114.0,118.0,102.0,110.0,70.0,115.0,316.0,147.0,121.0,228.0,43.0,412.0,78.0,4.0,41.0,17.0,116.0
63.0,Nafi Aryasatya,2156.0,39.0,204.0,99.0,506.0,135.0,115.0,316.0,147.0,99.0,228.0,9.0,19.0,23.0,43.0,41.0,17.0,116.0
64.0,Aji Surya Putra,2159.0,231.0,155.0,196.0,157.0,113.0,83.0,224.0,49.0,150.0,140.0,152.0,168.0,27.0,140.0,41.0,17.0,116.0
65.0,Gabriel,2164.0,225.0,262.0,138.0,69.0,43.0,43.0,316.0,147.0,162.0,60.0,41.0,220.0,112.0,152.0,41.0,17.0,116.0
66.0,Andreas Parulian,2183.0,158.0,137.0,41.0,60.0,135.0,115.0,316.0,73.0,91.0,228.0,85.0,258.0,88.0,224.0,41.0,17.0,116.0
67.0,Azizah Nur Hayati,2189.0,179.0,250.0,225.0,218.0,103.0,88.0,316.0,147.0,175.0,66.0,123.0,27.0,29.0,69.0,41.0,17.0,116.0
68.0,Azhar Aziz Fachrezi,2227.0,159.0,86.0,106.0,140.0,135.0,115.0,137.0,147.0,126.0,228.0,75.0,154.0,411.0,34.0,41.0,17.0,116.0
69.0,Radityo Yunus Utomo Wicaksono,2233.0,97.0,107.0,130.0,123.0,135.0,100.0,42.0,60.0,59.0,94.0,166.0,80.0,734.0,224.0,41.0,17.0,24.0
70.0,Jonathan Antonio Oktavian,2263.0,88.0,223.0,26.0,48.0,34.0,31.0,316.0,147.0,98.0,228.0,254.0,133.0,239.0,224.0,41.0,17.0,116.0
71.0,Dirza Ramadhan,2267.0,100.0,161.0,72.0,101.0,135.0,115.0,166.0,147.0,110.0,228.0,4.0,249.0,281.0,224.0,41.0,17.0,116.0
