Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Arian Geravandi (آرین گراوندی),157.0,1.0,6.0,2.0,2.0,4.0,8.0,4.0,8.0,10.0,16.0,5.0,48.0,29.0,10.0,1.0,3.0
2.0,Seyyed Mohammad Hossein Fatemi (سید محمد حسین فاطمی),214.0,12.0,1.0,5.0,11.0,15.0,22.0,31.0,5.0,4.0,15.0,4.0,26.0,35.0,17.0,2.0,9.0
3.0,Farid Fakhrian (فرید فخریان),229.0,13.0,21.0,12.0,21.0,13.0,15.0,22.0,3.0,5.0,36.0,25.0,16.0,3.0,13.0,2.0,9.0
4.0,Soheil Lotfi (سهیل لطفی),286.0,20.0,27.0,4.0,7.0,5.0,5.0,33.0,17.0,28.0,36.0,10.0,49.0,11.0,23.0,2.0,9.0
5.0,Mohammad Sarlaki (محمد سرلکی),301.0,15.0,22.0,11.0,8.0,7.0,4.0,33.0,47.0,11.0,36.0,14.0,33.0,26.0,23.0,2.0,9.0
6.0,Mehrzad Goli (مهرزاد گلی),315.0,53.0,9.0,34.0,51.0,26.0,22.0,7.0,14.0,34.0,13.0,11.0,7.0,1.0,22.0,2.0,9.0
7.0,Saman Parvizi (سامان پرویزی),321.0,9.0,3.0,23.0,31.0,11.0,9.0,33.0,47.0,24.0,36.0,31.0,25.0,5.0,23.0,2.0,9.0
8.0,Sam Mehmani (سام مهمانی),334.0,21.0,2.0,15.0,30.0,26.0,22.0,33.0,3.0,30.0,36.0,59.0,13.0,10.0,23.0,2.0,9.0
9.0,Ilia Rashidi (ایلیا رشیدی),340.0,28.0,3.0,76.0,33.0,8.0,12.0,33.0,24.0,20.0,36.0,20.0,5.0,8.0,23.0,2.0,9.0
10.0,Amirali Farajnezhad (امیرعلی فرج نژاد),343.0,5.0,9.0,9.0,27.0,26.0,22.0,33.0,47.0,19.0,36.0,34.0,20.0,22.0,23.0,2.0,9.0
11.0,Ali Chegini (علی چگینی),391.0,48.0,16.0,26.0,16.0,9.0,22.0,33.0,47.0,25.0,36.0,59.0,11.0,9.0,23.0,2.0,9.0
12.0,Kasra Sarebanha (کسری ساربانها),398.0,3.0,6.0,21.0,29.0,26.0,22.0,33.0,33.0,96.0,36.0,45.0,10.0,4.0,23.0,2.0,9.0
13.0,Parham Saeed Nia (پرهام سعیدنیا),399.0,24.0,8.0,28.0,25.0,26.0,22.0,2.0,6.0,16.0,36.0,38.0,19.0,134.0,8.0,2.0,5.0
14.0,Parsa Saeed Nia (پارسا سعیدنیا),412.0,45.0,14.0,16.0,14.0,26.0,22.0,1.0,17.0,35.0,36.0,18.0,17.0,134.0,7.0,2.0,8.0
15.0,Fardin Bahadory Nejad (فردین بهادری نژاد),446.0,10.0,29.0,20.0,5.0,26.0,7.0,6.0,34.0,1.0,36.0,8.0,99.0,134.0,23.0,2.0,6.0
16.0,Rahi Mirmonsef,488.0,50.0,45.0,14.0,10.0,26.0,22.0,33.0,47.0,47.0,36.0,2.0,2.0,134.0,9.0,2.0,9.0
17.0,Ali Valizadeh (علی ولیزاده),500.0,34.0,51.0,63.0,57.0,26.0,22.0,33.0,27.0,27.0,36.0,59.0,18.0,13.0,23.0,2.0,9.0
18.0,Ardavan Jebelli (اردوان جبلی),503.0,81.0,13.0,68.0,123.0,26.0,22.0,33.0,21.0,33.0,21.0,22.0,4.0,2.0,23.0,2.0,9.0
19.0,Mohammad Sepehr Ebadi (محمد سپهر عبادی),529.0,38.0,103.0,41.0,20.0,26.0,22.0,33.0,11.0,2.0,36.0,59.0,105.0,16.0,6.0,2.0,9.0
20.0,Ali Zafarmand (علی ظفرمند),534.0,30.0,43.0,39.0,34.0,26.0,22.0,33.0,47.0,63.0,36.0,59.0,47.0,21.0,23.0,2.0,9.0
21.0,Mohammad Soroush Hoseini (محمد سروش حسینی),543.0,11.0,31.0,54.0,39.0,26.0,22.0,33.0,14.0,100.0,23.0,21.0,1.0,134.0,23.0,2.0,9.0
22.0,Ali Farahani (علی فراهانی),552.0,41.0,53.0,64.0,55.0,23.0,22.0,33.0,31.0,36.0,10.0,53.0,24.0,73.0,23.0,2.0,9.0
23.0,Erfan Teimori (عرفان تیموری),556.0,122.0,24.0,70.0,32.0,26.0,22.0,33.0,47.0,51.0,36.0,3.0,12.0,44.0,23.0,2.0,9.0
24.0,Ali Atashi (علی آتشی),575.0,4.0,47.0,1.0,4.0,26.0,22.0,18.0,47.0,15.0,36.0,59.0,162.0,100.0,23.0,2.0,9.0
25.0,Ali Dadfar (علی دادفر),585.0,35.0,19.0,13.0,22.0,26.0,22.0,33.0,47.0,12.0,36.0,59.0,93.0,134.0,23.0,2.0,9.0
26.0,Ramtin Zanganeh (رامتین زنگنه),603.0,78.0,23.0,99.0,52.0,26.0,22.0,33.0,47.0,73.0,36.0,19.0,55.0,6.0,23.0,2.0,9.0
27.0,Arvin Mangeri (آروین مانگری),618.0,55.0,64.0,84.0,46.0,17.0,14.0,33.0,47.0,9.0,36.0,15.0,96.0,68.0,23.0,2.0,9.0
28.0,Farzad Karimi (فرزاد کریمی),619.0,40.0,47.0,45.0,58.0,26.0,22.0,16.0,47.0,13.0,36.0,59.0,42.0,134.0,23.0,2.0,9.0
