Rank,name,Sum,333,222,444,555,333fm,333oh,pyram,skewb,sq1
1.0,Layth Alkinani,17.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0
2.0,Hussein Abdulwahid,23.0,2.0,5.0,1.0,1.0,2.0,1.0,6.0,3.0,2.0
3.0,Yousef Aboud,25.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
4.0,Yousif Al-Juboori,26.0,6.0,1.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0
5.0,Misk Hussein Abdulrazak,28.0,10.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0
6.0,Bashar Khalil Ibrahim,29.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0
6.0,Hussein Tariq,29.0,4.0,6.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0
8.0,Jaafar Hayder Noori Al-Ulsaed Essa,31.0,1.0,11.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0
9.0,Ali Karradi,35.0,9.0,9.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0
9.0,Anas Obaidi,35.0,8.0,8.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0
11.0,Yousif Naseer,39.0,10.0,10.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0
