Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Ciarán Beahan,85.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,7.0,2.0,29.0,2.0,5.0,13.0,3.0,5.0,2.0,4.0
2.0,Richard Madden,122.0,4.0,3.0,7.0,7.0,4.0,3.0,27.0,24.0,3.0,3.0,4.0,2.0,9.0,1.0,7.0,2.0,12.0
3.0,Cillian Hainbach,178.0,7.0,8.0,3.0,3.0,5.0,4.0,27.0,10.0,8.0,26.0,18.0,4.0,19.0,15.0,7.0,2.0,12.0
4.0,Scott Froggatt,273.0,6.0,1.0,17.0,21.0,48.0,30.0,27.0,10.0,5.0,17.0,3.0,3.0,46.0,18.0,7.0,2.0,12.0
5.0,Rían Burke,278.0,24.0,20.0,28.0,39.0,30.0,45.0,22.0,10.0,19.0,2.0,6.0,8.0,2.0,2.0,7.0,2.0,12.0
6.0,Ben Timmons,292.0,39.0,27.0,18.0,13.0,8.0,8.0,13.0,40.0,30.0,5.0,32.0,19.0,11.0,13.0,7.0,2.0,7.0
7.0,John O'Connell,317.0,7.0,40.0,8.0,8.0,7.0,10.0,27.0,17.0,9.0,72.0,17.0,53.0,17.0,4.0,7.0,2.0,12.0
8.0,Adam Bermingham,328.0,46.0,27.0,23.0,20.0,12.0,17.0,7.0,8.0,29.0,16.0,8.0,27.0,60.0,8.0,7.0,2.0,11.0
9.0,Ronan Finke,375.0,34.0,16.0,30.0,30.0,32.0,32.0,27.0,31.0,20.0,10.0,47.0,18.0,7.0,20.0,7.0,2.0,12.0
10.0,Enda Loftus,396.0,14.0,12.0,38.0,34.0,41.0,38.0,9.0,46.0,33.0,13.0,1.0,1.0,3.0,96.0,7.0,2.0,8.0
11.0,Eric Quinn,434.0,23.0,9.0,11.0,10.0,17.0,18.0,27.0,35.0,31.0,46.0,54.0,65.0,27.0,40.0,7.0,2.0,12.0
12.0,Liam Craven,473.0,42.0,60.0,15.0,22.0,16.0,20.0,21.0,46.0,0.0,130.0,0.0,38.0,31.0,11.0,7.0,2.0,12.0
13.0,Maeve Hickey,481.0,15.0,48.0,14.0,11.0,20.0,50.0,8.0,29.0,10.0,99.0,5.0,25.0,30.0,96.0,7.0,2.0,12.0
14.0,Kalin Doherty,494.0,10.0,2.0,32.0,38.0,58.0,50.0,18.0,5.0,35.0,18.0,37.0,69.0,5.0,96.0,7.0,2.0,12.0
15.0,Conor Sheridan,509.0,59.0,14.0,44.0,40.0,31.0,44.0,27.0,46.0,21.0,45.0,25.0,59.0,14.0,19.0,7.0,2.0,12.0
16.0,Adam Furlong,514.0,11.0,46.0,4.0,4.0,6.0,5.0,27.0,3.0,16.0,54.0,13.0,43.0,165.0,96.0,7.0,2.0,12.0
17.0,Tao Yu (喻韬),528.0,5.0,4.0,6.0,12.0,58.0,50.0,1.0,1.0,1.0,24.0,66.0,89.0,108.0,94.0,1.0,2.0,6.0
18.0,Simon Kelly,543.0,38.0,61.0,51.0,45.0,33.0,33.0,5.0,20.0,88.0,9.0,75.0,14.0,18.0,46.0,2.0,2.0,3.0
19.0,Kevin Tspon,551.0,60.0,107.0,45.0,35.0,35.0,28.0,23.0,43.0,51.0,12.0,26.0,7.0,25.0,33.0,7.0,2.0,12.0
20.0,James Tyrrell,590.0,31.0,92.0,16.0,6.0,3.0,2.0,14.0,6.0,17.0,64.0,10.0,116.0,107.0,85.0,7.0,2.0,12.0
21.0,Andy Lee Mitchell,598.0,58.0,36.0,10.0,15.0,22.0,39.0,27.0,46.0,18.0,72.0,64.0,79.0,65.0,26.0,7.0,2.0,12.0
22.0,CJ Furey,604.0,2.0,10.0,13.0,19.0,58.0,50.0,27.0,15.0,4.0,130.0,145.0,6.0,8.0,96.0,7.0,2.0,12.0
23.0,Jake Donnelly,608.0,53.0,37.0,59.0,46.0,45.0,50.0,27.0,16.0,34.0,42.0,113.0,27.0,4.0,34.0,7.0,2.0,12.0
24.0,William Carey,613.0,79.0,21.0,95.0,126.0,58.0,50.0,26.0,27.0,45.0,4.0,15.0,11.0,5.0,30.0,7.0,2.0,12.0
25.0,Seán O'Toole,636.0,93.0,25.0,58.0,47.0,46.0,36.0,24.0,22.0,99.0,1.0,12.0,91.0,38.0,23.0,7.0,2.0,12.0
26.0,Rhys Maher,646.0,12.0,17.0,42.0,165.0,58.0,50.0,27.0,46.0,43.0,53.0,7.0,30.0,68.0,7.0,7.0,2.0,12.0
27.0,Conor Smith,659.0,109.0,59.0,49.0,32.0,19.0,12.0,27.0,24.0,110.0,71.0,40.0,17.0,45.0,24.0,7.0,2.0,12.0
28.0,Ben Keogh,681.0,132.0,92.0,77.0,36.0,23.0,19.0,17.0,34.0,37.0,59.0,11.0,57.0,27.0,41.0,7.0,2.0,10.0
29.0,Natan Regiec,686.0,20.0,66.0,21.0,18.0,15.0,15.0,27.0,46.0,14.0,130.0,63.0,76.0,58.0,96.0,7.0,2.0,12.0
30.0,Elliott Laurent,688.0,52.0,87.0,19.0,37.0,26.0,23.0,27.0,35.0,123.0,37.0,27.0,75.0,68.0,31.0,7.0,2.0,12.0
31.0,Tymon Szalinski,705.0,41.0,43.0,61.0,84.0,58.0,50.0,27.0,46.0,54.0,33.0,19.0,34.0,81.0,53.0,7.0,2.0,12.0
32.0,Alex Kelly,709.0,37.0,64.0,37.0,66.0,50.0,50.0,27.0,46.0,100.0,75.0,50.0,22.0,21.0,43.0,7.0,2.0,12.0
33.0,Laurence He,734.0,17.0,54.0,5.0,5.0,11.0,7.0,27.0,46.0,44.0,130.0,145.0,141.0,20.0,61.0,7.0,2.0,12.0
34.0,Colm Fitz,765.0,64.0,173.0,26.0,14.0,9.0,6.0,27.0,46.0,50.0,130.0,28.0,95.0,48.0,28.0,7.0,2.0,12.0
35.0,Conor McMorrow,769.0,57.0,6.0,84.0,165.0,58.0,50.0,27.0,46.0,51.0,8.0,145.0,31.0,15.0,5.0,7.0,2.0,12.0
36.0,Keith Jackman,776.0,36.0,22.0,41.0,69.0,58.0,50.0,27.0,46.0,74.0,130.0,145.0,20.0,21.0,16.0,7.0,2.0,12.0
37.0,Rory Furlong,780.0,65.0,80.0,24.0,53.0,44.0,50.0,27.0,46.0,81.0,95.0,16.0,88.0,80.0,10.0,7.0,2.0,12.0
38.0,Thomas Visaya-Neville,789.0,48.0,24.0,25.0,49.0,38.0,27.0,27.0,46.0,24.0,81.0,94.0,128.0,82.0,75.0,7.0,2.0,12.0
39.0,Cathal Burke,811.0,22.0,114.0,31.0,165.0,58.0,50.0,27.0,46.0,25.0,63.0,79.0,61.0,1.0,48.0,7.0,2.0,12.0
40.0,Conor Reilly,829.0,81.0,116.0,46.0,23.0,13.0,14.0,27.0,46.0,63.0,31.0,82.0,36.0,134.0,96.0,7.0,2.0,12.0
41.0,Oscar Green,830.0,28.0,44.0,63.0,83.0,58.0,50.0,27.0,46.0,113.0,130.0,22.0,9.0,40.0,96.0,7.0,2.0,12.0
42.0,Mary Hennessy,839.0,77.0,30.0,52.0,25.0,24.0,22.0,20.0,24.0,68.0,19.0,33.0,56.0,272.0,96.0,7.0,2.0,12.0
43.0,Arthur Nicell,850.0,89.0,26.0,60.0,55.0,58.0,50.0,19.0,46.0,73.0,28.0,21.0,131.0,131.0,42.0,7.0,2.0,12.0
