Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Ben Baron,34.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,4.0,1.0,3.0,2.0
2.0,Roy Tamir,119.0,3.0,3.0,5.0,4.0,3.0,3.0,32.0,2.0,1.0,10.0,4.0,4.0,3.0,8.0,12.0,6.0,16.0
3.0,Ivan Torgashov,132.0,21.0,7.0,3.0,3.0,1.0,1.0,29.0,36.0,3.0,0.0,10.0,0.0,0.0,0.0,12.0,6.0,0.0
4.0,Yoav Vishne,188.0,2.0,1.0,9.0,11.0,15.0,19.0,43.0,15.0,10.0,7.0,3.0,7.0,1.0,9.0,12.0,6.0,18.0
5.0,Itamar Turm,298.0,17.0,66.0,33.0,18.0,14.0,21.0,23.0,2.0,7.0,28.0,12.0,1.0,26.0,3.0,11.0,6.0,10.0
6.0,Netanel Pour,305.0,25.0,49.0,17.0,5.0,7.0,7.0,61.0,8.0,27.0,13.0,25.0,2.0,8.0,7.0,12.0,6.0,26.0
7.0,Liav Bengayev,309.0,16.0,24.0,7.0,28.0,36.0,74.0,2.0,6.0,13.0,3.0,19.0,23.0,30.0,5.0,2.0,6.0,15.0
8.0,Guy Taragano,379.0,22.0,19.0,32.0,19.0,11.0,6.0,46.0,75.0,17.0,24.0,24.0,11.0,10.0,19.0,12.0,6.0,26.0
9.0,Niv Doron,513.0,43.0,64.0,24.0,21.0,26.0,15.0,59.0,18.0,28.0,2.0,30.0,64.0,42.0,33.0,12.0,6.0,26.0
10.0,Yoni Strassberg,535.0,30.0,56.0,16.0,6.0,10.0,14.0,5.0,9.0,15.0,66.0,21.0,35.0,114.0,108.0,12.0,6.0,12.0
11.0,Amitai Ziv,540.0,45.0,74.0,57.0,37.0,20.0,18.0,18.0,2.0,43.0,45.0,29.0,101.0,17.0,16.0,6.0,6.0,6.0
12.0,Ofek Egozi,550.0,40.0,46.0,15.0,24.0,29.0,43.0,83.0,75.0,23.0,70.0,18.0,22.0,4.0,14.0,12.0,6.0,26.0
13.0,Zecharya Moshavi,570.0,4.0,93.0,1.0,1.0,5.0,12.0,31.0,2.0,6.0,94.0,2.0,63.0,127.0,85.0,12.0,6.0,26.0
14.0,Elai Amit-Wender,644.0,12.0,10.0,10.0,13.0,9.0,11.0,83.0,75.0,11.0,59.0,155.0,65.0,58.0,29.0,12.0,6.0,26.0
15.0,Jonathan Rutenberg,663.0,133.0,5.0,67.0,71.0,43.0,48.0,83.0,24.0,67.0,15.0,7.0,12.0,19.0,25.0,12.0,6.0,26.0
16.0,Avshalom Sharavani,677.0,41.0,32.0,11.0,15.0,90.0,74.0,13.0,42.0,16.0,117.0,26.0,76.0,16.0,77.0,12.0,6.0,13.0
17.0,Inbar Segal,704.0,34.0,58.0,48.0,34.0,45.0,52.0,51.0,24.0,20.0,117.0,11.0,144.0,5.0,26.0,12.0,6.0,17.0
18.0,Kfir Havivi,706.0,76.0,36.0,50.0,46.0,90.0,74.0,83.0,26.0,35.0,37.0,6.0,42.0,29.0,32.0,12.0,6.0,26.0
19.0,Uri Roitgrund,717.0,69.0,28.0,48.0,108.0,52.0,74.0,35.0,62.0,51.0,5.0,46.0,16.0,15.0,64.0,12.0,6.0,26.0
20.0,Dan Boharon,750.0,11.0,24.0,39.0,25.0,39.0,36.0,83.0,21.0,14.0,76.0,21.0,55.0,131.0,131.0,12.0,6.0,26.0
21.0,Levi Krassenstein,758.0,32.0,128.0,19.0,23.0,17.0,31.0,41.0,9.0,81.0,8.0,102.0,190.0,20.0,13.0,12.0,6.0,26.0
22.0,Rotem Eisner,761.0,20.0,43.0,14.0,8.0,4.0,5.0,60.0,75.0,94.0,117.0,51.0,74.0,21.0,131.0,12.0,6.0,26.0
23.0,Etai Amibar,768.0,54.0,9.0,29.0,35.0,34.0,25.0,6.0,75.0,37.0,97.0,49.0,114.0,81.0,79.0,12.0,6.0,26.0
24.0,Denis Rapoport,769.0,0.0,0.0,0.0,0.0,90.0,74.0,83.0,75.0,0.0,117.0,155.0,0.0,0.0,131.0,12.0,6.0,26.0
25.0,Eitan Schild,779.0,9.0,23.0,13.0,14.0,13.0,74.0,16.0,75.0,41.0,104.0,155.0,83.0,64.0,51.0,12.0,6.0,26.0
26.0,Daniel Yosef,808.0,57.0,187.0,22.0,7.0,6.0,4.0,73.0,73.0,34.0,98.0,31.0,24.0,66.0,82.0,12.0,6.0,26.0
27.0,Omri Kehila,818.0,10.0,18.0,35.0,32.0,40.0,35.0,83.0,75.0,4.0,50.0,88.0,129.0,44.0,131.0,12.0,6.0,26.0
28.0,Evgeny Chak,837.0,0.0,0.0,0.0,42.0,25.0,9.0,83.0,0.0,0.0,117.0,0.0,0.0,386.0,131.0,12.0,6.0,26.0
29.0,Achia Engel,847.0,137.0,218.0,46.0,38.0,23.0,16.0,11.0,15.0,45.0,20.0,27.0,122.0,79.0,37.0,3.0,1.0,9.0
30.0,Rotem Kagan,851.0,8.0,28.0,18.0,29.0,22.0,28.0,44.0,18.0,26.0,46.0,20.0,3.0,386.0,131.0,12.0,6.0,26.0
31.0,Ben Matyas,865.0,30.0,11.0,45.0,265.0,90.0,74.0,25.0,50.0,50.0,16.0,17.0,19.0,106.0,23.0,12.0,6.0,26.0
32.0,Gilad Cohen,886.0,18.0,111.0,25.0,68.0,90.0,74.0,33.0,26.0,25.0,117.0,9.0,16.0,99.0,131.0,12.0,6.0,26.0
33.0,Yoel Khanin,892.0,75.0,83.0,98.0,66.0,90.0,74.0,83.0,46.0,37.0,25.0,23.0,10.0,7.0,131.0,12.0,6.0,26.0
34.0,Itai Hershberg,900.0,79.0,108.0,84.0,54.0,37.0,32.0,83.0,75.0,24.0,26.0,32.0,38.0,53.0,131.0,12.0,6.0,26.0
35.0,Yair Ron,932.0,102.0,96.0,139.0,102.0,90.0,74.0,83.0,36.0,99.0,17.0,8.0,13.0,27.0,2.0,12.0,6.0,26.0
36.0,Eitan Partush,938.0,50.0,116.0,68.0,112.0,90.0,74.0,28.0,9.0,55.0,22.0,53.0,52.0,93.0,72.0,12.0,6.0,26.0
37.0,Yoad Yahalom Weiss,949.0,42.0,120.0,80.0,59.0,56.0,46.0,22.0,9.0,12.0,32.0,67.0,107.0,211.0,61.0,12.0,6.0,7.0
38.0,Alon Ron,961.0,81.0,90.0,54.0,31.0,33.0,51.0,12.0,6.0,69.0,117.0,64.0,140.0,136.0,40.0,12.0,6.0,19.0
39.0,Yedidya Nisim Shimoni,962.0,100.0,27.0,79.0,83.0,90.0,74.0,53.0,75.0,21.0,117.0,52.0,36.0,63.0,48.0,12.0,6.0,26.0
40.0,Eviatar Hittin,985.0,85.0,32.0,143.0,146.0,90.0,74.0,83.0,21.0,127.0,19.0,39.0,37.0,21.0,24.0,12.0,6.0,26.0
41.0,Noam Katz,987.0,18.0,70.0,64.0,70.0,59.0,61.0,83.0,46.0,22.0,113.0,41.0,130.0,145.0,21.0,12.0,6.0,26.0
42.0,Yoav Mandelzweig,1026.0,36.0,12.0,131.0,137.0,90.0,74.0,54.0,75.0,63.0,69.0,155.0,6.0,33.0,47.0,12.0,6.0,26.0
43.0,Nachman Aiello,1054.0,38.0,40.0,147.0,161.0,65.0,57.0,83.0,75.0,110.0,11.0,42.0,89.0,38.0,54.0,12.0,6.0,26.0
44.0,Nir Marcovitz,1057.0,67.0,14.0,107.0,134.0,63.0,69.0,83.0,75.0,53.0,29.0,83.0,58.0,144.0,34.0,12.0,6.0,26.0
45.0,Eilam Fein,1071.0,14.0,15.0,30.0,48.0,90.0,74.0,83.0,75.0,31.0,49.0,33.0,81.0,386.0,18.0,12.0,6.0,26.0
46.0,Lior Segev,1111.0,76.0,95.0,72.0,120.0,90.0,74.0,83.0,75.0,57.0,117.0,54.0,8.0,83.0,63.0,12.0,6.0,26.0
47.0,Shmulik Kachuriner,1112.0,58.0,58.0,127.0,145.0,90.0,74.0,42.0,75.0,145.0,14.0,77.0,50.0,45.0,68.0,12.0,6.0,26.0
48.0,Maor Hoter,1118.0,29.0,32.0,102.0,265.0,90.0,74.0,83.0,26.0,7.0,67.0,155.0,31.0,108.0,5.0,12.0,6.0,26.0
49.0,Itai Werner,1119.0,38.0,62.0,111.0,89.0,90.0,74.0,83.0,67.0,89.0,42.0,74.0,136.0,70.0,50.0,12.0,6.0,26.0
50.0,Amit Schori,1150.0,7.0,19.0,31.0,22.0,19.0,29.0,83.0,75.0,5.0,117.0,155.0,326.0,87.0,131.0,12.0,6.0,26.0
