Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Shuto Ueno (上野柊斗),302.0,31.0,19.0,12.0,10.0,13.0,11.0,10.0,1.0,9.0,32.0,14.0,32.0,19.0,9.0,17.0,28.0,35.0
2.0,Yu Nakajima (中島悠),303.0,26.0,3.0,18.0,9.0,18.0,18.0,23.0,8.0,17.0,11.0,21.0,46.0,31.0,12.0,8.0,5.0,29.0
3.0,Ao Nogami (野上碧),333.0,2.0,4.0,7.0,8.0,4.0,9.0,68.0,20.0,3.0,2.0,2.0,5.0,2.0,6.0,60.0,39.0,92.0
4.0,Sei Sugama (洲鎌星),336.0,1.0,17.0,1.0,1.0,2.0,1.0,34.0,34.0,7.0,16.0,17.0,61.0,15.0,27.0,23.0,37.0,42.0
5.0,Tomohiro Kobayashi (小林知広),412.0,40.0,11.0,13.0,11.0,1.0,2.0,37.0,4.0,31.0,19.0,10.0,30.0,14.0,39.0,39.0,31.0,80.0
6.0,Yuhei Takagi (高木佑平),425.0,37.0,25.0,32.0,26.0,15.0,16.0,16.0,4.0,1.0,31.0,39.0,27.0,62.0,31.0,13.0,10.0,40.0
7.0,Taiga Takaoka (高岡汰虎),429.0,20.0,12.0,28.0,19.0,21.0,29.0,32.0,20.0,22.0,28.0,9.0,1.0,5.0,36.0,46.0,39.0,62.0
8.0,Wataru Hashimura (端村航),650.0,19.0,18.0,49.0,53.0,22.0,24.0,89.0,12.0,60.0,15.0,18.0,40.0,11.0,29.0,60.0,39.0,92.0
8.0,Arifumi Fushimi (伏見有史),650.0,3.0,27.0,6.0,20.0,27.0,100.0,22.0,4.0,2.0,9.0,4.0,88.0,100.0,70.0,60.0,39.0,69.0
10.0,Takayuki Tanaka (田中隆喜),680.0,82.0,92.0,33.0,29.0,25.0,23.0,48.0,44.0,28.0,49.0,33.0,73.0,70.0,7.0,18.0,12.0,14.0
11.0,Yu Sajima (佐島優),772.0,24.0,58.0,2.0,3.0,5.0,4.0,92.0,34.0,30.0,8.0,34.0,103.0,104.0,80.0,60.0,39.0,92.0
12.0,Asato Irifune (入船朝斗),804.0,9.0,28.0,11.0,22.0,19.0,22.0,100.0,20.0,6.0,128.0,49.0,42.0,7.0,150.0,60.0,39.0,92.0
13.0,Taku Yanai (矢内拓),818.0,90.0,174.0,72.0,95.0,64.0,53.0,6.0,20.0,68.0,42.0,53.0,13.0,25.0,10.0,7.0,9.0,17.0
14.0,Tomoyuki Hiraide (平出智之),830.0,104.0,23.0,81.0,70.0,123.0,73.0,14.0,4.0,32.0,128.0,51.0,31.0,35.0,47.0,5.0,6.0,3.0
15.0,Shoji Nishimura (西村晶司),839.0,41.0,15.0,34.0,43.0,37.0,115.0,110.0,151.0,38.0,1.0,22.0,22.0,24.0,33.0,60.0,39.0,54.0
