Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Zakarya Otair,34.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0
2.0,Abdallah Almaharmeh,74.0,13.0,3.0,11.0,4.0,4.0,3.0,9.0,4.0,6.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0
3.0,Kamel Hammouri,108.0,1.0,5.0,2.0,2.0,2.0,4.0,9.0,1.0,3.0,12.0,4.0,2.0,44.0,11.0,2.0,2.0,2.0
4.0,Layan Sbeitan,133.0,10.0,7.0,17.0,23.0,9.0,4.0,9.0,7.0,14.0,5.0,3.0,3.0,5.0,11.0,2.0,2.0,2.0
5.0,Hani Al-Karrain,152.0,11.0,1.0,16.0,23.0,9.0,4.0,2.0,7.0,19.0,12.0,19.0,9.0,3.0,11.0,2.0,2.0,2.0
5.0,Omar Abdlkareem Albalouli,152.0,3.0,13.0,7.0,5.0,9.0,4.0,9.0,7.0,5.0,12.0,19.0,4.0,44.0,5.0,2.0,2.0,2.0
7.0,Albaraa Moqbel,159.0,19.0,18.0,10.0,13.0,9.0,4.0,9.0,7.0,8.0,12.0,19.0,8.0,6.0,11.0,2.0,2.0,2.0
8.0,Zaid Doofesh (زيد دوفش),173.0,13.0,23.0,8.0,6.0,5.0,2.0,3.0,7.0,7.0,12.0,14.0,15.0,44.0,8.0,2.0,2.0,2.0
9.0,Baha Alshwaiki,182.0,4.0,8.0,5.0,3.0,3.0,4.0,7.0,7.0,2.0,12.0,7.0,102.0,1.0,11.0,2.0,2.0,2.0
10.0,Abdel Rahman Adnan Alrefae,191.0,22.0,19.0,19.0,9.0,7.0,4.0,5.0,6.0,20.0,12.0,8.0,18.0,25.0,11.0,2.0,2.0,2.0
11.0,Othman Saleh,204.0,5.0,28.0,15.0,17.0,9.0,4.0,9.0,7.0,4.0,12.0,19.0,21.0,44.0,4.0,2.0,2.0,2.0
12.0,Abdelrahman Issa,218.0,8.0,6.0,6.0,23.0,9.0,4.0,9.0,7.0,50.0,6.0,19.0,10.0,44.0,11.0,2.0,2.0,2.0
13.0,Mutaz Mahmoud Alsalkhi,219.0,45.0,17.0,23.0,15.0,6.0,4.0,9.0,7.0,10.0,12.0,11.0,29.0,14.0,11.0,2.0,2.0,2.0
14.0,Ahmad Motaz,226.0,9.0,22.0,9.0,23.0,9.0,4.0,4.0,7.0,12.0,12.0,19.0,37.0,44.0,9.0,2.0,2.0,2.0
15.0,Omar Rayyan,229.0,16.0,37.0,3.0,23.0,9.0,4.0,9.0,7.0,17.0,12.0,19.0,12.0,44.0,11.0,2.0,2.0,2.0
16.0,Omar Nanaah,231.0,33.0,41.0,22.0,8.0,9.0,4.0,9.0,7.0,15.0,12.0,19.0,17.0,18.0,11.0,2.0,2.0,2.0
17.0,Waddah Nabulsi,235.0,26.0,29.0,31.0,12.0,9.0,4.0,9.0,7.0,21.0,12.0,13.0,6.0,39.0,11.0,2.0,2.0,2.0
18.0,Ahmad Sameh AlAssi,246.0,34.0,9.0,28.0,23.0,9.0,4.0,9.0,7.0,13.0,12.0,19.0,43.0,19.0,11.0,2.0,2.0,2.0
19.0,Abdallah Belal Omar,247.0,30.0,4.0,12.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,7.0,44.0,11.0,2.0,2.0,2.0
20.0,Shatha Ihab Abdelqader Mokbel,260.0,46.0,27.0,33.0,23.0,9.0,4.0,9.0,7.0,30.0,12.0,19.0,16.0,8.0,11.0,2.0,2.0,2.0
21.0,Sanad Khader Al-Bawab,267.0,42.0,32.0,27.0,11.0,9.0,4.0,9.0,7.0,24.0,9.0,18.0,14.0,44.0,11.0,2.0,2.0,2.0
22.0,Zaid Alshaqarin,281.0,47.0,55.0,46.0,23.0,9.0,4.0,9.0,7.0,18.0,12.0,5.0,23.0,10.0,7.0,2.0,2.0,2.0
23.0,Saif Saleh,299.0,51.0,14.0,71.0,23.0,9.0,4.0,9.0,7.0,35.0,12.0,17.0,31.0,7.0,3.0,2.0,2.0,2.0
24.0,Saad Alnobani,301.0,12.0,26.0,71.0,23.0,9.0,4.0,9.0,7.0,26.0,12.0,19.0,22.0,44.0,11.0,2.0,2.0,2.0
25.0,Omar Qassem,304.0,29.0,42.0,36.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,32.0,15.0,11.0,2.0,2.0,2.0
26.0,Natheir Abu-Dahab,311.0,20.0,34.0,21.0,23.0,9.0,4.0,9.0,2.0,29.0,12.0,19.0,75.0,42.0,6.0,2.0,2.0,2.0
27.0,Zeid Zumot,319.0,62.0,36.0,54.0,23.0,9.0,4.0,9.0,7.0,25.0,12.0,19.0,20.0,22.0,11.0,2.0,2.0,2.0
28.0,Ahmad Ashraf Shjrawi,320.0,77.0,53.0,41.0,18.0,8.0,4.0,9.0,7.0,36.0,7.0,12.0,19.0,13.0,10.0,2.0,2.0,2.0
29.0,Nouredeen Ghazal,325.0,31.0,16.0,20.0,14.0,9.0,4.0,6.0,7.0,39.0,12.0,19.0,102.0,29.0,11.0,2.0,2.0,2.0
30.0,Albara Mahmoad Shanna'a,326.0,6.0,11.0,13.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
31.0,Adam Zeidan,327.0,28.0,24.0,51.0,23.0,9.0,4.0,9.0,7.0,22.0,12.0,6.0,71.0,44.0,11.0,2.0,2.0,2.0
32.0,Mark Abboud,330.0,7.0,43.0,25.0,23.0,9.0,4.0,9.0,7.0,9.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
33.0,Kareem Abdelqader,334.0,63.0,11.0,50.0,23.0,9.0,4.0,9.0,5.0,50.0,8.0,9.0,53.0,23.0,11.0,2.0,2.0,2.0
34.0,Yousef Khanfar,338.0,24.0,43.0,24.0,23.0,9.0,4.0,9.0,7.0,27.0,12.0,19.0,84.0,36.0,11.0,2.0,2.0,2.0
35.0,Qosai Hamdan,343.0,76.0,30.0,44.0,23.0,9.0,4.0,9.0,7.0,33.0,12.0,19.0,50.0,10.0,11.0,2.0,2.0,2.0
36.0,Hamzah Baareh,350.0,41.0,48.0,38.0,23.0,9.0,4.0,9.0,7.0,41.0,12.0,19.0,70.0,12.0,11.0,2.0,2.0,2.0
37.0,Zaid Saadeh,356.0,37.0,20.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,34.0,44.0,11.0,2.0,2.0,2.0
38.0,Rawad Aloqaily,359.0,68.0,52.0,45.0,23.0,9.0,4.0,9.0,7.0,40.0,12.0,19.0,26.0,28.0,11.0,2.0,2.0,2.0
39.0,Jawad Mohammed Omar,364.0,79.0,15.0,71.0,23.0,9.0,4.0,9.0,7.0,34.0,12.0,19.0,27.0,38.0,11.0,2.0,2.0,2.0
40.0,Awos Omar Alqudah,367.0,27.0,57.0,14.0,23.0,9.0,4.0,9.0,7.0,23.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
41.0,Yazan Abughosh,368.0,23.0,61.0,4.0,7.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
41.0,Abdullah Yousef,368.0,20.0,56.0,30.0,23.0,9.0,4.0,9.0,7.0,16.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
43.0,Mohammad Saleh Habbab,369.0,86.0,49.0,34.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,30.0,20.0,11.0,2.0,2.0,2.0
44.0,Aws Amer Smadi,370.0,17.0,80.0,35.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,44.0,44.0,11.0,2.0,2.0,2.0
45.0,Yazan Ahmad Sultan Naamneh,372.0,57.0,21.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,47.0,26.0,11.0,2.0,2.0,2.0
46.0,Mohamad Salah Abu-Hantash,376.0,15.0,47.0,37.0,23.0,9.0,4.0,9.0,7.0,31.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
46.0,Adam Kilani,376.0,43.0,58.0,18.0,10.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,76.0,44.0,11.0,2.0,2.0,2.0
48.0,Yazan Alae Alwadi,381.0,53.0,38.0,55.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,41.0,44.0,11.0,2.0,2.0,2.0
49.0,Obadah Selitey,382.0,18.0,64.0,26.0,23.0,9.0,4.0,9.0,7.0,28.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
50.0,Saif Al Deen Iyad Rahhal,385.0,56.0,59.0,32.0,21.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,46.0,44.0,11.0,2.0,2.0,2.0
51.0,Nabil Goerge Talamas,394.0,89.0,2.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,38.0,44.0,11.0,2.0,2.0,2.0
52.0,Ahmad Omar,395.0,25.0,90.0,71.0,23.0,9.0,4.0,9.0,7.0,11.0,12.0,19.0,54.0,44.0,11.0,2.0,2.0,2.0
53.0,Bayan Mansour,405.0,59.0,54.0,39.0,19.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,63.0,44.0,11.0,2.0,2.0,2.0
54.0,Abbad Otallah Rashed Alshboul,409.0,104.0,63.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,3.0,15.0,25.0,9.0,11.0,2.0,2.0,2.0
55.0,Joody Miqdady,416.0,83.0,39.0,65.0,23.0,9.0,4.0,9.0,7.0,46.0,12.0,19.0,39.0,44.0,11.0,2.0,2.0,2.0
56.0,Mohammad Sabah,436.0,36.0,33.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
57.0,Joody Hammouri,440.0,124.0,25.0,42.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,55.0,44.0,11.0,2.0,2.0,2.0
57.0,Jawad Khalaf,440.0,38.0,35.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
59.0,Ghazi Ghassan Tarabsheh,441.0,91.0,50.0,63.0,23.0,9.0,4.0,9.0,7.0,44.0,12.0,19.0,49.0,44.0,11.0,2.0,2.0,2.0
60.0,Meera Arabiyat,444.0,53.0,88.0,71.0,23.0,9.0,4.0,9.0,7.0,37.0,12.0,19.0,51.0,44.0,11.0,2.0,2.0,2.0
61.0,Fadil Mohamed Fadil Alkhader,448.0,101.0,89.0,53.0,22.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,35.0,21.0,11.0,2.0,2.0,2.0
62.0,Fuad Ali,451.0,60.0,73.0,48.0,23.0,9.0,4.0,9.0,7.0,32.0,12.0,19.0,94.0,44.0,11.0,2.0,2.0,2.0
63.0,Amir Mohammad Abdalhalim,452.0,32.0,73.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,102.0,24.0,11.0,2.0,2.0,2.0
64.0,Hashem Alomar,455.0,52.0,67.0,57.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,102.0,27.0,11.0,2.0,2.0,2.0
65.0,Adham Ayman Anwar Haddad,457.0,58.0,75.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,69.0,34.0,11.0,2.0,2.0,2.0
66.0,Aws Wajdi Abu Zaid,458.0,40.0,51.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
67.0,Omar Hijazi,469.0,78.0,71.0,52.0,20.0,9.0,4.0,8.0,7.0,43.0,12.0,19.0,85.0,44.0,11.0,2.0,2.0,2.0
68.0,Ali Rashaideh,472.0,72.0,64.0,40.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,102.0,44.0,11.0,2.0,2.0,2.0
69.0,Ahmad Mohammad Amin Alzain,475.0,49.0,62.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,99.0,44.0,11.0,2.0,2.0,2.0
70.0,Hashim Alkhateeb,482.0,66.0,77.0,71.0,23.0,9.0,4.0,9.0,7.0,50.0,12.0,19.0,102.0,16.0,11.0,2.0,2.0,2.0
