Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Farid Mikhailov,129.0,6.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,8.0,18.0,35.0,14.0,19.0,9.0,2.0,1.0,1.0
2.0,Aset Agabekov (Асет Агабеков),130.0,5.0,9.0,7.0,9.0,10.0,5.0,3.0,3.0,11.0,9.0,2.0,15.0,14.0,11.0,7.0,3.0,7.0
3.0,Yerkin Assylbek,167.0,1.0,1.0,2.0,1.0,5.0,11.0,8.0,2.0,31.0,30.0,10.0,36.0,10.0,3.0,7.0,3.0,6.0
4.0,Damir Zhanataev (Дамир Жанатаев),222.0,10.0,12.0,3.0,11.0,18.0,13.0,10.0,12.0,4.0,12.0,23.0,10.0,40.0,28.0,6.0,3.0,7.0
5.0,Diasbek Zhuraev (Диасбек Жураев),241.0,14.0,18.0,10.0,2.0,2.0,3.0,6.0,12.0,9.0,28.0,22.0,17.0,84.0,5.0,5.0,2.0,2.0
6.0,Alimzhan Kenesbek (Алимжан Кенесбек),258.0,11.0,28.0,8.0,30.0,28.0,36.0,18.0,20.0,14.0,16.0,13.0,13.0,2.0,4.0,7.0,3.0,7.0
7.0,Aral Askarov,296.0,8.0,14.0,13.0,4.0,1.0,1.0,27.0,15.0,15.0,86.0,33.0,26.0,34.0,2.0,7.0,3.0,7.0
8.0,Yaroslav Usmanov (Ярослав Усманов),309.0,36.0,40.0,25.0,16.0,8.0,6.0,21.0,15.0,16.0,10.0,30.0,47.0,7.0,15.0,7.0,3.0,7.0
9.0,Alikhan Yertursyn (Алихан Ертурсын),330.0,13.0,4.0,5.0,5.0,7.0,10.0,27.0,22.0,18.0,45.0,14.0,67.0,44.0,32.0,7.0,3.0,7.0
10.0,Asanali Zhanabayev (Асанали Жанабаев),331.0,7.0,10.0,4.0,7.0,32.0,36.0,27.0,48.0,27.0,20.0,63.0,6.0,14.0,13.0,7.0,3.0,7.0
11.0,Daniyal Suleimen (Даниял Сулеймен),348.0,18.0,71.0,12.0,12.0,16.0,36.0,27.0,24.0,34.0,3.0,1.0,35.0,26.0,16.0,7.0,3.0,7.0
12.0,Assylkhan Meirkhanov (Асылхан Мейрханов),360.0,21.0,37.0,16.0,21.0,34.0,30.0,5.0,15.0,43.0,1.0,36.0,29.0,13.0,47.0,4.0,3.0,5.0
13.0,Amir Husain,375.0,33.0,41.0,47.0,17.0,6.0,8.0,27.0,48.0,17.0,13.0,5.0,57.0,32.0,7.0,7.0,3.0,7.0
14.0,Bauyrzhan Zhandossuly (Бауыржан Жандосұлы),396.0,4.0,26.0,31.0,20.0,46.0,36.0,27.0,20.0,7.0,32.0,16.0,43.0,36.0,35.0,7.0,3.0,7.0
15.0,Dias Murzalin (Диас Мурзалин),405.0,17.0,20.0,27.0,40.0,41.0,36.0,27.0,30.0,54.0,5.0,21.0,20.0,23.0,27.0,7.0,3.0,7.0
16.0,Ruslan Kazin (Руслан Казин),462.0,24.0,21.0,44.0,52.0,37.0,36.0,27.0,12.0,5.0,18.0,54.0,49.0,33.0,33.0,7.0,3.0,7.0
17.0,Alisher Kurmash (Алишер Курмаш),482.0,25.0,35.0,17.0,14.0,49.0,36.0,27.0,48.0,22.0,86.0,6.0,25.0,52.0,23.0,7.0,3.0,7.0
18.0,Shyngys Sharapadin (Шынгыс Шарападин),491.0,52.0,13.0,74.0,35.0,33.0,26.0,27.0,4.0,75.0,21.0,52.0,6.0,42.0,14.0,7.0,3.0,7.0
19.0,Nikita Kolpakov (Никита Колпаков),514.0,32.0,44.0,29.0,43.0,49.0,36.0,27.0,48.0,40.0,54.0,37.0,30.0,16.0,12.0,7.0,3.0,7.0
20.0,Duman Talgatuly (Думан Талгатулы),534.0,41.0,25.0,39.0,28.0,11.0,36.0,27.0,36.0,31.0,39.0,56.0,22.0,3.0,123.0,7.0,3.0,7.0
21.0,Damir Isakov (Дамир Исаков),569.0,12.0,56.0,24.0,47.0,49.0,36.0,27.0,4.0,12.0,86.0,118.0,63.0,17.0,1.0,7.0,3.0,7.0
22.0,Nurasyl Kurmangali (Нурасыл Курмангали),570.0,3.0,30.0,20.0,10.0,49.0,36.0,27.0,9.0,23.0,86.0,20.0,16.0,101.0,123.0,7.0,3.0,7.0
23.0,Alisher Soltan (Алишер Солтан),575.0,48.0,43.0,53.0,46.0,14.0,33.0,27.0,25.0,59.0,49.0,48.0,64.0,31.0,18.0,7.0,3.0,7.0
24.0,Aibolat Barys,584.0,9.0,17.0,14.0,23.0,49.0,36.0,27.0,48.0,1.0,14.0,196.0,1.0,9.0,123.0,7.0,3.0,7.0
25.0,Aissultan Aizharkynuly (Айсұлтан Айжарқынұлы),597.0,23.0,79.0,33.0,18.0,40.0,36.0,27.0,48.0,88.0,86.0,3.0,42.0,27.0,30.0,7.0,3.0,7.0
26.0,Pavel Raschetov (Павел Расчетов),619.0,45.0,59.0,41.0,42.0,35.0,32.0,27.0,48.0,61.0,86.0,19.0,49.0,48.0,10.0,7.0,3.0,7.0
27.0,Zhantuar Zholdasov (Жантуар Жолдасов),655.0,47.0,2.0,58.0,63.0,45.0,36.0,27.0,15.0,56.0,26.0,128.0,34.0,37.0,64.0,7.0,3.0,7.0
28.0,Ertugan Mulkubai (Ертуган Мулькубай),658.0,27.0,63.0,30.0,50.0,49.0,36.0,27.0,48.0,39.0,77.0,9.0,93.0,55.0,38.0,7.0,3.0,7.0
29.0,Ernur Ersayynov,660.0,142.0,28.0,76.0,54.0,31.0,27.0,12.0,39.0,92.0,4.0,46.0,45.0,25.0,22.0,7.0,3.0,7.0
30.0,Aziz Olzhagali (Азиз Олжагали),662.0,34.0,15.0,43.0,41.0,49.0,36.0,27.0,48.0,28.0,86.0,31.0,49.0,35.0,123.0,7.0,3.0,7.0
31.0,Azamat Seitbekov (Азамат Сейтбеков),676.0,81.0,52.0,54.0,39.0,25.0,23.0,22.0,30.0,57.0,17.0,26.0,150.0,41.0,42.0,7.0,3.0,7.0
32.0,Bakhytzhan Sharipbay (Бахытжан Шарипбай),683.0,59.0,32.0,51.0,150.0,49.0,36.0,27.0,48.0,42.0,86.0,18.0,9.0,1.0,58.0,7.0,3.0,7.0
33.0,Dinnur Aitbayev (Диннур Айтбаев),696.0,62.0,19.0,70.0,87.0,49.0,36.0,27.0,48.0,72.0,31.0,50.0,55.0,20.0,53.0,7.0,3.0,7.0
33.0,Askar Shakhman (Аскар Шахман),696.0,46.0,42.0,64.0,92.0,49.0,36.0,27.0,33.0,110.0,33.0,92.0,24.0,6.0,25.0,7.0,3.0,7.0
35.0,Bahtiyar Karabalin (Бахтияр Карабалин),697.0,80.0,71.0,68.0,55.0,30.0,24.0,27.0,23.0,36.0,40.0,39.0,40.0,24.0,123.0,7.0,3.0,7.0
36.0,Abylai Orazalin (Абылай Оразалин),719.0,2.0,83.0,6.0,13.0,27.0,22.0,4.0,25.0,10.0,80.0,17.0,205.0,150.0,65.0,3.0,3.0,4.0
37.0,Zhansen Shingis (Жансен Шингис),736.0,20.0,44.0,45.0,110.0,49.0,36.0,27.0,48.0,35.0,86.0,61.0,5.0,30.0,123.0,7.0,3.0,7.0
38.0,Artur Yuldashov (Артур Юлдашов),750.0,42.0,107.0,46.0,66.0,49.0,36.0,27.0,4.0,49.0,7.0,88.0,31.0,58.0,123.0,7.0,3.0,7.0
39.0,Alisher Isagaliev (Алишер Исагалиев),753.0,65.0,87.0,14.0,33.0,49.0,36.0,27.0,29.0,43.0,86.0,196.0,31.0,11.0,29.0,7.0,3.0,7.0
40.0,Zhanat Kazez (Жанат Казез),773.0,67.0,134.0,26.0,15.0,9.0,9.0,27.0,48.0,107.0,65.0,27.0,144.0,70.0,8.0,7.0,3.0,7.0
41.0,Alan Galym (Алан Галым),774.0,57.0,54.0,119.0,106.0,49.0,36.0,11.0,48.0,73.0,86.0,57.0,4.0,5.0,52.0,7.0,3.0,7.0
