Rank,name,Sum,333,222,444,555,666,333bf,333oh,clock,minx,pyram,skewb,sq1
1.0,Kelvin Muchui,41.0,4.0,11.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,7.0,3.0
2.0,Jay Kuria Muthari,44.0,1.0,3.0,12.0,6.0,3.0,3.0,1.0,2.0,2.0,1.0,7.0,3.0
3.0,Amrik Singh Chana,50.0,9.0,2.0,4.0,6.0,3.0,3.0,7.0,2.0,2.0,2.0,7.0,3.0
4.0,Jaimin Dave,56.0,7.0,8.0,7.0,6.0,3.0,3.0,6.0,2.0,2.0,8.0,1.0,3.0
5.0,John Muthee Karichu,58.0,2.0,4.0,12.0,6.0,3.0,3.0,8.0,2.0,2.0,6.0,7.0,3.0
6.0,Akshay Guptan,85.0,18.0,5.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,10.0,7.0,3.0
7.0,Sur Shah,88.0,5.0,13.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,18.0,7.0,3.0
8.0,John Kamau,93.0,21.0,31.0,9.0,6.0,3.0,3.0,4.0,2.0,2.0,5.0,4.0,3.0
9.0,Mrish Parmar,95.0,12.0,1.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,3.0,3.0
9.0,Haasya Baadal Shah,95.0,11.0,18.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,14.0,7.0,3.0
11.0,Teddy Mbingo,97.0,3.0,17.0,12.0,6.0,3.0,3.0,5.0,2.0,2.0,34.0,7.0,3.0
12.0,Ethan Muleti Mutiga,98.0,23.0,6.0,12.0,6.0,3.0,3.0,9.0,2.0,2.0,22.0,7.0,3.0
13.0,Nygel Emmanuel Msagha,101.0,8.0,7.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
14.0,Samarth Manek,104.0,19.0,9.0,5.0,5.0,3.0,3.0,14.0,2.0,2.0,34.0,5.0,3.0
15.0,Rayan Parmar,110.0,34.0,28.0,6.0,3.0,2.0,2.0,10.0,1.0,1.0,16.0,6.0,1.0
16.0,Mark Bowen,111.0,28.0,19.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,12.0,7.0,3.0
16.0,Leon Michuki,111.0,10.0,15.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
16.0,Andrew Gitonga,111.0,15.0,24.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,20.0,7.0,3.0
19.0,Meshack Musundi,112.0,6.0,47.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,34.0,7.0,3.0
20.0,Naythun Mwenja,116.0,29.0,20.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,15.0,7.0,3.0
21.0,Jainam Shah,117.0,31.0,15.0,10.0,6.0,3.0,3.0,14.0,2.0,2.0,21.0,7.0,3.0
22.0,Mark Otieno Achar,118.0,25.0,47.0,8.0,4.0,3.0,3.0,13.0,2.0,2.0,7.0,2.0,2.0
23.0,Evanson Mbuthia,124.0,17.0,21.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
24.0,Brian Kamau Maro,125.0,16.0,23.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
25.0,Caleb Kinara,126.0,41.0,10.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,23.0,7.0,3.0
25.0,Marc Tarus,126.0,33.0,12.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,29.0,7.0,3.0
27.0,Kabir Vinay Shah,128.0,20.0,30.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,26.0,7.0,3.0
28.0,Liam Shah,134.0,44.0,35.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,3.0,7.0,3.0
29.0,Naella Zawadi,136.0,24.0,26.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
30.0,Levi Macharia Gachanja,138.0,30.0,22.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
31.0,Mugo Gituku,139.0,40.0,14.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,33.0,7.0,3.0
32.0,Denis Ndemwa,142.0,38.0,29.0,12.0,6.0,3.0,3.0,12.0,2.0,2.0,25.0,7.0,3.0
32.0,Jayden Julian Mael D'souza,142.0,49.0,33.0,11.0,6.0,3.0,3.0,14.0,2.0,2.0,9.0,7.0,3.0
34.0,Seth Hassan Benjamin Ngaywa,145.0,32.0,27.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
35.0,Melvin Ngugi,146.0,13.0,47.0,12.0,6.0,3.0,3.0,14.0,2.0,2.0,34.0,7.0,3.0
