Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,minx,pyram,skewb,sq1
1.0,Lir Ukaj,13.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,Leon Axhemi,32.0,2.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
3.0,Biant Shkololli,41.0,3.0,4.0,5.0,5.0,2.0,2.0,1.0,4.0,2.0,8.0,3.0,2.0
4.0,Arian Fazlija,45.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,6.0,2.0,8.0,3.0,2.0
5.0,Hilmi Hoxha,53.0,9.0,6.0,6.0,5.0,2.0,2.0,3.0,5.0,2.0,8.0,3.0,2.0
6.0,Fisnik Vrellaku,59.0,8.0,8.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
7.0,Rion Jashari,60.0,12.0,10.0,8.0,5.0,2.0,2.0,3.0,7.0,2.0,5.0,2.0,2.0
8.0,Thot Haxha,61.0,7.0,11.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
8.0,Drin Culaj,61.0,11.0,7.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
10.0,Kron Salihu,65.0,14.0,9.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,7.0,3.0,2.0
11.0,Bleon Zhitia,67.0,6.0,18.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
11.0,Geldon Gash,67.0,13.0,12.0,7.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
13.0,Erblin Ibrahimi,70.0,10.0,18.0,8.0,4.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
14.0,Orges Zogjani,72.0,20.0,13.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,4.0,3.0,2.0
15.0,Ledion Pllana,75.0,17.0,15.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
16.0,Lorik Ukaj,76.0,15.0,18.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
17.0,Leart Ukaj,77.0,16.0,18.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
18.0,Heron Mahmutaj,78.0,21.0,16.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,6.0,3.0,2.0
19.0,Erlis Fazliu,79.0,19.0,17.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
19.0,Erion Gushlla,79.0,18.0,18.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
21.0,Nart Krasniqi,81.0,24.0,14.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
22.0,Florent Dushullovci,83.0,22.0,18.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
23.0,Furkan Kumnova,84.0,23.0,18.0,8.0,5.0,2.0,2.0,3.0,8.0,2.0,8.0,3.0,2.0
