Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Ahmad Alolaimi,33.0,1.0,3.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0
2.0,Ghanim Abdulaziz Almutawa,51.0,4.0,2.0,4.0,6.0,4.0,3.0,9.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0
3.0,Saoud Abdulaziz Almutawa,76.0,8.0,7.0,7.0,5.0,3.0,2.0,1.0,2.0,8.0,8.0,9.0,9.0,2.0,3.0,2.0
4.0,Husain Nasser Al-Marhon,124.0,6.0,17.0,6.0,4.0,7.0,3.0,9.0,7.0,4.0,11.0,15.0,12.0,17.0,3.0,3.0
5.0,Sayyed Haidar Almousawi,125.0,9.0,8.0,16.0,9.0,7.0,3.0,9.0,7.0,7.0,11.0,15.0,13.0,5.0,3.0,3.0
6.0,Nour Alkout,126.0,14.0,14.0,3.0,2.0,7.0,3.0,9.0,7.0,29.0,11.0,5.0,5.0,11.0,3.0,3.0
7.0,Eissa Alshemali,132.0,5.0,1.0,5.0,3.0,7.0,3.0,3.0,7.0,11.0,11.0,3.0,45.0,22.0,3.0,3.0
8.0,Afnan Khalid Alawadi,134.0,15.0,4.0,13.0,9.0,7.0,3.0,9.0,7.0,20.0,11.0,15.0,7.0,8.0,3.0,3.0
9.0,Hussain Merza,135.0,12.0,15.0,12.0,9.0,6.0,3.0,5.0,5.0,10.0,7.0,12.0,17.0,16.0,3.0,3.0
10.0,Mohammad Almoumen,144.0,20.0,6.0,28.0,9.0,7.0,3.0,2.0,3.0,29.0,6.0,15.0,3.0,9.0,3.0,1.0
11.0,Husain Khuraibet,145.0,10.0,5.0,18.0,9.0,7.0,3.0,9.0,7.0,13.0,11.0,15.0,22.0,10.0,3.0,3.0
12.0,Hasan Hashem Alwazzan,148.0,11.0,13.0,8.0,9.0,7.0,3.0,4.0,7.0,6.0,1.0,6.0,45.0,22.0,3.0,3.0
13.0,Abdullah Alhaddad,153.0,3.0,9.0,9.0,8.0,7.0,3.0,9.0,7.0,12.0,11.0,15.0,32.0,22.0,3.0,3.0
14.0,Shaikha Albarjas,169.0,7.0,18.0,11.0,9.0,7.0,3.0,9.0,7.0,18.0,11.0,15.0,30.0,18.0,3.0,3.0
14.0,Farah Omar Alomar,169.0,33.0,26.0,17.0,9.0,7.0,3.0,9.0,7.0,19.0,11.0,15.0,4.0,3.0,3.0,3.0
16.0,Fares Altamime,176.0,25.0,11.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,10.0,6.0,3.0,3.0
17.0,Ali Albloushi,181.0,18.0,22.0,28.0,9.0,7.0,3.0,9.0,7.0,25.0,11.0,15.0,8.0,13.0,3.0,3.0
18.0,Ali Hasan Ashknani,186.0,13.0,32.0,15.0,9.0,2.0,3.0,6.0,4.0,5.0,11.0,13.0,45.0,22.0,3.0,3.0
19.0,Haidar Hassan,189.0,28.0,16.0,28.0,9.0,7.0,3.0,9.0,7.0,9.0,11.0,15.0,19.0,22.0,3.0,3.0
20.0,Ali Albasser,195.0,23.0,12.0,28.0,9.0,7.0,3.0,9.0,7.0,15.0,11.0,7.0,45.0,13.0,3.0,3.0
21.0,Mohammad Meshal Almutawa,208.0,40.0,20.0,28.0,9.0,7.0,3.0,9.0,7.0,14.0,11.0,15.0,27.0,12.0,3.0,3.0
22.0,Ali Alkandri,210.0,29.0,25.0,14.0,9.0,7.0,3.0,9.0,7.0,16.0,11.0,15.0,37.0,22.0,3.0,3.0
23.0,Hessa Mohammed Alsanad,213.0,2.0,73.0,1.0,9.0,7.0,3.0,9.0,7.0,3.0,11.0,15.0,45.0,22.0,3.0,3.0
24.0,Saleh Nawaf Al Ahmad,216.0,34.0,19.0,28.0,9.0,7.0,3.0,9.0,7.0,22.0,11.0,15.0,24.0,22.0,3.0,3.0
25.0,Mohammed Hani Alali,218.0,19.0,26.0,10.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
26.0,Aws Alkanderi,227.0,27.0,31.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,23.0,22.0,3.0,3.0
27.0,Hamad AL Failakawi,234.0,26.0,30.0,27.0,9.0,7.0,3.0,8.0,7.0,29.0,11.0,8.0,45.0,19.0,2.0,3.0
28.0,Alkawthar Jaber Akbar,236.0,17.0,28.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
29.0,Eissa Alsarraf,238.0,38.0,36.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,18.0,22.0,3.0,3.0
30.0,Nasser Alnasser,240.0,39.0,40.0,28.0,9.0,7.0,3.0,9.0,7.0,24.0,11.0,15.0,20.0,22.0,3.0,3.0
31.0,Hussain Alwazzan,242.0,21.0,42.0,24.0,9.0,7.0,3.0,9.0,7.0,21.0,11.0,15.0,45.0,22.0,3.0,3.0
32.0,Eissa Al Sarraf,243.0,47.0,41.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,10.0,21.0,3.0,3.0
33.0,Yaser Alsalamin,245.0,41.0,23.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,35.0,22.0,3.0,3.0
33.0,Abdulrazzaq Alshayji,245.0,60.0,33.0,23.0,9.0,7.0,3.0,9.0,7.0,29.0,10.0,11.0,16.0,22.0,3.0,3.0
35.0,Tasneem Almousawi,250.0,49.0,10.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
36.0,Taher Aljafar,254.0,53.0,37.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,25.0,15.0,3.0,3.0
37.0,Alzahra Mohammad,256.0,24.0,54.0,20.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,40.0,22.0,3.0,3.0
38.0,Abdulwahab Alqenaei,257.0,35.0,47.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,29.0,22.0,3.0,3.0
39.0,Mohammed Essa Almshmoum,258.0,32.0,35.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
40.0,Muhammad Jasem Al-Sarraf,265.0,36.0,38.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
40.0,Yousef Mohammad Maarafi,265.0,30.0,44.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
40.0,Abdullah Al Qanai,265.0,16.0,73.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,7.0,3.0,3.0
43.0,Naser Alattar,266.0,22.0,73.0,28.0,7.0,7.0,3.0,9.0,7.0,17.0,11.0,15.0,39.0,22.0,3.0,3.0
44.0,Bader Abdul Aziz Almousa,267.0,65.0,23.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,33.0,22.0,3.0,3.0
45.0,Hamad Musa'ed Al-Abdali,268.0,52.0,34.0,19.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
46.0,Eissa Khaled Alghazali,270.0,103.0,21.0,25.0,9.0,7.0,3.0,9.0,7.0,23.0,4.0,10.0,21.0,22.0,3.0,3.0
47.0,Mohsen Alsaife,277.0,44.0,48.0,22.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
48.0,Faisal Alloghani,278.0,37.0,50.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
49.0,Omar Abdullah Alawadhi,281.0,61.0,29.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
50.0,Ali Hasan Alshobbar,282.0,45.0,46.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
51.0,Ahmad Al Ben Ali,286.0,54.0,73.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,13.0,22.0,3.0,3.0
52.0,Ali Alqattan,287.0,66.0,49.0,28.0,9.0,7.0,3.0,9.0,7.0,27.0,11.0,15.0,28.0,22.0,3.0,3.0
53.0,Uthman Alqenae,289.0,69.0,45.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,9.0,15.0,31.0,22.0,3.0,3.0
54.0,Ahmad Alsaffar,294.0,103.0,39.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,6.0,22.0,3.0,3.0
55.0,Fatima Yousef,295.0,58.0,53.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,38.0,22.0,3.0,3.0
55.0,Mohammed Hussein Alherz,295.0,31.0,73.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
57.0,Mohammad Kartash,297.0,57.0,51.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,43.0,22.0,3.0,3.0
58.0,Ali Buhamad,298.0,51.0,56.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
59.0,Yousef Malallah,302.0,56.0,55.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
59.0,Abdalaziz Alrehmani,302.0,71.0,59.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,26.0,22.0,3.0,3.0
61.0,Alzain Marwan Alomar,305.0,82.0,62.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,15.0,22.0,3.0,3.0
62.0,Hawraa AlAsad,306.0,42.0,73.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
63.0,Mohammad Alkander,307.0,43.0,73.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
63.0,Essa Saleem,307.0,46.0,73.0,28.0,9.0,7.0,3.0,9.0,7.0,26.0,11.0,15.0,45.0,22.0,3.0,3.0
65.0,Mohammad Khajah,310.0,62.0,58.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,44.0,22.0,3.0,3.0
66.0,Abdulaziz Ahmed AlSayegh,311.0,68.0,52.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
67.0,Yousef Essa Almshmoum,312.0,48.0,73.0,28.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
67.0,Abdullah Salem Alhaddad,312.0,63.0,60.0,26.0,9.0,7.0,3.0,9.0,7.0,29.0,11.0,15.0,45.0,22.0,3.0,3.0
