Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Alikhan Zhanybekov,39.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,10.0,4.0,2.0,1.0,7.0,1.0,2.0
2.0,Sardar Bakiev (Сардар Бакиев),62.0,7.0,9.0,5.0,3.0,3.0,2.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,5.0,2.0
3.0,Chyngyz Sultanbekov (Чынгыз Султанбеков),99.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,4.0,1.0,4.0,55.0,16.0,2.0
4.0,Nikita Yurchenko (Никита Юрченко),123.0,8.0,29.0,8.0,5.0,3.0,2.0,5.0,2.0,6.0,4.0,8.0,16.0,13.0,12.0,2.0
5.0,Emir Moidunov (Эмир Мойдунов),127.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,11.0,24.0,55.0,3.0,2.0
6.0,Erbol Bekbars (Эрбол Бекбарс),132.0,5.0,14.0,3.0,24.0,3.0,2.0,5.0,2.0,4.0,4.0,29.0,12.0,4.0,19.0,2.0
7.0,Dmitry Ni (Дмитрий Ни),145.0,16.0,21.0,7.0,9.0,3.0,2.0,5.0,2.0,7.0,4.0,29.0,18.0,5.0,15.0,2.0
8.0,Baatyr Kurmanaliev (Баатыр Курманалиев),152.0,17.0,4.0,12.0,24.0,3.0,2.0,5.0,2.0,37.0,4.0,29.0,2.0,2.0,7.0,2.0
9.0,Elnur Abdubakirov,163.0,21.0,10.0,31.0,24.0,3.0,2.0,5.0,2.0,15.0,4.0,10.0,9.0,6.0,19.0,2.0
10.0,Atai Aldashev (Атай Алдашев),164.0,4.0,22.0,29.0,16.0,3.0,2.0,5.0,2.0,19.0,3.0,4.0,3.0,31.0,19.0,2.0
10.0,Ilyaz Idirisov (Ильяз Идирисов),164.0,6.0,13.0,11.0,13.0,3.0,2.0,5.0,2.0,9.0,4.0,29.0,8.0,55.0,2.0,2.0
12.0,Aidar Isakov (Айдар Исаков),194.0,15.0,15.0,33.0,24.0,3.0,2.0,5.0,2.0,13.0,4.0,18.0,27.0,12.0,19.0,2.0
12.0,Nursultan Zhenishbek Uulu (Нурсултан Женишбек Уулу),194.0,31.0,5.0,20.0,24.0,3.0,2.0,3.0,2.0,11.0,4.0,29.0,22.0,17.0,19.0,2.0
