Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Mikus Lembergs,55.0,2.0,2.0,4.0,2.0,4.0,6.0,1.0,5.0,1.0,5.0,5.0,7.0,4.0,3.0,1.0,1.0,2.0
2.0,Roberts Dreijers,68.0,1.0,1.0,3.0,3.0,6.0,5.0,5.0,8.0,7.0,1.0,3.0,2.0,6.0,1.0,6.0,3.0,7.0
3.0,Rūdolfs Vīnkalns,79.0,5.0,7.0,1.0,1.0,1.0,2.0,10.0,10.0,4.0,3.0,1.0,3.0,5.0,7.0,6.0,3.0,10.0
4.0,Jēkabs Janovs,92.0,9.0,5.0,5.0,7.0,8.0,9.0,4.0,2.0,6.0,8.0,4.0,6.0,3.0,6.0,4.0,3.0,3.0
5.0,Frederiks Rūdolfs Kronbergs,116.0,3.0,6.0,6.0,10.0,9.0,15.0,11.0,5.0,3.0,4.0,7.0,9.0,7.0,2.0,6.0,3.0,10.0
6.0,Francis Daniels Veğeris,137.0,14.0,8.0,10.0,13.0,7.0,7.0,7.0,17.0,10.0,2.0,8.0,11.0,1.0,9.0,5.0,3.0,5.0
7.0,Jānis Zirnis,138.0,11.0,13.0,14.0,6.0,2.0,3.0,2.0,3.0,12.0,9.0,15.0,19.0,15.0,8.0,2.0,3.0,1.0
8.0,Kristiāns Pietkuns,182.0,4.0,14.0,16.0,11.0,13.0,19.0,14.0,1.0,8.0,16.0,2.0,32.0,9.0,4.0,6.0,3.0,10.0
9.0,Markuss Pietkuns,184.0,8.0,22.0,11.0,14.0,12.0,18.0,13.0,8.0,11.0,11.0,9.0,1.0,12.0,15.0,6.0,3.0,10.0
10.0,Vladislavs Baranovs,185.0,10.0,4.0,2.0,4.0,3.0,4.0,17.0,13.0,9.0,26.0,12.0,16.0,23.0,23.0,6.0,3.0,10.0
11.0,Imants Liepiņš,197.0,6.0,3.0,7.0,8.0,30.0,26.0,17.0,5.0,2.0,13.0,6.0,39.0,2.0,14.0,6.0,3.0,10.0
12.0,Aleksejs Oglobļins,221.0,7.0,25.0,8.0,9.0,11.0,12.0,3.0,33.0,27.0,18.0,14.0,5.0,18.0,13.0,6.0,3.0,9.0
13.0,Rūdolfs Dubovs,228.0,17.0,11.0,13.0,12.0,30.0,11.0,17.0,10.0,5.0,6.0,16.0,17.0,26.0,18.0,6.0,3.0,10.0
14.0,Darja Makurina,286.0,22.0,41.0,17.0,5.0,5.0,1.0,9.0,12.0,15.0,7.0,57.0,26.0,14.0,40.0,6.0,3.0,6.0
15.0,Matīss Maksis Podinskis,297.0,16.0,23.0,23.0,18.0,19.0,16.0,17.0,21.0,23.0,34.0,11.0,4.0,31.0,22.0,6.0,3.0,10.0
16.0,Boriss Benzerruki,324.0,25.0,10.0,25.0,25.0,25.0,23.0,15.0,13.0,20.0,17.0,32.0,8.0,44.0,23.0,6.0,3.0,10.0
17.0,Reinis Grīnbergs,331.0,13.0,24.0,12.0,17.0,17.0,26.0,17.0,4.0,16.0,37.0,42.0,15.0,32.0,40.0,6.0,3.0,10.0
18.0,Ivans Gorbunovs,341.0,18.0,20.0,19.0,24.0,30.0,26.0,17.0,16.0,18.0,21.0,57.0,25.0,20.0,11.0,6.0,3.0,10.0
19.0,Krišjānis Nurža,344.0,24.0,16.0,39.0,44.0,30.0,26.0,17.0,29.0,17.0,37.0,19.0,14.0,8.0,5.0,6.0,3.0,10.0
20.0,Renārs Robežnieks,384.0,30.0,30.0,29.0,27.0,28.0,26.0,16.0,21.0,25.0,33.0,22.0,28.0,29.0,21.0,6.0,3.0,10.0
21.0,Kalvis Spruga,385.0,73.0,9.0,45.0,35.0,23.0,26.0,17.0,18.0,41.0,15.0,29.0,13.0,10.0,12.0,6.0,3.0,10.0
22.0,Toms Prieditis,390.0,29.0,28.0,24.0,32.0,22.0,21.0,17.0,33.0,29.0,37.0,24.0,35.0,24.0,16.0,6.0,3.0,10.0
23.0,Artūrs Vasiļjevs,393.0,42.0,46.0,34.0,22.0,16.0,14.0,17.0,33.0,24.0,19.0,13.0,30.0,33.0,31.0,6.0,3.0,10.0
24.0,Pauls Kušners,402.0,23.0,34.0,19.0,26.0,30.0,26.0,17.0,26.0,26.0,36.0,23.0,33.0,36.0,28.0,6.0,3.0,10.0
