Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Rami El Mallah,18.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
2.0,Hussein Saleh,43.0,6.0,7.0,3.0,3.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0
3.0,Issam Imad El Halabi,51.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,15.0,9.0,2.0,2.0
4.0,Ali Bassam,53.0,9.0,2.0,6.0,5.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0
5.0,Fawaz Taha,56.0,5.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0,3.0,4.0,6.0,9.0,4.0,2.0
6.0,Rayan Al Hobayb,73.0,4.0,6.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,8.0,6.0,4.0,2.0
7.0,Daniel Omar Saad,77.0,3.0,9.0,5.0,4.0,2.0,4.0,2.0,6.0,3.0,4.0,20.0,9.0,4.0,2.0
8.0,Hassan Slim,85.0,15.0,7.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,5.0,9.0,4.0,2.0
9.0,Luna Faour,87.0,16.0,11.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,7.0,4.0,4.0,2.0
10.0,Shadi Halabi,90.0,8.0,4.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
10.0,Mohamad Moudallal,90.0,7.0,10.0,11.0,5.0,2.0,4.0,2.0,7.0,3.0,4.0,20.0,9.0,4.0,2.0
10.0,Malek El Habboub,90.0,13.0,12.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,9.0,7.0,4.0,2.0
13.0,Nasri Matthew Estephan,96.0,10.0,15.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,17.0,5.0,4.0,2.0
14.0,Mohamed Yehya,100.0,23.0,19.0,10.0,5.0,2.0,4.0,2.0,11.0,3.0,3.0,4.0,8.0,4.0,2.0
15.0,Karim Akl,101.0,20.0,12.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,11.0,9.0,4.0,2.0
16.0,Rami Diab Lahib,102.0,14.0,16.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,14.0,9.0,4.0,2.0
16.0,Ahmad Koumaiha,102.0,12.0,18.0,9.0,5.0,2.0,4.0,2.0,8.0,3.0,4.0,20.0,9.0,4.0,2.0
18.0,Mohammad Bassam,103.0,18.0,14.0,11.0,5.0,2.0,4.0,2.0,9.0,3.0,4.0,16.0,9.0,4.0,2.0
19.0,Rassem Osmani,114.0,22.0,17.0,8.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
19.0,Talal Naamani,114.0,11.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
21.0,Michel Bitar,117.0,21.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,13.0,9.0,4.0,2.0
22.0,Sami Khatib,118.0,19.0,21.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
23.0,Gabriel El Khoury,120.0,17.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
24.0,Jad El Mallah,121.0,26.0,23.0,7.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,18.0,9.0,4.0,2.0
24.0,Rim El Mallah,121.0,29.0,24.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,10.0,9.0,4.0,2.0
26.0,Jamil Monah Debian,123.0,27.0,20.0,11.0,5.0,2.0,4.0,2.0,10.0,3.0,4.0,20.0,9.0,4.0,2.0
27.0,Noah Kadaf,127.0,24.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
28.0,Omar Halimi,128.0,25.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
29.0,Nadine El Mays,130.0,35.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,12.0,9.0,4.0,2.0
30.0,Ali Reda Nader Merhi,131.0,28.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
31.0,Tarek Badih,133.0,33.0,22.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
31.0,Ahmed Abyad,133.0,30.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
33.0,Hady Yehya,134.0,32.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,19.0,9.0,4.0,2.0
33.0,Mohammad Jawad Nader Merhi,134.0,31.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
35.0,Lynn Ahmad Fares,137.0,34.0,25.0,11.0,5.0,2.0,4.0,2.0,12.0,3.0,4.0,20.0,9.0,4.0,2.0
