Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Vilius Ribinskas,38.0,5.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0
2.0,Mantas Urbanavičius,84.0,1.0,6.0,1.0,1.0,1.0,1.0,18.0,9.0,1.0,14.0,1.0,3.0,7.0,5.0,4.0,3.0,8.0
3.0,Tomas Jankauskas,96.0,3.0,2.0,4.0,3.0,3.0,4.0,13.0,4.0,2.0,8.0,9.0,9.0,3.0,14.0,4.0,3.0,8.0
4.0,Naglis Peciulis,117.0,4.0,3.0,2.0,2.0,2.0,3.0,18.0,23.0,3.0,27.0,5.0,7.0,2.0,1.0,4.0,3.0,8.0
5.0,Mikas Motiejuitis,142.0,13.0,9.0,12.0,14.0,13.0,12.0,18.0,7.0,7.0,2.0,7.0,2.0,5.0,6.0,4.0,3.0,8.0
6.0,Danielius Riuka,175.0,5.0,13.0,10.0,12.0,26.0,27.0,8.0,6.0,18.0,4.0,6.0,4.0,14.0,11.0,4.0,3.0,4.0
7.0,Titas Karvelis,197.0,19.0,7.0,17.0,11.0,9.0,11.0,15.0,16.0,14.0,3.0,12.0,13.0,22.0,13.0,4.0,3.0,8.0
8.0,Ugnius Byron Braun,201.0,7.0,4.0,9.0,7.0,5.0,6.0,18.0,4.0,11.0,27.0,11.0,5.0,60.0,12.0,4.0,3.0,8.0
9.0,Žygimantas Pilipas,221.0,2.0,10.0,6.0,8.0,19.0,19.0,16.0,23.0,12.0,5.0,10.0,11.0,23.0,42.0,4.0,3.0,8.0
10.0,Lukas Berruti,244.0,10.0,13.0,19.0,15.0,22.0,27.0,18.0,23.0,8.0,9.0,15.0,18.0,4.0,28.0,4.0,3.0,8.0
11.0,Emilis Dolgov,245.0,8.0,8.0,8.0,10.0,11.0,10.0,18.0,20.0,10.0,27.0,19.0,52.0,21.0,8.0,4.0,3.0,8.0
12.0,Mantas Žemaitis,247.0,17.0,19.0,14.0,22.0,18.0,27.0,6.0,9.0,16.0,27.0,22.0,12.0,16.0,7.0,4.0,3.0,8.0
13.0,Mantas Sidabras,278.0,24.0,21.0,29.0,20.0,21.0,22.0,10.0,2.0,6.0,26.0,16.0,30.0,28.0,10.0,4.0,3.0,6.0
14.0,Viltė Klioštoraitytė,286.0,16.0,12.0,5.0,9.0,12.0,18.0,18.0,23.0,19.0,27.0,2.0,10.0,58.0,42.0,4.0,3.0,8.0
15.0,Vilius Čirgelis,322.0,11.0,15.0,21.0,24.0,31.0,27.0,3.0,3.0,13.0,27.0,21.0,76.0,36.0,2.0,4.0,3.0,5.0
16.0,Rimas Pauliukevičius,337.0,15.0,23.0,16.0,13.0,8.0,7.0,18.0,12.0,15.0,16.0,36.0,31.0,70.0,42.0,4.0,3.0,8.0
17.0,Dovydas Daironas,347.0,23.0,26.0,13.0,27.0,31.0,27.0,18.0,23.0,17.0,27.0,40.0,6.0,12.0,42.0,4.0,3.0,8.0
18.0,Kasparas Sinkevičius,355.0,46.0,21.0,34.0,19.0,16.0,13.0,18.0,23.0,43.0,27.0,29.0,26.0,9.0,16.0,4.0,3.0,8.0
19.0,Kristijonas Valčeckas,358.0,9.0,33.0,11.0,5.0,6.0,5.0,18.0,23.0,5.0,27.0,4.0,81.0,74.0,42.0,4.0,3.0,8.0
20.0,Mykolas Petruševičius,360.0,45.0,45.0,38.0,18.0,15.0,15.0,18.0,12.0,33.0,7.0,17.0,21.0,40.0,21.0,4.0,3.0,8.0
21.0,Dominykas Apanavicius,367.0,25.0,16.0,23.0,30.0,31.0,27.0,18.0,14.0,26.0,27.0,38.0,16.0,25.0,36.0,4.0,3.0,8.0
22.0,Eduardas Aukščionis,371.0,18.0,34.0,44.0,36.0,29.0,27.0,9.0,7.0,24.0,27.0,20.0,45.0,8.0,29.0,4.0,3.0,7.0
23.0,Morkus Narbutis,379.0,11.0,5.0,7.0,6.0,7.0,8.0,14.0,23.0,78.0,27.0,34.0,68.0,45.0,31.0,4.0,3.0,8.0
