Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Max Kwok U Sam (郭愉琛),19.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
2.0,Chan Sai Chong (陳世聰),35.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0
3.0,Chio Wai Cheng (趙偉程),55.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,6.0,7.0,5.0,2.0
4.0,Alvarez Edel (于璐正),62.0,4.0,3.0,6.0,7.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0
5.0,Zhulu Ke (柯助錄),72.0,9.0,10.0,7.0,5.0,3.0,3.0,1.0,2.0,5.0,5.0,3.0,5.0,7.0,4.0,3.0
6.0,Vitor Jose Shen (沈偉棟),78.0,5.0,6.0,13.0,7.0,4.0,4.0,4.0,2.0,9.0,4.0,4.0,4.0,4.0,5.0,3.0
7.0,Hu Shan Jie (胡善杰),85.0,10.0,8.0,8.0,4.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
8.0,Eddie Chai (柴华),90.0,7.0,20.0,5.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,3.0,5.0,3.0
8.0,Meng Chon Kuok (郭明臻),90.0,12.0,12.0,9.0,7.0,4.0,4.0,4.0,2.0,10.0,3.0,4.0,7.0,7.0,2.0,3.0
10.0,Jason Vu Ka Ieong (胡加揚),91.0,11.0,5.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,6.0,5.0,3.0
11.0,Wong Hoi Kuan (黃凱君),93.0,8.0,20.0,4.0,6.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
11.0,Kwok Man Hei (郭汶羲),93.0,6.0,11.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
13.0,Chan Wai Nok (陳偉諾),95.0,13.0,6.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
14.0,Sio Ian Son,99.0,14.0,17.0,10.0,7.0,4.0,4.0,4.0,2.0,6.0,5.0,4.0,7.0,7.0,5.0,3.0
15.0,Lio Chi Hei (廖志熙),100.0,15.0,9.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
16.0,Brian Wong,106.0,19.0,15.0,12.0,7.0,4.0,4.0,4.0,2.0,8.0,5.0,4.0,7.0,7.0,5.0,3.0
17.0,Cheang Chi San,107.0,18.0,19.0,11.0,7.0,4.0,4.0,4.0,2.0,7.0,5.0,4.0,7.0,7.0,5.0,3.0
18.0,Chan Sai Long (陳世朗),111.0,21.0,14.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
18.0,Wong Chon Kit (黃俊傑),111.0,17.0,18.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
20.0,Tim Choi (蔡振華),112.0,16.0,20.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
21.0,Ethan Hio Wai Chong,114.0,22.0,16.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
22.0,Liren Sun,116.0,20.0,20.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
22.0,Tam Hou Meng (譚浩銘),116.0,27.0,13.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
24.0,Wong Cheng (王靖),119.0,23.0,20.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
25.0,Liang Wan Teng (梁韻婷),120.0,24.0,20.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
26.0,Peng Ieng Leong (梁冰瑩),121.0,25.0,20.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
27.0,Chiwa Wu (胡志華),122.0,26.0,20.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
28.0,Ngai Fong Wong,124.0,28.0,20.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
29.0,Liang Wan Haam (梁韻涵),125.0,29.0,20.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
30.0,Sumou Ingrid Karmane,126.0,30.0,20.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,5.0,4.0,7.0,7.0,5.0,3.0
