Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Max Kwok U Sam (郭愉琛),19.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
2.0,Chan Sai Chong (陳世聰),35.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0
3.0,Chio Wai Cheng (趙偉程),54.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,6.0,7.0,5.0,2.0
4.0,Alvarez Edel (于璐正),62.0,4.0,3.0,7.0,7.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0
5.0,Zhulu Ke (柯助錄),70.0,9.0,10.0,6.0,5.0,3.0,3.0,1.0,2.0,5.0,4.0,3.0,5.0,7.0,4.0,3.0
6.0,Vitor Jose Shen (沈偉棟),77.0,5.0,6.0,13.0,7.0,4.0,4.0,4.0,2.0,9.0,3.0,4.0,4.0,4.0,5.0,3.0
7.0,Hu Shan Jie (胡善杰),84.0,10.0,8.0,8.0,4.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
8.0,Eddie Chai (柴华),88.0,7.0,19.0,5.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,3.0,5.0,3.0
9.0,Jason Vu Ka Ieong (胡加揚),90.0,11.0,5.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,6.0,5.0,3.0
10.0,Wong Hoi Kuan (黃凱君),91.0,8.0,19.0,4.0,6.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
11.0,Kwok Man Hei (郭汶羲),92.0,6.0,11.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
12.0,Chan Wai Nok (陳偉諾),93.0,12.0,6.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
13.0,Sio Ian Son,96.0,13.0,16.0,10.0,7.0,4.0,4.0,4.0,2.0,6.0,4.0,4.0,7.0,7.0,5.0,3.0
14.0,Meng Chon Kuok (郭明臻),97.0,17.0,13.0,9.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,2.0,3.0
15.0,Lio Chi Hei (廖志熙),98.0,14.0,9.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
16.0,Cheang Chi San,105.0,18.0,18.0,11.0,7.0,4.0,4.0,4.0,2.0,7.0,4.0,4.0,7.0,7.0,5.0,3.0
16.0,Brian Wong,105.0,19.0,15.0,12.0,7.0,4.0,4.0,4.0,2.0,8.0,4.0,4.0,7.0,7.0,5.0,3.0
18.0,Wong Chon Kit (黃俊傑),108.0,16.0,17.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
19.0,Tim Choi (蔡振華),109.0,15.0,19.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
20.0,Chan Sai Long (陳世朗),110.0,21.0,14.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
21.0,Tam Hou Meng (譚浩銘),113.0,26.0,12.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
22.0,Liren Sun,114.0,20.0,19.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
23.0,Wong Cheng (王靖),116.0,22.0,19.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
24.0,Liang Wan Teng (梁韻婷),117.0,23.0,19.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
25.0,Peng Ieng Leong (梁冰瑩),118.0,24.0,19.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
26.0,Chiwa Wu (胡志華),119.0,25.0,19.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
27.0,Ngai Fong Wong,121.0,27.0,19.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
28.0,Liang Wan Haam (梁韻涵),122.0,28.0,19.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
29.0,Sumou Ingrid Karmane,123.0,29.0,19.0,14.0,7.0,4.0,4.0,4.0,2.0,10.0,4.0,4.0,7.0,7.0,5.0,3.0
