Rank,name,Sum,333,222,444,555,333oh,pyram
1.0,Andry Lala Fanasina Antsamampionona,23.0,10.0,2.0,2.0,2.0,5.0,2.0
2.0,Tafitasoa Livah Nomenjanahary,35.0,5.0,5.0,6.0,11.0,6.0,2.0
3.0,Ismaël Mamy Randriamalanto,48.0,27.0,13.0,4.0,1.0,1.0,2.0
4.0,Ravo Pascal Randrianantoanina,49.0,1.0,19.0,1.0,4.0,22.0,2.0
5.0,Fitiavana Sylvestre Rabevohitra,50.0,9.0,8.0,9.0,11.0,11.0,2.0
6.0,Bekoto Ranarison,55.0,11.0,7.0,12.0,11.0,12.0,2.0
7.0,Mahefa Sandratra Rabarisoa,63.0,3.0,29.0,14.0,7.0,8.0,2.0
8.0,Valisoa Tiavina Léonard Razafindrainibe,66.0,8.0,15.0,26.0,11.0,4.0,2.0
9.0,Manantsoa Micky Marc Monjitiana,78.0,21.0,28.0,5.0,6.0,16.0,2.0
10.0,Toky Andrianina Randriamanantena,87.0,26.0,12.0,26.0,11.0,10.0,2.0
11.0,Aro Antenaina Rabenoavy,88.0,24.0,18.0,26.0,11.0,7.0,2.0
12.0,Hery Zo Andriamanantena,90.0,49.0,11.0,8.0,5.0,15.0,2.0
13.0,Antsa Razafimpahanana,91.0,30.0,3.0,15.0,8.0,33.0,2.0
13.0,Tolotsoa Joanah Lalarijaona,91.0,29.0,9.0,7.0,11.0,33.0,2.0
15.0,Heriniaina Luc Brice Rakotomanana,96.0,14.0,47.0,20.0,11.0,2.0,2.0
16.0,Ny Antsa,98.0,31.0,17.0,23.0,11.0,14.0,2.0
16.0,Mickaël Randrianarison,98.0,2.0,47.0,11.0,3.0,33.0,2.0
18.0,Daniel Mikaia Ramandaniarivo,99.0,4.0,47.0,26.0,11.0,9.0,2.0
19.0,Ravaka Rabemanantsoa,105.0,16.0,47.0,26.0,11.0,3.0,2.0
20.0,Toavina Ranaivoarisoa,107.0,15.0,20.0,26.0,11.0,33.0,2.0
21.0,Justin Lantomalala,108.0,33.0,15.0,26.0,11.0,21.0,2.0
22.0,Andriambola Stephen Lalao Ravelonarivo,113.0,40.0,1.0,26.0,11.0,33.0,2.0
23.0,Nilaina Rakotondrasoa,116.0,20.0,44.0,26.0,11.0,13.0,2.0
24.0,Tsiaroniaina Randy Mandimbisoa,118.0,42.0,26.0,19.0,11.0,18.0,2.0
25.0,Naly Rakotondrambahy,120.0,64.0,4.0,13.0,11.0,26.0,2.0
26.0,Arilova Niela Ratsima,122.0,19.0,31.0,26.0,11.0,33.0,2.0
27.0,Rina Andriamihaja,123.0,47.0,14.0,16.0,11.0,33.0,2.0
28.0,Tolotra Ny Avo Andriamamonjisoa,124.0,37.0,21.0,26.0,11.0,27.0,2.0
29.0,Toavina Zanaparien Randrianatoandro,125.0,6.0,47.0,26.0,11.0,33.0,2.0
30.0,Fanasindratsimba Fanoela Rafanaterantsoa,126.0,7.0,47.0,26.0,11.0,33.0,2.0
31.0,Haja Gabriel Rakotonoely,128.0,54.0,10.0,26.0,11.0,25.0,2.0
32.0,Aina Nirina Johnny Rakotovololona,131.0,12.0,47.0,26.0,11.0,33.0,2.0
33.0,John Francio Rabemahavory,132.0,13.0,47.0,26.0,11.0,33.0,2.0
33.0,Ny Aina Toky Mahenina Rakotondrazafy,132.0,41.0,22.0,26.0,11.0,30.0,2.0
33.0,Sandaniaina Toavina Randrianarivony,132.0,23.0,47.0,26.0,11.0,23.0,2.0
33.0,Maminirina Luckas Rakotonarivo,132.0,22.0,47.0,26.0,11.0,24.0,2.0
37.0,Alex Andoniaina Raherinjatovo,136.0,17.0,47.0,26.0,11.0,33.0,2.0
38.0,Johary Randriamanantena,137.0,18.0,47.0,26.0,11.0,33.0,2.0
39.0,Jean Eric Razafindralay,140.0,59.0,24.0,18.0,9.0,28.0,2.0
40.0,Tchelsee Fanomezandimby,143.0,38.0,47.0,26.0,11.0,19.0,2.0
41.0,Saotra Ny Aina Amyo Rajaofera,144.0,25.0,47.0,26.0,11.0,33.0,2.0
42.0,Fanilo Manoa Rajaonary,147.0,28.0,47.0,26.0,11.0,33.0,2.0
43.0,Ranarison Fiderana Lioka,151.0,32.0,47.0,26.0,11.0,33.0,2.0
44.0,Andrianasolo Rakotobe Andoniaina,153.0,50.0,47.0,26.0,11.0,17.0,2.0
44.0,Tahiry Fanambinana Rafidimanantsoa,153.0,34.0,47.0,26.0,11.0,33.0,2.0
46.0,Harimihaja Thierry Tsiorimanana Ramilison,154.0,35.0,47.0,26.0,11.0,33.0,2.0
47.0,Jary Voara Razafindrakoto,155.0,71.0,30.0,21.0,11.0,20.0,2.0
47.0,Raparaoelina Mandresy,155.0,36.0,47.0,26.0,11.0,33.0,2.0
49.0,Steeve Gaël Raharinjatovo,158.0,48.0,47.0,17.0,11.0,33.0,2.0
49.0,Arinosy Nilaina Ruddy Rakotonirina,158.0,39.0,47.0,26.0,11.0,33.0,2.0
51.0,Abasse Tafita Sefoudine,162.0,43.0,47.0,26.0,11.0,33.0,2.0
51.0,Mparany Ndriandahy,162.0,66.0,32.0,22.0,11.0,29.0,2.0
53.0,Finaritra Randriahifidisoa,163.0,44.0,47.0,26.0,11.0,33.0,2.0
54.0,Nomena Andriantsoa Oliarijao,164.0,45.0,47.0,26.0,11.0,33.0,2.0
55.0,Pascal Rakotoarison,165.0,46.0,47.0,26.0,11.0,33.0,2.0
56.0,Iloniaina Tohifitahiana Randrianasolo,169.0,72.0,25.0,26.0,11.0,33.0,2.0
57.0,Tsiory Randriamisaina,170.0,51.0,47.0,26.0,11.0,33.0,2.0
57.0,Andy Kanto Rakotoarimalala,170.0,65.0,33.0,26.0,11.0,33.0,2.0
59.0,Tsaramanana Steve Randriambola,171.0,52.0,47.0,26.0,11.0,33.0,2.0
59.0,Herinirina Rolland Rakotoarison,171.0,76.0,23.0,26.0,11.0,33.0,2.0
61.0,Hajatiana Clément Ramonjiharison,172.0,53.0,47.0,26.0,11.0,33.0,2.0
62.0,Finoana Mickaël Andriamaroson,174.0,55.0,47.0,26.0,11.0,33.0,2.0
