Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Ng Jia Quan (黄佳铨),63.0,5.0,2.0,3.0,5.0,3.0,6.0,3.0,5.0,4.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,5.0
2.0,Lim Hung (林弘),115.0,6.0,19.0,4.0,2.0,1.0,1.0,12.0,10.0,2.0,7.0,5.0,24.0,1.0,1.0,3.0,5.0,12.0
3.0,Ainesh Sevellaraja,169.0,2.0,5.0,8.0,7.0,13.0,14.0,2.0,8.0,14.0,6.0,10.0,16.0,55.0,3.0,2.0,2.0,2.0
4.0,Ang Chin Zhen (洪靖程),283.0,20.0,5.0,12.0,10.0,7.0,13.0,22.0,1.0,40.0,40.0,17.0,7.0,42.0,5.0,15.0,10.0,17.0
5.0,William Gan Wei Ren (颜伟仁),325.0,21.0,39.0,28.0,20.0,23.0,18.0,11.0,5.0,17.0,25.0,32.0,15.0,31.0,14.0,9.0,9.0,8.0
6.0,Lim Chun Yik (林峻毅),344.0,58.0,33.0,13.0,15.0,15.0,22.0,31.0,7.0,18.0,18.0,24.0,2.0,10.0,15.0,26.0,14.0,23.0
7.0,Darren Siew Ee Yaang (蕭奕暘),346.0,15.0,9.0,17.0,49.0,48.0,50.0,21.0,10.0,7.0,10.0,2.0,22.0,27.0,4.0,25.0,14.0,16.0
8.0,Ivan Lew Yi Wen (刘义文),373.0,11.0,5.0,5.0,1.0,4.0,4.0,24.0,19.0,26.0,61.0,3.0,35.0,75.0,36.0,26.0,14.0,24.0
9.0,Ang Chin Xiang,449.0,24.0,89.0,2.0,3.0,6.0,7.0,29.0,14.0,15.0,35.0,31.0,112.0,11.0,8.0,13.0,14.0,36.0
10.0,Shawn Lee Zhi Xuan (李致轩),547.0,43.0,25.0,56.0,25.0,38.0,43.0,14.0,3.0,8.0,80.0,40.0,73.0,35.0,43.0,8.0,7.0,6.0
11.0,Hill Pong Yong Feng,555.0,8.0,16.0,20.0,13.0,54.0,47.0,1.0,14.0,114.0,23.0,1.0,19.0,206.0,16.0,1.0,1.0,1.0
12.0,Tan Jun (陈俊),576.0,66.0,8.0,37.0,19.0,18.0,15.0,121.0,29.0,113.0,2.0,20.0,3.0,18.0,27.0,26.0,14.0,40.0
13.0,Eason Siew Ee Son (蕭奕晨),665.0,75.0,138.0,38.0,46.0,33.0,32.0,17.0,47.0,44.0,12.0,15.0,53.0,59.0,29.0,12.0,8.0,7.0
14.0,Muhammad Fitri Hakim Bin Dzulkarnain,671.0,13.0,55.0,14.0,27.0,25.0,40.0,61.0,100.0,39.0,51.0,8.0,45.0,23.0,90.0,26.0,14.0,40.0
15.0,Nordarwish Akmal Bin Noor Ibrahim,703.0,14.0,22.0,10.0,12.0,10.0,9.0,121.0,100.0,78.0,42.0,19.0,41.0,92.0,53.0,26.0,14.0,40.0
