Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Benjamin Chetcuti Cauchi,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,Guze Vella Gera,38.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,6.0,2.0
3.0,Carl Galea,39.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
4.0,Timothy Lanfranco,49.0,7.0,8.0,6.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0
4.0,James Mizzi,49.0,4.0,4.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
6.0,Andrew Caruana,50.0,6.0,9.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,5.0,2.0
7.0,Gerard Tabone,51.0,9.0,9.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,8.0,3.0,2.0
8.0,David Brincat,55.0,14.0,11.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
9.0,Philippa Marie Chetcuti Cauchi,59.0,17.0,5.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0
9.0,Juan Scerri,59.0,5.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
11.0,Jean Borg,60.0,18.0,7.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,6.0,2.0
11.0,Josef Falzon,60.0,13.0,6.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
13.0,Martina Catania,62.0,8.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
14.0,Jake Gauci,63.0,10.0,12.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
15.0,Kurt Cristina,65.0,11.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
16.0,Neil Desira,66.0,12.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
17.0,John Andreas Baldacchino,69.0,15.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
18.0,Giorgio Grigolo,70.0,16.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
19.0,Glenn Abela,73.0,19.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
20.0,James Chircop,74.0,20.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
21.0,Dean Zammit,75.0,21.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
22.0,Mattias Azzopardi,76.0,22.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
23.0,Clive Ciantar,77.0,23.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
24.0,Zack Scicluna,78.0,24.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
25.0,Martina Sammut,79.0,25.0,13.0,7.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
