Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Ryan Pin Harry,8.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,Aditya Ramessur,34.0,4.0,6.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0
3.0,Milind Bhoyroo,35.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,7.0,2.0,2.0,1.0,3.0,1.0,1.0
4.0,Ken Chan Thim,41.0,8.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,3.0,2.0,4.0,1.0,1.0
5.0,Timothy Fon Sing,45.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,18.0,4.0,1.0,1.0
6.0,Dylan Dulthummon,48.0,6.0,5.0,6.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,8.0,4.0,1.0,1.0
7.0,Vivek Perbhoo,76.0,10.0,8.0,12.0,2.0,2.0,2.0,1.0,1.0,9.0,2.0,3.0,18.0,4.0,1.0,1.0
8.0,Ddounj-Hit Yogendra Anchitpatra Gaijan,77.0,11.0,14.0,5.0,2.0,2.0,2.0,1.0,1.0,10.0,2.0,3.0,18.0,4.0,1.0,1.0
9.0,Shaneel Purahoo,82.0,24.0,9.0,10.0,2.0,2.0,2.0,1.0,1.0,13.0,2.0,3.0,7.0,4.0,1.0,1.0
10.0,Motasim Mauthoor,83.0,7.0,10.0,12.0,2.0,2.0,2.0,1.0,1.0,17.0,2.0,3.0,18.0,4.0,1.0,1.0
11.0,Keshia Soobrayen,87.0,21.0,15.0,12.0,2.0,2.0,2.0,1.0,1.0,17.0,2.0,3.0,3.0,4.0,1.0,1.0
12.0,Ghunowa Ojasvi,89.0,3.0,32.0,12.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,18.0,4.0,1.0,1.0
12.0,Dushyant Sunassee,89.0,29.0,7.0,11.0,2.0,2.0,2.0,1.0,1.0,17.0,2.0,3.0,6.0,4.0,1.0,1.0
14.0,Samuel Chee Man Shing,91.0,12.0,21.0,7.0,2.0,2.0,2.0,1.0,1.0,14.0,2.0,3.0,18.0,4.0,1.0,1.0
15.0,Tommy Andrew Ah Ching,94.0,18.0,19.0,12.0,2.0,2.0,2.0,1.0,1.0,8.0,2.0,3.0,18.0,4.0,1.0,1.0
16.0,Raaid Salman Baray,97.0,15.0,16.0,12.0,2.0,2.0,2.0,1.0,1.0,17.0,2.0,3.0,18.0,4.0,1.0,1.0
16.0,Dhanvin Bissessur,97.0,14.0,32.0,12.0,2.0,2.0,2.0,1.0,1.0,15.0,2.0,3.0,5.0,4.0,1.0,1.0
18.0,Noah Krishnamoorty,99.0,20.0,18.0,12.0,2.0,2.0,2.0,1.0,1.0,12.0,2.0,3.0,18.0,4.0,1.0,1.0
