Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Alexis Rodrigo Cazu Mendoza,164.0,5.0,5.0,3.0,2.0,1.0,1.0,43.0,5.0,14.0,6.0,4.0,8.0,26.0,4.0,15.0,6.0,16.0
2.0,Emilio Alberto Rodríguez Jiménez,342.0,10.0,14.0,57.0,19.0,51.0,48.0,2.0,23.0,63.0,4.0,10.0,26.0,1.0,6.0,1.0,3.0,4.0
3.0,Daniel Guardado Cabral,345.0,42.0,23.0,5.0,10.0,30.0,26.0,38.0,2.0,30.0,22.0,33.0,3.0,10.0,28.0,15.0,6.0,22.0
4.0,Angel Armando Jaime Sánchez,394.0,1.0,31.0,1.0,1.0,2.0,4.0,19.0,59.0,7.0,14.0,18.0,89.0,12.0,71.0,15.0,6.0,44.0
5.0,Julián García Sánchez,397.0,2.0,6.0,19.0,3.0,27.0,18.0,118.0,5.0,2.0,43.0,24.0,15.0,26.0,15.0,15.0,6.0,53.0
6.0,Joaquin Ruenes Hernández,461.0,3.0,8.0,6.0,20.0,43.0,81.0,161.0,8.0,10.0,2.0,39.0,2.0,2.0,2.0,15.0,6.0,53.0
7.0,César Abraham Briones Arreola,514.0,16.0,9.0,18.0,35.0,21.0,32.0,161.0,38.0,16.0,42.0,12.0,12.0,15.0,13.0,15.0,6.0,53.0
8.0,Angel Arrioja Landa,595.0,30.0,29.0,20.0,51.0,45.0,57.0,30.0,38.0,93.0,29.0,63.0,21.0,21.0,23.0,15.0,6.0,24.0
9.0,Diego Brizuela Crespo,662.0,24.0,54.0,4.0,31.0,25.0,54.0,86.0,23.0,43.0,65.0,45.0,124.0,9.0,1.0,15.0,6.0,53.0
10.0,Gamaliel Jimenez Oropeza,681.0,36.0,16.0,10.0,17.0,31.0,12.0,161.0,109.0,41.0,27.0,27.0,29.0,84.0,7.0,15.0,6.0,53.0
11.0,Diego Villarreal Salinas,718.0,19.0,116.0,12.0,15.0,7.0,10.0,160.0,169.0,11.0,10.0,17.0,44.0,40.0,14.0,15.0,6.0,53.0
