Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Alex Casian,29.0,5.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
2.0,Ilie Nagrineac,31.0,1.0,1.0,4.0,4.0,6.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0
3.0,Costea Livadari,56.0,4.0,9.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,10.0,3.0,5.0,5.0
4.0,Ivan Coțiubinschii,103.0,18.0,5.0,10.0,8.0,6.0,3.0,2.0,2.0,23.0,3.0,5.0,12.0,3.0,3.0
5.0,Ionel Bălteanu,124.0,8.0,3.0,6.0,5.0,3.0,1.0,2.0,2.0,16.0,1.0,3.0,47.0,22.0,5.0
6.0,Alexandr Abramenco,136.0,15.0,3.0,13.0,11.0,6.0,3.0,2.0,2.0,12.0,3.0,10.0,29.0,22.0,5.0
7.0,Artin Alexandru,137.0,3.0,14.0,41.0,16.0,6.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,22.0,5.0
8.0,Andrei Ciupac,139.0,13.0,8.0,27.0,16.0,6.0,3.0,1.0,2.0,5.0,3.0,10.0,18.0,22.0,5.0
9.0,Vlad Ciobanu,147.0,2.0,6.0,2.0,6.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
10.0,Nicolae Pojar,154.0,11.0,7.0,7.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,4.0,5.0
11.0,Eugeniu Moscalenco,161.0,46.0,15.0,17.0,13.0,6.0,3.0,2.0,2.0,25.0,3.0,7.0,11.0,6.0,5.0
12.0,Ştefan Baeş,167.0,6.0,19.0,16.0,16.0,6.0,3.0,2.0,2.0,10.0,3.0,10.0,47.0,22.0,5.0
12.0,Alexandr Mitskul (Александр Мицкул),167.0,20.0,16.0,8.0,16.0,6.0,3.0,2.0,2.0,7.0,3.0,10.0,47.0,22.0,5.0
14.0,David Cararus,180.0,36.0,10.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,5.0,11.0,4.0
15.0,Adrian Iamandii,181.0,12.0,11.0,11.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
16.0,Valentin Leșan,185.0,14.0,20.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,10.0,22.0,5.0
17.0,Octavian Panuta,192.0,19.0,17.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,24.0,13.0,5.0
18.0,Dmitrii Shulga (Дмитрий Шульга),199.0,27.0,22.0,14.0,9.0,4.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,20.0,5.0
19.0,Denis Busuioc,200.0,34.0,36.0,22.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,8.0,22.0,5.0
20.0,Nicu Guranda,205.0,16.0,37.0,9.0,12.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
20.0,Victor Sava,205.0,49.0,20.0,41.0,16.0,6.0,3.0,2.0,2.0,17.0,3.0,10.0,9.0,22.0,5.0
22.0,Cătălin Corolevschi,215.0,17.0,30.0,41.0,16.0,6.0,3.0,2.0,2.0,11.0,3.0,10.0,47.0,22.0,5.0
23.0,Alexandru Jerebtov,217.0,39.0,24.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,13.0,22.0,5.0
24.0,Alexandru Munteanu,221.0,42.0,29.0,21.0,14.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,37.0,16.0,5.0
25.0,Spartak Timoscov,222.0,43.0,40.0,18.0,7.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,30.0,22.0,5.0
26.0,Maxim Ghervas,223.0,60.0,34.0,25.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,4.0,22.0,5.0
27.0,Nichita Cobasnean,227.0,31.0,58.0,29.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,4.0,15.0,22.0,5.0
28.0,Mihai Vrabi,228.0,22.0,18.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
28.0,Eugen Donescu,228.0,48.0,42.0,26.0,16.0,6.0,3.0,2.0,2.0,29.0,3.0,10.0,14.0,22.0,5.0
30.0,Nicolai Posmac (Николай Посмак),233.0,30.0,32.0,30.0,10.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
31.0,Andrei Andrieș,234.0,25.0,53.0,19.0,16.0,6.0,3.0,2.0,2.0,21.0,3.0,10.0,47.0,22.0,5.0
32.0,Liviu-Mihai Oncioiu,235.0,8.0,88.0,5.0,3.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
32.0,Roma Canja,235.0,44.0,43.0,32.0,16.0,6.0,3.0,2.0,2.0,28.0,3.0,10.0,19.0,22.0,5.0
34.0,Vladislav Manolov,239.0,29.0,44.0,41.0,16.0,6.0,3.0,2.0,2.0,20.0,3.0,10.0,36.0,22.0,5.0
35.0,Alexander Jalba,242.0,55.0,13.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,8.0,5.0
36.0,Artyom Roșcov,250.0,50.0,12.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
37.0,Damian Botezatu,252.0,57.0,50.0,41.0,16.0,6.0,3.0,2.0,2.0,26.0,3.0,6.0,26.0,9.0,5.0
37.0,Marcel Rotaru,252.0,37.0,60.0,24.0,16.0,6.0,3.0,2.0,2.0,15.0,3.0,10.0,47.0,22.0,5.0
39.0,Augustin Ploteanu,253.0,70.0,28.0,34.0,16.0,6.0,3.0,2.0,2.0,19.0,3.0,10.0,33.0,22.0,5.0
39.0,Denis Bragarenco,253.0,61.0,31.0,36.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,25.0,22.0,5.0
41.0,Liviu Munteanu,256.0,38.0,48.0,23.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
42.0,Andrei Vulpe,257.0,24.0,45.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
43.0,Gennady Iliin,258.0,7.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,6.0,3.0,10.0,47.0,22.0,5.0
43.0,Eni Bogdan,258.0,32.0,38.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
43.0,Țurcan Liviu,258.0,51.0,47.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,34.0,7.0,5.0
46.0,Nelu Moraru,260.0,10.0,88.0,15.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
47.0,Daniil Ocolitii,261.0,77.0,23.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,20.0,22.0,5.0
48.0,Pavel Caraus,262.0,54.0,46.0,28.0,16.0,6.0,3.0,2.0,2.0,18.0,3.0,10.0,47.0,22.0,5.0
49.0,Gabriel Rotaru,263.0,69.0,26.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,39.0,10.0,5.0
50.0,Adrian Saca,266.0,53.0,25.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
51.0,Igor Balov,272.0,35.0,88.0,20.0,16.0,6.0,3.0,2.0,2.0,13.0,3.0,10.0,47.0,22.0,5.0
52.0,Nicolae Matei,273.0,62.0,54.0,31.0,15.0,5.0,2.0,2.0,2.0,22.0,3.0,9.0,40.0,21.0,5.0
52.0,Matei Cararus,273.0,89.0,27.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,16.0,22.0,5.0
54.0,Matteo Lungu,277.0,23.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,9.0,3.0,10.0,47.0,22.0,5.0
55.0,Stefan Negru,279.0,26.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,8.0,3.0,10.0,47.0,22.0,5.0
56.0,Bogdan Lazariuc,284.0,93.0,33.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,17.0,22.0,5.0
57.0,Gherman Ciub,285.0,47.0,51.0,40.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
58.0,Vladislav Dima,287.0,28.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,14.0,3.0,10.0,47.0,22.0,5.0
59.0,Emanoil Borzin,290.0,108.0,39.0,37.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,6.0,22.0,5.0
60.0,Cristian Stamatin,292.0,45.0,88.0,12.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
61.0,Vitaly Glinca,297.0,21.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
62.0,Daniil Samohvalov,301.0,64.0,49.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
63.0,Dragoș Străinu,303.0,74.0,56.0,33.0,16.0,6.0,3.0,2.0,2.0,24.0,3.0,10.0,47.0,22.0,5.0
63.0,Constantin Turcu,303.0,65.0,65.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,32.0,22.0,5.0
63.0,Serghei Sinchin,303.0,58.0,63.0,35.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
66.0,Roberto Lozovanu,305.0,76.0,41.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
67.0,Mihai Spinu,306.0,40.0,78.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
68.0,Vlad Merjan,308.0,56.0,64.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
69.0,Yura Rushika (Юрий Рушика),309.0,33.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
70.0,Robert Grecu,312.0,68.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,22.0,15.0,5.0
71.0,Nicolae Șoitu,315.0,81.0,52.0,39.0,16.0,6.0,3.0,2.0,2.0,27.0,3.0,10.0,47.0,22.0,5.0
72.0,Victor Leșan,317.0,41.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
73.0,Vladislav Plamadeala,318.0,75.0,55.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
74.0,Alexandr Savan,319.0,105.0,35.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,42.0,18.0,5.0
74.0,Eugen Josan,319.0,85.0,70.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,23.0,22.0,5.0
76.0,Nichita Cecoda,320.0,72.0,72.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,38.0,19.0,5.0
77.0,Dionis Cumpan,328.0,52.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
78.0,Iulia Dovganici,330.0,71.0,71.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
78.0,Adrian Ciochina,330.0,73.0,69.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
80.0,Daniela Moldovanu,334.0,109.0,62.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,27.0,17.0,5.0
81.0,Dumitru Burov,335.0,59.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
82.0,Gabriel Grecu,336.0,95.0,57.0,38.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,46.0,22.0,5.0
82.0,Alexandru Roșculeț,336.0,90.0,58.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
82.0,Alexei Andronov,336.0,88.0,66.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,41.0,22.0,5.0
85.0,Kristian Draguțan,339.0,63.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
86.0,Alexandru Curtian,340.0,78.0,74.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
86.0,Mihai Vidaico,340.0,86.0,67.0,41.0,16.0,6.0,3.0,2.0,2.0,30.0,3.0,10.0,47.0,22.0,5.0
88.0,Daniel Dogot,342.0,66.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
89.0,Loredana Moldovanu,343.0,116.0,61.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,35.0,12.0,5.0
89.0,Vladislav Leșan,343.0,67.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
91.0,Daniel Odobescu,344.0,94.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,21.0,22.0,5.0
92.0,Gabriel Ivanov,353.0,104.0,80.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,28.0,22.0,5.0
93.0,Gleb Burstein,355.0,79.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
94.0,Dmitrii Cerneuc,356.0,80.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
95.0,Teodor Cozmolici,357.0,96.0,75.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,8.0,47.0,22.0,5.0
96.0,Artem Prizenco,358.0,82.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
97.0,Marius Gherasim,359.0,98.0,73.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
97.0,Valeria Țurcan,359.0,83.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
97.0,Radu Cuciuc,359.0,103.0,68.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
100.0,Stas Grumeza,360.0,84.0,88.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
101.0,Nichita Vicol,361.0,87.0,86.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,47.0,22.0,5.0
102.0,Alisa Busuioc,363.0,107.0,84.0,41.0,16.0,6.0,3.0,2.0,2.0,31.0,3.0,10.0,31.0,22.0,5.0
