Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Myagmardorj Ulziijargal (Өлзийжаргал Мягмардорж),91.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,6.0,1.0,18.0,4.0,6.0,18.0,9.0,2.0
2.0,Namuun Natsagdorj,107.0,20.0,11.0,11.0,16.0,8.0,4.0,5.0,3.0,10.0,1.0,7.0,5.0,3.0,2.0,1.0
3.0,Munkhdelger Shinekhuu,156.0,2.0,2.0,2.0,3.0,17.0,10.0,21.0,10.0,2.0,29.0,13.0,17.0,21.0,5.0,2.0
4.0,Amarsanaa Enkhbaatar,171.0,11.0,11.0,17.0,10.0,12.0,7.0,21.0,4.0,11.0,29.0,26.0,1.0,1.0,8.0,2.0
5.0,Zayabaatar Batbayr,177.0,4.0,8.0,5.0,15.0,17.0,10.0,21.0,2.0,4.0,29.0,19.0,15.0,2.0,24.0,2.0
6.0,Orgil Otgonbayar (Отгонбаяр Оргил),184.0,7.0,4.0,7.0,4.0,3.0,6.0,21.0,10.0,14.0,12.0,12.0,11.0,51.0,20.0,2.0
7.0,Bat-Erdene Sambuudolgor (Самбуудолгор Бат-Эрдэнэ),188.0,25.0,5.0,14.0,7.0,4.0,2.0,21.0,10.0,15.0,10.0,3.0,20.0,26.0,24.0,2.0
8.0,Esukhei Bat-Erdene (Бат-Эрдэнэ Есүхэй),197.0,8.0,20.0,3.0,8.0,7.0,10.0,11.0,10.0,3.0,29.0,5.0,35.0,22.0,24.0,2.0
9.0,Ariunbold Bayanmunkh (Баянмөнх Ариунболд),202.0,25.0,22.0,6.0,13.0,9.0,9.0,20.0,10.0,17.0,14.0,10.0,27.0,15.0,3.0,2.0
10.0,Erdenebayar Otgonjargal,215.0,31.0,33.0,9.0,5.0,6.0,8.0,12.0,10.0,9.0,29.0,6.0,4.0,27.0,24.0,2.0
11.0,Uuganbayar Bayalagnasan,228.0,19.0,15.0,12.0,31.0,15.0,10.0,15.0,10.0,38.0,4.0,16.0,30.0,4.0,7.0,2.0
12.0,Sumiyabazar Munkhzaya (Мөнхзаяа Сумъяабазар),238.0,9.0,21.0,4.0,20.0,17.0,10.0,18.0,10.0,6.0,29.0,18.0,22.0,28.0,24.0,2.0
13.0,Khuslen Gan-Ochir,239.0,12.0,17.0,15.0,51.0,17.0,10.0,14.0,7.0,28.0,2.0,2.0,55.0,6.0,1.0,2.0
14.0,Munkhchuluun Buyanduuren,244.0,18.0,6.0,29.0,51.0,17.0,10.0,2.0,9.0,16.0,6.0,30.0,13.0,11.0,24.0,2.0
15.0,Bilguun Soyolbaatar (Соёлбаатар Билгүүн),262.0,28.0,31.0,19.0,12.0,11.0,10.0,6.0,10.0,8.0,29.0,22.0,45.0,5.0,24.0,2.0
16.0,Munkh-Erdene Natsagdorj (Нацагдорж Мөнх-Эрдэнэ),276.0,23.0,14.0,21.0,14.0,17.0,10.0,21.0,10.0,23.0,29.0,11.0,8.0,49.0,24.0,2.0
17.0,Belgutei Batjargal,277.0,14.0,16.0,27.0,36.0,17.0,10.0,21.0,10.0,27.0,16.0,25.0,26.0,8.0,22.0,2.0
18.0,Altanbagana Altangerel (Алтангэрэл Алтанбагана),285.0,15.0,34.0,8.0,2.0,2.0,3.0,21.0,10.0,40.0,29.0,17.0,24.0,54.0,24.0,2.0
19.0,Erkhemkhishig Batmunkh,313.0,6.0,17.0,45.0,51.0,17.0,10.0,21.0,10.0,24.0,29.0,30.0,21.0,6.0,24.0,2.0
20.0,Bilguun Batjargal,323.0,40.0,39.0,32.0,28.0,14.0,10.0,21.0,5.0,45.0,9.0,24.0,28.0,16.0,10.0,2.0
21.0,Tserendorj Nyam-Ochir (Ням-Очир Цэрэндорж),339.0,5.0,32.0,30.0,26.0,17.0,10.0,4.0,10.0,5.0,29.0,30.0,73.0,42.0,24.0,2.0
22.0,Munkhtaivan Battugs,352.0,35.0,27.0,26.0,51.0,17.0,10.0,21.0,10.0,76.0,7.0,15.0,32.0,9.0,14.0,2.0
23.0,Buyantogtokh Batsaikhan (Батсайхан Буянтогтох),380.0,33.0,24.0,33.0,51.0,17.0,10.0,21.0,10.0,76.0,11.0,30.0,25.0,13.0,24.0,2.0
24.0,Bayrsaikhan Erdene-Ochir,386.0,41.0,26.0,37.0,23.0,17.0,10.0,21.0,10.0,30.0,29.0,30.0,61.0,25.0,24.0,2.0
25.0,Zolboo Erelkhegbaatar,388.0,17.0,30.0,10.0,18.0,17.0,10.0,21.0,10.0,42.0,29.0,30.0,49.0,79.0,24.0,2.0
25.0,Bilguun Sukhbaatar,388.0,3.0,10.0,24.0,29.0,17.0,10.0,21.0,10.0,29.0,29.0,30.0,47.0,103.0,24.0,2.0
27.0,Bilguuntamir Soronzontugs (Соронзонтөгс Билгүүнтамир),398.0,21.0,23.0,22.0,19.0,13.0,10.0,19.0,10.0,34.0,29.0,1.0,73.0,98.0,24.0,2.0
28.0,Serdamba Lkhagvadorj,408.0,68.0,38.0,52.0,51.0,17.0,10.0,21.0,10.0,19.0,29.0,30.0,23.0,14.0,24.0,2.0
29.0,Erkhembileg Byambaa,425.0,37.0,47.0,16.0,6.0,10.0,10.0,21.0,10.0,20.0,29.0,9.0,10.0,174.0,24.0,2.0
30.0,Ulemj Batbayar,431.0,16.0,11.0,44.0,51.0,17.0,10.0,21.0,10.0,7.0,29.0,30.0,147.0,12.0,24.0,2.0
31.0,Radnaa Zoljargal,438.0,34.0,40.0,48.0,39.0,17.0,10.0,21.0,10.0,41.0,3.0,30.0,83.0,36.0,24.0,2.0
32.0,Renchinnorov Burenzevseg (Бүрэнзэвсэг Ренчинноров),454.0,38.0,3.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,2.0,43.0,24.0,2.0
33.0,Bayarkhuu Munkhbaatar,462.0,81.0,60.0,62.0,51.0,17.0,10.0,21.0,10.0,48.0,29.0,14.0,14.0,19.0,24.0,2.0
34.0,Ankhbayar Batbileg,479.0,27.0,6.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,41.0,37.0,24.0,2.0
35.0,Ononmur Unubold (Өнөболд Ононмөр),492.0,101.0,48.0,59.0,30.0,17.0,10.0,21.0,10.0,76.0,13.0,30.0,39.0,23.0,13.0,2.0
