Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Mohamed Elkhatri,37.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,9.0,4.0,2.0,3.0
2.0,Mohamed Ben Driss Chokri,50.0,5.0,1.0,6.0,3.0,2.0,4.0,4.0,5.0,2.0,6.0,4.0,1.0,3.0,2.0,2.0
3.0,Badr Ait Belaid,53.0,2.0,5.0,7.0,6.0,2.0,1.0,3.0,4.0,1.0,11.0,1.0,7.0,1.0,1.0,1.0
4.0,Anas Meziani,58.0,7.0,4.0,3.0,2.0,1.0,8.0,5.0,2.0,3.0,2.0,9.0,5.0,2.0,2.0,3.0
5.0,Anass Doublal,59.0,9.0,6.0,4.0,4.0,2.0,5.0,1.0,7.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0
6.0,Omar Ouadouha,69.0,3.0,9.0,2.0,6.0,2.0,3.0,5.0,3.0,3.0,4.0,11.0,9.0,4.0,2.0,3.0
7.0,Kaiss Mikou,94.0,11.0,3.0,9.0,6.0,2.0,9.0,5.0,15.0,3.0,7.0,6.0,9.0,4.0,2.0,3.0
8.0,Marouane El Qoraychi,124.0,25.0,12.0,15.0,6.0,2.0,9.0,5.0,10.0,3.0,11.0,8.0,9.0,4.0,2.0,3.0
8.0,Aya El Hani,124.0,23.0,11.0,12.0,6.0,2.0,7.0,5.0,24.0,3.0,3.0,10.0,9.0,4.0,2.0,3.0
10.0,Mehdi Jaafour,125.0,10.0,18.0,5.0,6.0,2.0,9.0,5.0,9.0,3.0,11.0,29.0,9.0,4.0,2.0,3.0
11.0,Laila Yahya,127.0,16.0,8.0,26.0,6.0,2.0,9.0,5.0,21.0,3.0,11.0,7.0,4.0,4.0,2.0,3.0
12.0,Sakina Belakbir,128.0,22.0,7.0,10.0,6.0,2.0,6.0,5.0,17.0,3.0,9.0,23.0,9.0,4.0,2.0,3.0
13.0,Soufiane Lakhlifi,134.0,15.0,23.0,26.0,6.0,2.0,9.0,5.0,11.0,3.0,11.0,5.0,9.0,4.0,2.0,3.0
14.0,Ayoub El Atouany,137.0,4.0,16.0,26.0,6.0,2.0,9.0,5.0,8.0,3.0,11.0,29.0,9.0,4.0,2.0,3.0
15.0,Ismail Yacoubi,144.0,18.0,15.0,26.0,6.0,2.0,9.0,5.0,18.0,3.0,11.0,13.0,9.0,4.0,2.0,3.0
16.0,Fady Loukili,146.0,26.0,14.0,14.0,6.0,2.0,9.0,5.0,23.0,3.0,11.0,15.0,9.0,4.0,2.0,3.0
17.0,Anas Fathani,147.0,6.0,19.0,26.0,6.0,2.0,9.0,5.0,13.0,3.0,11.0,29.0,9.0,4.0,2.0,3.0
18.0,Yasmine Amadi,149.0,12.0,22.0,13.0,5.0,2.0,9.0,5.0,20.0,3.0,11.0,29.0,9.0,4.0,2.0,3.0
