Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Salon Ngakhushi,89.0,5.0,5.0,1.0,2.0,7.0,4.0,13.0,8.0,1.0,2.0,2.0,30.0,1.0,1.0,2.0,5.0
2.0,Anup Adhikari,93.0,6.0,3.0,2.0,3.0,3.0,1.0,11.0,4.0,32.0,5.0,7.0,3.0,3.0,3.0,2.0,5.0
3.0,Surav Krishna Shrestha,94.0,1.0,1.0,4.0,6.0,8.0,4.0,13.0,2.0,5.0,9.0,10.0,9.0,6.0,9.0,2.0,5.0
4.0,Raman Shakya,108.0,11.0,7.0,3.0,1.0,1.0,3.0,10.0,6.0,4.0,9.0,4.0,2.0,19.0,21.0,2.0,5.0
5.0,Ankit Sanjel,133.0,12.0,11.0,18.0,9.0,8.0,4.0,5.0,6.0,8.0,4.0,1.0,1.0,25.0,14.0,2.0,5.0
6.0,Saiman Adhikari,196.0,13.0,30.0,16.0,4.0,8.0,4.0,13.0,15.0,13.0,9.0,22.0,4.0,20.0,18.0,2.0,5.0
7.0,Binaya Dhakal,201.0,22.0,6.0,8.0,14.0,8.0,4.0,13.0,15.0,33.0,9.0,25.0,18.0,9.0,10.0,2.0,5.0
8.0,Samir Bikram Dhami,219.0,19.0,17.0,14.0,18.0,6.0,4.0,13.0,15.0,62.0,9.0,9.0,6.0,13.0,7.0,2.0,5.0
9.0,Rajin Shrestha,220.0,7.0,14.0,9.0,17.0,8.0,4.0,13.0,10.0,7.0,9.0,25.0,49.0,20.0,21.0,2.0,5.0
10.0,Risab Subedi,226.0,15.0,31.0,17.0,11.0,8.0,4.0,13.0,15.0,11.0,9.0,11.0,42.0,11.0,21.0,2.0,5.0
11.0,Shakar De Panta,238.0,18.0,10.0,20.0,13.0,5.0,4.0,13.0,15.0,28.0,9.0,19.0,25.0,31.0,21.0,2.0,5.0
12.0,Aarbid Bhattarai,248.0,2.0,20.0,5.0,27.0,8.0,4.0,13.0,15.0,6.0,9.0,25.0,16.0,70.0,21.0,2.0,5.0
13.0,Aayas Dhoj Joshi,253.0,27.0,19.0,21.0,27.0,8.0,4.0,13.0,3.0,10.0,9.0,25.0,48.0,15.0,17.0,2.0,5.0
14.0,Bimal Mahara,264.0,57.0,8.0,24.0,19.0,8.0,4.0,13.0,15.0,31.0,9.0,5.0,10.0,33.0,21.0,2.0,5.0
15.0,Manjil Karmacharya,267.0,17.0,24.0,13.0,7.0,4.0,4.0,13.0,14.0,35.0,9.0,18.0,11.0,70.0,21.0,2.0,5.0
16.0,Abhash Rajbhandari,269.0,21.0,34.0,19.0,27.0,8.0,4.0,6.0,15.0,25.0,9.0,25.0,44.0,4.0,21.0,2.0,5.0
17.0,Sakar Gurubacharya,270.0,23.0,22.0,22.0,27.0,8.0,4.0,13.0,15.0,36.0,9.0,12.0,37.0,14.0,21.0,2.0,5.0
18.0,Bihan Thapa Magar,273.0,44.0,28.0,30.0,20.0,8.0,4.0,13.0,15.0,56.0,9.0,3.0,8.0,12.0,16.0,2.0,5.0
19.0,Serene Aryal,290.0,10.0,4.0,6.0,27.0,8.0,4.0,13.0,15.0,17.0,9.0,25.0,54.0,70.0,21.0,2.0,5.0
20.0,Krischal Dhungel,292.0,8.0,29.0,10.0,8.0,8.0,4.0,1.0,15.0,3.0,9.0,25.0,136.0,8.0,21.0,2.0,5.0
21.0,Aabhushan Khanal,311.0,4.0,26.0,68.0,27.0,8.0,4.0,13.0,15.0,9.0,9.0,25.0,5.0,70.0,21.0,2.0,5.0
22.0,Pratyush Ale Magar,312.0,14.0,8.0,15.0,10.0,8.0,4.0,13.0,15.0,14.0,9.0,25.0,79.0,70.0,21.0,2.0,5.0
23.0,Avishek Prajapati,314.0,9.0,18.0,7.0,5.0,2.0,2.0,9.0,1.0,12.0,9.0,6.0,136.0,70.0,21.0,2.0,5.0
24.0,Rojan Raj Rajbhandari,318.0,20.0,22.0,68.0,27.0,8.0,4.0,13.0,15.0,18.0,9.0,25.0,24.0,37.0,21.0,2.0,5.0
25.0,Hardic Sharma,324.0,56.0,16.0,31.0,27.0,8.0,4.0,13.0,15.0,53.0,9.0,25.0,13.0,26.0,21.0,2.0,5.0
26.0,Aniket Kanth,328.0,50.0,24.0,28.0,27.0,8.0,4.0,8.0,11.0,40.0,9.0,25.0,43.0,42.0,2.0,2.0,5.0
27.0,Shreedhar Pandey,329.0,62.0,38.0,39.0,27.0,8.0,4.0,13.0,15.0,29.0,9.0,15.0,12.0,30.0,21.0,2.0,5.0
28.0,Suraj Pheudin,338.0,30.0,32.0,27.0,27.0,8.0,4.0,12.0,9.0,21.0,9.0,25.0,104.0,18.0,8.0,2.0,2.0
29.0,Ajar Shrestha,339.0,3.0,15.0,40.0,27.0,8.0,4.0,13.0,15.0,16.0,9.0,25.0,136.0,10.0,11.0,2.0,5.0
30.0,Bishal Shrestha,343.0,42.0,55.0,25.0,25.0,8.0,4.0,13.0,15.0,68.0,9.0,17.0,23.0,17.0,15.0,2.0,5.0
31.0,Anjal Timsina,358.0,24.0,12.0,11.0,12.0,8.0,4.0,13.0,4.0,19.0,9.0,8.0,136.0,70.0,21.0,2.0,5.0
32.0,Adrim Thapa Magar,362.0,47.0,53.0,68.0,27.0,8.0,4.0,13.0,13.0,45.0,9.0,25.0,17.0,5.0,21.0,2.0,5.0
33.0,Bibhushan Saakha,363.0,47.0,36.0,47.0,27.0,8.0,4.0,13.0,15.0,21.0,9.0,21.0,61.0,29.0,21.0,1.0,3.0
34.0,Abi Shrestha,372.0,25.0,54.0,35.0,27.0,8.0,4.0,13.0,15.0,20.0,9.0,25.0,39.0,70.0,21.0,2.0,5.0
35.0,Achyut Kayastha,381.0,64.0,45.0,12.0,16.0,8.0,4.0,2.0,15.0,67.0,9.0,25.0,46.0,44.0,21.0,2.0,1.0
36.0,Chitra Bahadur Thapa,385.0,88.0,42.0,29.0,23.0,8.0,4.0,7.0,15.0,61.0,9.0,25.0,7.0,39.0,21.0,2.0,5.0
37.0,Bishnu Aryal,387.0,34.0,74.0,26.0,27.0,8.0,4.0,13.0,15.0,47.0,9.0,25.0,26.0,51.0,21.0,2.0,5.0
38.0,Sagar Kafle,405.0,88.0,33.0,36.0,27.0,8.0,4.0,13.0,15.0,33.0,9.0,25.0,36.0,50.0,21.0,2.0,5.0
39.0,Sujal Acharya,416.0,78.0,13.0,49.0,27.0,8.0,4.0,13.0,15.0,63.0,9.0,25.0,15.0,69.0,21.0,2.0,5.0
40.0,Sujal Khadka,417.0,29.0,44.0,68.0,27.0,8.0,4.0,13.0,15.0,48.0,9.0,25.0,29.0,70.0,21.0,2.0,5.0
41.0,Arnav Subedi,419.0,59.0,21.0,68.0,15.0,8.0,4.0,13.0,15.0,51.0,9.0,25.0,60.0,43.0,21.0,2.0,5.0
42.0,Saugat Bhattarai,442.0,61.0,41.0,43.0,27.0,8.0,4.0,13.0,15.0,39.0,9.0,25.0,91.0,38.0,21.0,2.0,5.0
43.0,Sahil Shrestha,468.0,25.0,87.0,68.0,27.0,8.0,4.0,13.0,15.0,60.0,9.0,13.0,41.0,70.0,21.0,2.0,5.0
44.0,Vansh Thaman,482.0,74.0,66.0,68.0,27.0,8.0,4.0,13.0,15.0,24.0,9.0,25.0,51.0,70.0,21.0,2.0,5.0
45.0,Anish Bishwokarma,488.0,44.0,1.0,68.0,27.0,8.0,4.0,4.0,15.0,49.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
46.0,Anis Bhujel,490.0,35.0,40.0,68.0,27.0,8.0,4.0,13.0,15.0,54.0,9.0,25.0,136.0,28.0,21.0,2.0,5.0
47.0,Ayush Guragai,496.0,106.0,37.0,68.0,27.0,8.0,4.0,13.0,15.0,76.0,9.0,25.0,57.0,23.0,21.0,2.0,5.0
47.0,Pratik Dhakal,496.0,69.0,48.0,45.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,87.0,32.0,12.0,2.0,5.0
49.0,Pranit Thapa,505.0,41.0,73.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,35.0,64.0,21.0,2.0,5.0
50.0,Shahil Rai,506.0,58.0,43.0,68.0,27.0,8.0,4.0,3.0,15.0,30.0,6.0,25.0,136.0,70.0,6.0,2.0,5.0
51.0,Sanjeev Das,516.0,67.0,39.0,68.0,27.0,8.0,4.0,13.0,15.0,37.0,9.0,25.0,106.0,70.0,21.0,2.0,5.0
51.0,Sarvagya Niraula,516.0,68.0,57.0,68.0,27.0,8.0,4.0,13.0,15.0,44.0,9.0,25.0,136.0,16.0,19.0,2.0,5.0
53.0,Kastab Raj Bharati,517.0,44.0,47.0,68.0,27.0,8.0,4.0,13.0,15.0,23.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
54.0,Ritesh Gautam,519.0,33.0,68.0,68.0,27.0,8.0,4.0,13.0,15.0,15.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
55.0,Aayush Gajurel,524.0,51.0,59.0,33.0,27.0,8.0,4.0,13.0,15.0,46.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
55.0,Kenish Shrestha,524.0,66.0,49.0,44.0,27.0,8.0,4.0,13.0,15.0,73.0,9.0,25.0,136.0,27.0,21.0,2.0,5.0
57.0,Simon Malla,525.0,99.0,89.0,51.0,27.0,8.0,4.0,13.0,15.0,65.0,9.0,25.0,52.0,40.0,21.0,2.0,5.0
58.0,Krishal KC,526.0,92.0,65.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,7.0,25.0,55.0,24.0,21.0,2.0,5.0
59.0,Arya Jyoti Bajracharya,533.0,110.0,83.0,41.0,27.0,8.0,4.0,13.0,15.0,70.0,9.0,25.0,47.0,70.0,4.0,2.0,5.0
60.0,Hari Kumar Dangol,536.0,59.0,114.0,38.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,16.0,50.0,60.0,21.0,2.0,5.0
61.0,Krishna Raj Upreti,541.0,112.0,46.0,68.0,27.0,8.0,4.0,13.0,15.0,83.0,8.0,25.0,71.0,34.0,20.0,2.0,5.0
62.0,Roshan Wagle,551.0,109.0,80.0,58.0,27.0,8.0,4.0,13.0,15.0,72.0,9.0,25.0,33.0,70.0,21.0,2.0,5.0
62.0,Sabin Subedi,551.0,76.0,69.0,37.0,21.0,8.0,4.0,13.0,15.0,57.0,9.0,25.0,136.0,53.0,21.0,2.0,5.0
64.0,Sugam Baidya,556.0,94.0,27.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,7.0,21.0,2.0,5.0
65.0,Samarth Kunwar,564.0,55.0,56.0,23.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
66.0,Bishesh Bajracharya,567.0,83.0,91.0,68.0,27.0,8.0,4.0,13.0,15.0,50.0,9.0,25.0,76.0,70.0,21.0,2.0,5.0
67.0,Bipul Mahat,571.0,16.0,185.0,68.0,27.0,8.0,4.0,13.0,15.0,2.0,9.0,25.0,136.0,35.0,21.0,2.0,5.0
68.0,Pradip Manandhar,575.0,131.0,71.0,68.0,27.0,8.0,4.0,13.0,11.0,90.0,9.0,25.0,20.0,70.0,21.0,2.0,5.0
69.0,Sanket Lamsal,579.0,87.0,77.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,53.0,70.0,21.0,2.0,5.0
70.0,Suprav Akuliya,586.0,53.0,185.0,32.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,22.0,70.0,21.0,2.0,5.0
71.0,Hirdaya Gurung,594.0,81.0,78.0,48.0,27.0,8.0,4.0,13.0,15.0,52.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
72.0,Saugat Dhakal,599.0,54.0,52.0,68.0,22.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
73.0,Shree Krishna Shrestha,619.0,90.0,121.0,52.0,24.0,8.0,4.0,13.0,15.0,58.0,9.0,24.0,105.0,68.0,21.0,2.0,5.0
74.0,Bimal Thapa,621.0,65.0,58.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
75.0,Aarambha Adhikari,625.0,43.0,111.0,68.0,26.0,8.0,4.0,13.0,15.0,69.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
75.0,Saroj Neupane,625.0,32.0,122.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,109.0,70.0,21.0,2.0,5.0
77.0,Rojan Shrestha,627.0,39.0,185.0,42.0,27.0,8.0,4.0,13.0,15.0,26.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
78.0,Roshan Sahani,630.0,71.0,61.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
79.0,Prashiddha Thapa,638.0,147.0,76.0,64.0,27.0,8.0,4.0,13.0,15.0,81.0,9.0,25.0,71.0,70.0,21.0,2.0,5.0
80.0,Sakshyam Sigdel,640.0,80.0,62.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
81.0,Susan Subedi,642.0,82.0,104.0,59.0,27.0,8.0,4.0,13.0,15.0,77.0,9.0,25.0,121.0,70.0,21.0,2.0,5.0
82.0,Prasanna Rajbhandary,646.0,47.0,185.0,68.0,27.0,8.0,4.0,13.0,15.0,27.0,9.0,25.0,136.0,70.0,5.0,2.0,5.0
83.0,Aayush Ranjit,650.0,167.0,136.0,68.0,27.0,8.0,4.0,13.0,15.0,91.0,9.0,23.0,59.0,2.0,21.0,2.0,5.0
84.0,Adarsh Lalchan,652.0,31.0,123.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
84.0,Dipak Nepal,652.0,103.0,90.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,118.0,49.0,21.0,2.0,5.0
86.0,Piyush Lakhe,654.0,139.0,185.0,68.0,27.0,8.0,4.0,13.0,15.0,42.0,9.0,25.0,21.0,70.0,21.0,2.0,5.0
87.0,Sushovan Shakya,656.0,125.0,87.0,68.0,27.0,8.0,4.0,13.0,15.0,41.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
88.0,Bikram Kumar Baishya,659.0,28.0,185.0,68.0,27.0,8.0,4.0,13.0,15.0,43.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
88.0,Jayson Shrestha,659.0,97.0,64.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
90.0,Kshitiz Jha,664.0,144.0,113.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,69.0,46.0,21.0,2.0,5.0
91.0,Pratyush Karki,666.0,96.0,72.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
92.0,Srijan Adhikari,668.0,93.0,99.0,68.0,27.0,8.0,4.0,13.0,15.0,79.0,3.0,25.0,136.0,70.0,21.0,2.0,5.0
92.0,Navneet Singh,668.0,209.0,35.0,68.0,27.0,8.0,4.0,13.0,15.0,89.0,9.0,25.0,68.0,70.0,21.0,2.0,5.0
92.0,Alin Shrestha,668.0,116.0,69.0,53.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
95.0,Sayam Maharjan,670.0,118.0,82.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,108.0,70.0,21.0,2.0,5.0
96.0,Ashish Dhungana,672.0,164.0,62.0,56.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,114.0,52.0,21.0,2.0,5.0
96.0,Samip Bhattarai,672.0,98.0,84.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,1.0,25.0,136.0,70.0,21.0,2.0,5.0
98.0,Biraj Sapkota,674.0,149.0,131.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,32.0,70.0,21.0,2.0,5.0
99.0,Ishreya Manandhar,677.0,85.0,185.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,45.0,70.0,21.0,2.0,5.0
99.0,Rajiv Gurung,677.0,128.0,51.0,68.0,27.0,8.0,4.0,13.0,15.0,95.0,9.0,25.0,136.0,70.0,21.0,2.0,5.0
