Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Dwyane Ramos,99.0,3.0,18.0,3.0,3.0,1.0,1.0,8.0,9.0,1.0,7.0,7.0,3.0,1.0,5.0,15.0,6.0,8.0
2.0,Richard Yiheng Tao,172.0,6.0,7.0,8.0,6.0,10.0,10.0,12.0,24.0,7.0,1.0,8.0,1.0,18.0,10.0,15.0,6.0,23.0
3.0,Adrien Auvray Matyn,181.0,2.0,13.0,7.0,8.0,13.0,17.0,16.0,31.0,3.0,6.0,6.0,6.0,4.0,1.0,15.0,6.0,27.0
4.0,Jasper Murray,199.0,5.0,12.0,4.0,1.0,6.0,5.0,54.0,16.0,2.0,9.0,4.0,1.0,5.0,19.0,15.0,6.0,35.0
5.0,Lucas O'Connell,205.0,10.0,2.0,14.0,17.0,21.0,20.0,2.0,4.0,16.0,41.0,15.0,22.0,2.0,6.0,4.0,3.0,6.0
6.0,Tom Stanton-Barnett,285.0,40.0,31.0,10.0,13.0,8.0,7.0,14.0,12.0,20.0,22.0,23.0,27.0,3.0,26.0,14.0,6.0,9.0
7.0,Elyas Eyou,292.0,8.0,9.0,13.0,15.0,16.0,21.0,64.0,27.0,30.0,4.0,14.0,4.0,7.0,4.0,15.0,6.0,35.0
8.0,Henry Eyles,348.0,35.0,24.0,30.0,14.0,5.0,6.0,56.0,37.0,22.0,12.0,9.0,12.0,15.0,15.0,15.0,6.0,35.0
9.0,Camerone Chin,356.0,42.0,20.0,9.0,9.0,15.0,70.0,24.0,12.0,4.0,13.0,11.0,13.0,55.0,3.0,15.0,6.0,35.0
10.0,Carol Chai,373.0,24.0,17.0,22.0,26.0,33.0,29.0,27.0,21.0,33.0,17.0,5.0,23.0,21.0,23.0,15.0,6.0,31.0
11.0,Jack McDougall,374.0,20.0,23.0,28.0,25.0,22.0,12.0,17.0,12.0,52.0,20.0,44.0,30.0,22.0,16.0,11.0,6.0,14.0
12.0,Ben Kirby,386.0,4.0,28.0,1.0,2.0,3.0,3.0,45.0,5.0,5.0,146.0,18.0,19.0,24.0,27.0,15.0,6.0,35.0
13.0,James Macdiarmid,399.0,18.0,8.0,14.0,11.0,18.0,36.0,1.0,1.0,38.0,68.0,3.0,88.0,47.0,32.0,9.0,6.0,1.0
14.0,Liam Wadek,436.0,33.0,34.0,26.0,19.0,9.0,8.0,37.0,56.0,50.0,3.0,29.0,16.0,23.0,37.0,15.0,6.0,35.0
15.0,Gen Kimura,461.0,47.0,11.0,36.0,24.0,34.0,32.0,64.0,79.0,13.0,14.0,17.0,10.0,12.0,12.0,15.0,6.0,35.0
16.0,Alexander Vujcich,475.0,7.0,6.0,5.0,5.0,32.0,70.0,64.0,79.0,29.0,93.0,1.0,9.0,10.0,9.0,15.0,6.0,35.0
17.0,Lee Stanton-Barnett,494.0,46.0,45.0,47.0,43.0,30.0,38.0,23.0,7.0,43.0,33.0,49.0,31.0,15.0,14.0,13.0,6.0,11.0
18.0,Caleb Hall,509.0,14.0,61.0,40.0,46.0,46.0,23.0,11.0,21.0,10.0,38.0,12.0,64.0,14.0,84.0,15.0,6.0,4.0
19.0,Daniel Fraser,513.0,73.0,49.0,33.0,29.0,27.0,22.0,33.0,45.0,21.0,15.0,34.0,38.0,20.0,18.0,15.0,6.0,35.0
20.0,Cheng-Ru Yang,526.0,21.0,54.0,16.0,10.0,11.0,31.0,38.0,5.0,19.0,90.0,24.0,20.0,41.0,95.0,15.0,6.0,30.0
21.0,Aneurin Hunt,545.0,87.0,28.0,63.0,55.0,39.0,27.0,18.0,1.0,65.0,21.0,38.0,34.0,13.0,17.0,8.0,6.0,25.0
22.0,Brandon Harris,554.0,52.0,68.0,29.0,21.0,37.0,18.0,64.0,79.0,53.0,8.0,2.0,37.0,19.0,11.0,15.0,6.0,35.0
23.0,Jack Maddigan,569.0,11.0,25.0,38.0,41.0,44.0,41.0,10.0,16.0,91.0,31.0,47.0,36.0,54.0,66.0,7.0,4.0,7.0
24.0,Ashley Foster,573.0,59.0,1.0,44.0,60.0,58.0,70.0,64.0,33.0,46.0,32.0,31.0,11.0,9.0,8.0,15.0,6.0,26.0
25.0,Sarina Wang,628.0,19.0,54.0,20.0,33.0,97.0,70.0,64.0,79.0,18.0,23.0,33.0,26.0,11.0,25.0,15.0,6.0,35.0
26.0,Ethan Pan,646.0,37.0,38.0,39.0,56.0,25.0,34.0,3.0,16.0,25.0,60.0,22.0,143.0,59.0,77.0,3.0,6.0,3.0
27.0,Kalvin Lum,678.0,71.0,77.0,51.0,22.0,14.0,15.0,21.0,64.0,48.0,39.0,32.0,96.0,89.0,6.0,15.0,6.0,12.0
28.0,Jules Graham,691.0,62.0,113.0,60.0,66.0,47.0,59.0,43.0,39.0,68.0,5.0,28.0,7.0,28.0,30.0,15.0,6.0,15.0
29.0,Edwin Shen,700.0,54.0,32.0,42.0,54.0,52.0,70.0,64.0,79.0,61.0,2.0,75.0,18.0,17.0,24.0,15.0,6.0,35.0
30.0,Luke Heath-Edwards,724.0,112.0,74.0,37.0,52.0,23.0,25.0,22.0,33.0,62.0,23.0,59.0,70.0,37.0,67.0,12.0,6.0,10.0
31.0,Cole Campbell,732.0,102.0,34.0,32.0,36.0,26.0,44.0,5.0,9.0,41.0,62.0,46.0,75.0,96.0,107.0,6.0,6.0,5.0
32.0,Finn Trass,760.0,13.0,101.0,6.0,7.0,4.0,4.0,51.0,21.0,28.0,120.0,10.0,122.0,179.0,49.0,15.0,6.0,24.0
33.0,Connor Johnson,765.0,56.0,4.0,76.0,59.0,61.0,70.0,64.0,79.0,89.0,10.0,53.0,5.0,45.0,38.0,15.0,6.0,35.0
34.0,Benjamin Agnew,771.0,42.0,61.0,57.0,45.0,97.0,19.0,64.0,11.0,67.0,146.0,27.0,24.0,27.0,28.0,15.0,6.0,35.0
35.0,Oscar Hansen,794.0,24.0,84.0,23.0,44.0,64.0,56.0,64.0,79.0,99.0,25.0,43.0,15.0,58.0,60.0,15.0,6.0,35.0
36.0,Tom Nelson,797.0,103.0,15.0,58.0,48.0,31.0,28.0,4.0,1.0,153.0,47.0,62.0,68.0,139.0,36.0,1.0,1.0,2.0
37.0,Xavier Courteau-Laing,801.0,32.0,14.0,25.0,38.0,49.0,47.0,64.0,39.0,31.0,146.0,61.0,59.0,99.0,41.0,15.0,6.0,35.0
38.0,Nathan Chong,815.0,28.0,117.0,27.0,31.0,42.0,70.0,64.0,79.0,9.0,100.0,39.0,39.0,70.0,44.0,15.0,6.0,35.0
39.0,Mukund Karthik,830.0,45.0,58.0,19.0,18.0,24.0,40.0,64.0,16.0,11.0,142.0,94.0,101.0,97.0,45.0,15.0,6.0,35.0
40.0,Isaac Latta,878.0,41.0,80.0,55.0,53.0,59.0,49.0,64.0,79.0,43.0,51.0,92.0,44.0,6.0,106.0,15.0,6.0,35.0
41.0,David Lim,905.0,107.0,246.0,41.0,39.0,19.0,9.0,64.0,39.0,36.0,29.0,40.0,55.0,83.0,42.0,15.0,6.0,35.0
42.0,Numair Malik,925.0,127.0,54.0,78.0,86.0,71.0,58.0,44.0,27.0,76.0,11.0,73.0,62.0,62.0,40.0,15.0,6.0,35.0
43.0,Mantra Shukla,931.0,53.0,16.0,59.0,70.0,97.0,70.0,64.0,62.0,63.0,125.0,56.0,17.0,26.0,97.0,15.0,6.0,35.0
44.0,Noel Kim,965.0,61.0,44.0,24.0,27.0,93.0,70.0,9.0,79.0,70.0,146.0,144.0,97.0,60.0,13.0,10.0,5.0,13.0
45.0,Ethan Palendeng,971.0,110.0,41.0,73.0,62.0,55.0,42.0,64.0,79.0,54.0,81.0,41.0,103.0,56.0,54.0,15.0,6.0,35.0
46.0,James Dyer,992.0,27.0,181.0,34.0,16.0,7.0,13.0,64.0,79.0,105.0,146.0,60.0,33.0,101.0,70.0,15.0,6.0,35.0
47.0,Moses Limmer,994.0,105.0,30.0,79.0,83.0,69.0,62.0,55.0,39.0,85.0,59.0,90.0,24.0,79.0,86.0,15.0,6.0,28.0
48.0,Levi Eyou,1011.0,28.0,47.0,87.0,133.0,97.0,70.0,64.0,79.0,159.0,18.0,42.0,13.0,65.0,53.0,15.0,6.0,35.0
49.0,Markus Salvador,1037.0,58.0,116.0,65.0,75.0,66.0,70.0,64.0,79.0,64.0,54.0,52.0,87.0,72.0,59.0,15.0,6.0,35.0
50.0,Franklin Yuan,1081.0,90.0,90.0,71.0,67.0,43.0,46.0,40.0,79.0,15.0,30.0,84.0,139.0,140.0,91.0,15.0,6.0,35.0
51.0,Benjamin Blaikie,1084.0,133.0,72.0,85.0,134.0,97.0,70.0,64.0,79.0,97.0,16.0,66.0,42.0,42.0,31.0,15.0,6.0,35.0
52.0,Raphael Lee,1105.0,36.0,76.0,43.0,40.0,97.0,52.0,64.0,79.0,49.0,146.0,203.0,27.0,76.0,61.0,15.0,6.0,35.0
53.0,Elisha Webster,1112.0,67.0,98.0,81.0,68.0,72.0,70.0,64.0,79.0,34.0,73.0,36.0,108.0,95.0,111.0,15.0,6.0,35.0
54.0,Angela Braganza,1119.0,26.0,10.0,2.0,4.0,2.0,2.0,64.0,79.0,158.0,146.0,203.0,35.0,137.0,195.0,15.0,6.0,35.0
55.0,Oliver Gracewood,1158.0,75.0,151.0,56.0,63.0,50.0,70.0,64.0,79.0,72.0,146.0,95.0,49.0,99.0,33.0,15.0,6.0,35.0
56.0,Christian Manuel de Lange,1172.0,151.0,130.0,107.0,58.0,40.0,30.0,64.0,45.0,237.0,43.0,50.0,54.0,36.0,71.0,15.0,6.0,35.0
57.0,Kun Er Zhang,1187.0,51.0,121.0,21.0,32.0,35.0,53.0,53.0,51.0,27.0,129.0,88.0,205.0,177.0,88.0,15.0,6.0,35.0
58.0,Dennis Hu,1206.0,74.0,163.0,97.0,64.0,97.0,70.0,64.0,79.0,22.0,139.0,37.0,100.0,94.0,50.0,15.0,6.0,35.0
59.0,Callum Prowse,1210.0,55.0,21.0,118.0,130.0,97.0,70.0,42.0,79.0,107.0,75.0,64.0,72.0,29.0,195.0,15.0,6.0,35.0
60.0,Alex Asbery,1252.0,23.0,46.0,18.0,12.0,12.0,16.0,64.0,37.0,39.0,146.0,45.0,450.0,165.0,123.0,15.0,6.0,35.0
61.0,Jackson Moorhead,1276.0,122.0,108.0,84.0,90.0,97.0,70.0,64.0,79.0,186.0,78.0,16.0,70.0,75.0,81.0,15.0,6.0,35.0
62.0,Otto Morrison,1305.0,150.0,49.0,139.0,138.0,97.0,70.0,64.0,79.0,123.0,56.0,80.0,72.0,68.0,64.0,15.0,6.0,35.0
63.0,Julian Sico,1309.0,96.0,65.0,77.0,93.0,81.0,63.0,64.0,57.0,56.0,72.0,25.0,240.0,69.0,195.0,15.0,6.0,35.0
64.0,Levente Swanepoel,1342.0,159.0,130.0,155.0,101.0,79.0,54.0,31.0,12.0,195.0,46.0,74.0,82.0,85.0,83.0,15.0,6.0,35.0
65.0,Jerry Jiang,1349.0,44.0,5.0,62.0,71.0,67.0,67.0,19.0,33.0,24.0,146.0,203.0,92.0,270.0,191.0,15.0,6.0,34.0
66.0,Nate Mochrie,1355.0,30.0,25.0,35.0,28.0,48.0,37.0,64.0,79.0,83.0,146.0,30.0,21.0,478.0,195.0,15.0,6.0,35.0
67.0,Caleb Sullivan,1363.0,124.0,171.0,105.0,80.0,97.0,70.0,64.0,79.0,81.0,146.0,77.0,51.0,57.0,105.0,15.0,6.0,35.0
68.0,Tim Xie,1366.0,60.0,3.0,124.0,247.0,97.0,70.0,64.0,51.0,84.0,146.0,154.0,129.0,79.0,2.0,15.0,6.0,35.0
69.0,Jack Zhang,1371.0,77.0,37.0,133.0,144.0,97.0,70.0,64.0,79.0,433.0,26.0,35.0,60.0,40.0,20.0,15.0,6.0,35.0
70.0,Will Fairfax,1379.0,70.0,143.0,69.0,51.0,41.0,35.0,64.0,79.0,104.0,99.0,54.0,198.0,243.0,73.0,15.0,6.0,35.0
71.0,Luke Hibbert,1392.0,15.0,102.0,67.0,42.0,97.0,70.0,64.0,79.0,194.0,146.0,51.0,67.0,266.0,76.0,15.0,6.0,35.0
72.0,Caylum Hudson,1397.0,69.0,274.0,85.0,61.0,53.0,43.0,64.0,79.0,32.0,82.0,57.0,89.0,177.0,176.0,15.0,6.0,35.0
73.0,Thomas Kilbey,1406.0,185.0,137.0,101.0,107.0,97.0,70.0,64.0,79.0,94.0,146.0,65.0,83.0,71.0,51.0,15.0,6.0,35.0
74.0,Luke Deane-Freeman,1408.0,90.0,102.0,72.0,94.0,97.0,70.0,64.0,79.0,102.0,27.0,203.0,48.0,187.0,117.0,15.0,6.0,35.0
75.0,James Moore,1412.0,169.0,130.0,115.0,79.0,68.0,70.0,28.0,79.0,196.0,51.0,86.0,102.0,171.0,29.0,15.0,6.0,18.0
76.0,Ben Uren,1448.0,237.0,64.0,168.0,81.0,70.0,55.0,64.0,70.0,79.0,108.0,110.0,52.0,91.0,143.0,15.0,6.0,35.0
77.0,Simon Geertsema,1456.0,9.0,33.0,11.0,23.0,45.0,50.0,64.0,33.0,14.0,146.0,203.0,272.0,302.0,195.0,15.0,6.0,35.0
78.0,Thomas Swarbrick,1457.0,315.0,90.0,127.0,108.0,85.0,70.0,63.0,27.0,182.0,34.0,91.0,43.0,109.0,57.0,15.0,6.0,35.0
79.0,Rory Bailey,1460.0,130.0,159.0,102.0,78.0,97.0,70.0,64.0,79.0,138.0,146.0,71.0,133.0,44.0,93.0,15.0,6.0,35.0
80.0,Cooper Jones,1468.0,206.0,19.0,259.0,218.0,97.0,70.0,64.0,79.0,118.0,40.0,98.0,29.0,30.0,85.0,15.0,6.0,35.0
81.0,Christian Houghton,1490.0,50.0,151.0,94.0,87.0,78.0,70.0,64.0,39.0,60.0,118.0,20.0,197.0,238.0,168.0,15.0,6.0,35.0
82.0,Jim Zhu,1495.0,113.0,354.0,17.0,20.0,36.0,70.0,6.0,7.0,8.0,45.0,48.0,223.0,478.0,46.0,2.0,6.0,16.0
