Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Ayooluwa Samuel Dada,21.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
2.0,Sadiq Ahmed,65.0,3.0,5.0,6.0,5.0,2.0,2.0,6.0,1.0,2.0,10.0,10.0,9.0,2.0,2.0
3.0,Ehikhuemen Paul,68.0,7.0,14.0,2.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0,8.0,13.0,4.0,1.0
4.0,Kamaru-Deen Lawal,73.0,6.0,1.0,3.0,8.0,4.0,3.0,7.0,5.0,2.0,11.0,4.0,13.0,4.0,2.0
5.0,Arinze Owoh,74.0,11.0,2.0,7.0,9.0,4.0,3.0,3.0,12.0,2.0,5.0,7.0,3.0,4.0,2.0
6.0,Adejuwon Adebusuyi Oluwemimo,78.0,8.0,11.0,8.0,4.0,3.0,3.0,4.0,22.0,2.0,2.0,5.0,1.0,3.0,2.0
7.0,Emmanuel Hawkins,81.0,5.0,7.0,4.0,17.0,4.0,3.0,7.0,7.0,2.0,11.0,3.0,5.0,4.0,2.0
8.0,David Okoro-Sokoh,85.0,4.0,10.0,5.0,6.0,4.0,3.0,7.0,11.0,2.0,8.0,6.0,13.0,4.0,2.0
9.0,Victor Ebubechukwu Tobechukwu Asiwe,96.0,13.0,3.0,9.0,10.0,4.0,3.0,7.0,6.0,2.0,11.0,9.0,13.0,4.0,2.0
10.0,Akin Falase,113.0,16.0,9.0,11.0,17.0,4.0,3.0,7.0,14.0,2.0,6.0,12.0,6.0,4.0,2.0
11.0,Atobatele Oreoluwapo David,118.0,9.0,12.0,13.0,7.0,4.0,3.0,7.0,13.0,2.0,4.0,25.0,13.0,4.0,2.0
12.0,Oghenerukevwe Esemitodje,130.0,17.0,15.0,14.0,11.0,4.0,3.0,5.0,16.0,2.0,11.0,13.0,13.0,4.0,2.0
13.0,Oluleke-Oke John,131.0,12.0,8.0,12.0,17.0,4.0,3.0,7.0,9.0,2.0,7.0,31.0,13.0,4.0,2.0
14.0,David Oluwateniayomi Koleola,151.0,30.0,6.0,30.0,17.0,4.0,3.0,7.0,29.0,2.0,11.0,2.0,4.0,4.0,2.0
15.0,Lawrence Obioma,155.0,14.0,25.0,15.0,17.0,4.0,3.0,7.0,7.0,2.0,11.0,31.0,13.0,4.0,2.0
16.0,Ethan Ugwuegbu,164.0,22.0,13.0,16.0,17.0,4.0,3.0,7.0,19.0,2.0,11.0,31.0,13.0,4.0,2.0
17.0,Madubuko Felix,170.0,10.0,26.0,30.0,17.0,4.0,3.0,7.0,10.0,2.0,11.0,31.0,13.0,4.0,2.0
18.0,David Ikekhuah,173.0,2.0,44.0,30.0,17.0,4.0,3.0,7.0,3.0,2.0,11.0,31.0,13.0,4.0,2.0
18.0,Awo Joseph,173.0,18.0,18.0,30.0,17.0,4.0,3.0,7.0,17.0,2.0,11.0,27.0,13.0,4.0,2.0
20.0,Anthony Orji,174.0,20.0,31.0,10.0,3.0,4.0,3.0,7.0,40.0,2.0,11.0,24.0,13.0,4.0,2.0
21.0,Temiloluwa Ishola,185.0,42.0,28.0,23.0,17.0,4.0,3.0,7.0,21.0,2.0,9.0,16.0,7.0,4.0,2.0
22.0,Oluwatobiloba Benjamin Ajayi,195.0,27.0,20.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,15.0,13.0,4.0,2.0
23.0,Obasoyo D. Osamede,198.0,24.0,44.0,17.0,17.0,4.0,3.0,7.0,20.0,2.0,11.0,30.0,13.0,4.0,2.0
24.0,Ositade Iremide,202.0,19.0,44.0,30.0,17.0,4.0,3.0,7.0,15.0,2.0,11.0,31.0,13.0,4.0,2.0
25.0,Olutayo Ibukun,208.0,21.0,44.0,27.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,13.0,13.0,4.0,2.0
26.0,Osose Jude-Isibor,212.0,45.0,17.0,30.0,13.0,4.0,3.0,7.0,40.0,2.0,11.0,21.0,13.0,4.0,2.0
27.0,Mbonu Abraham,213.0,46.0,30.0,18.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,19.0,10.0,4.0,2.0
28.0,Azike Emmanuel,214.0,31.0,33.0,30.0,17.0,4.0,3.0,7.0,26.0,2.0,11.0,31.0,13.0,4.0,2.0
29.0,Ridhwan Busari,218.0,29.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,17.0,8.0,4.0,2.0
29.0,Emankhu Peter,218.0,52.0,44.0,30.0,17.0,4.0,3.0,7.0,18.0,2.0,11.0,11.0,13.0,4.0,2.0
31.0,Onyema Chibuikem Chinemerem,223.0,15.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
32.0,Faniran Oluwasemilore David,227.0,40.0,35.0,30.0,17.0,4.0,3.0,7.0,28.0,2.0,11.0,31.0,13.0,4.0,2.0
33.0,Adai Prince Attah,231.0,23.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
33.0,Ajibade Ibrahim,231.0,60.0,21.0,22.0,17.0,4.0,3.0,7.0,34.0,2.0,11.0,31.0,13.0,4.0,2.0
33.0,Chionye Okpochini,231.0,58.0,27.0,28.0,17.0,4.0,3.0,7.0,24.0,2.0,11.0,31.0,13.0,4.0,2.0
36.0,Olawale Isaac Modadeoluwa,232.0,35.0,44.0,19.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
37.0,Olu-James Mobolaji,233.0,65.0,16.0,24.0,16.0,4.0,3.0,7.0,40.0,2.0,11.0,26.0,13.0,4.0,2.0
37.0,Mgbemena Chinedu Victor,233.0,44.0,44.0,30.0,17.0,4.0,3.0,7.0,32.0,2.0,11.0,20.0,13.0,4.0,2.0
37.0,Okorigba Dean,233.0,25.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
40.0,Segun-Shelleh Omodebodun,234.0,41.0,42.0,30.0,17.0,4.0,3.0,7.0,27.0,2.0,11.0,31.0,13.0,4.0,2.0
40.0,Uzuegbu Chukwudiebube Victor,234.0,26.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
40.0,Seyi Omobomi,234.0,43.0,44.0,30.0,17.0,4.0,3.0,7.0,23.0,2.0,11.0,31.0,13.0,4.0,2.0
43.0,Chimaobi Amadi,236.0,28.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
43.0,Fiyin Oyeleye,236.0,37.0,44.0,21.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
