Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Gjorgji Cheshmedjievski,30.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0
2.0,Aleksandar Dukleski,38.0,1.0,3.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,4.0,1.0,3.0,2.0,10.0
3.0,Mateo Minoski,76.0,13.0,8.0,7.0,7.0,8.0,7.0,6.0,2.0,3.0,4.0,4.0,2.0,4.0,1.0
4.0,Darijan Saravinov,78.0,6.0,7.0,3.0,4.0,8.0,7.0,5.0,2.0,2.0,4.0,7.0,9.0,11.0,3.0
5.0,Borjan Baboski,82.0,9.0,5.0,9.0,6.0,4.0,5.0,6.0,2.0,9.0,2.0,6.0,4.0,5.0,10.0
6.0,Nikola Nichovski,93.0,7.0,6.0,12.0,19.0,8.0,7.0,6.0,2.0,4.0,4.0,3.0,5.0,3.0,7.0
7.0,Nikola Dimitrovski,129.0,4.0,12.0,4.0,5.0,6.0,6.0,6.0,2.0,7.0,4.0,8.0,21.0,40.0,4.0
8.0,Boris Gjorgjievski,143.0,21.0,2.0,13.0,12.0,7.0,7.0,6.0,2.0,17.0,4.0,14.0,16.0,16.0,6.0
9.0,Nikola Pulkovski,146.0,26.0,15.0,6.0,3.0,3.0,3.0,6.0,2.0,12.0,4.0,5.0,46.0,10.0,5.0
10.0,Jovan Dimitrovski,154.0,11.0,4.0,11.0,9.0,8.0,7.0,6.0,2.0,11.0,4.0,18.0,13.0,40.0,10.0
11.0,Matej Ilijevski,159.0,5.0,9.0,10.0,19.0,8.0,7.0,6.0,2.0,6.0,4.0,18.0,15.0,40.0,10.0
12.0,Aleksandar Arsovski,173.0,8.0,30.0,5.0,8.0,5.0,4.0,1.0,1.0,14.0,3.0,18.0,26.0,40.0,10.0
13.0,Diana Kostadinova,176.0,19.0,22.0,16.0,11.0,8.0,7.0,2.0,2.0,10.0,4.0,18.0,7.0,40.0,10.0
14.0,Andrej Solev,188.0,24.0,13.0,18.0,19.0,8.0,7.0,6.0,2.0,13.0,4.0,9.0,43.0,12.0,10.0
15.0,Bruno Ivanovski,199.0,28.0,26.0,22.0,19.0,8.0,7.0,6.0,2.0,19.0,4.0,18.0,22.0,8.0,10.0
16.0,Doni Petlickovski,209.0,20.0,28.0,28.0,19.0,8.0,7.0,6.0,2.0,21.0,4.0,18.0,30.0,9.0,9.0
17.0,David Arnaudov,220.0,14.0,24.0,14.0,19.0,8.0,7.0,6.0,2.0,31.0,4.0,18.0,23.0,40.0,10.0
18.0,Nikola Petrov,222.0,51.0,18.0,23.0,18.0,8.0,7.0,6.0,2.0,23.0,4.0,18.0,8.0,26.0,10.0
19.0,Naum Stojoski,226.0,16.0,11.0,39.0,14.0,8.0,7.0,6.0,2.0,31.0,4.0,18.0,41.0,19.0,10.0
20.0,Stefan Cvetanovski,227.0,10.0,21.0,46.0,19.0,8.0,7.0,6.0,2.0,25.0,4.0,18.0,11.0,40.0,10.0
