Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Knut Skaug Haraldsen,96.0,5.0,6.0,6.0,4.0,3.0,7.0,6.0,3.0,1.0,11.0,7.0,13.0,1.0,14.0,3.0,2.0,4.0
2.0,Niklas Aasen Eliasson,140.0,15.0,6.0,10.0,11.0,11.0,9.0,4.0,13.0,16.0,1.0,12.0,4.0,8.0,4.0,4.0,6.0,6.0
3.0,Kim Roger Haraldsen,154.0,1.0,1.0,1.0,2.0,2.0,2.0,59.0,7.0,2.0,10.0,3.0,3.0,4.0,3.0,13.0,8.0,33.0
4.0,Andreas Jensen Forsgren,194.0,14.0,3.0,11.0,12.0,10.0,8.0,24.0,19.0,12.0,9.0,6.0,8.0,11.0,2.0,13.0,8.0,24.0
5.0,Stian Nystad Østli,225.0,9.0,11.0,12.0,13.0,9.0,13.0,49.0,18.0,10.0,6.0,4.0,1.0,10.0,6.0,13.0,8.0,33.0
6.0,Filip Nilsen,235.0,3.0,5.0,5.0,10.0,22.0,86.0,15.0,1.0,5.0,13.0,8.0,15.0,6.0,7.0,13.0,8.0,13.0
7.0,Kenneth Tran,244.0,24.0,19.0,3.0,3.0,5.0,6.0,7.0,19.0,19.0,14.0,14.0,14.0,24.0,30.0,13.0,7.0,23.0
8.0,Celine Tran,249.0,7.0,22.0,4.0,1.0,1.0,1.0,17.0,32.0,7.0,7.0,1.0,62.0,38.0,22.0,7.0,5.0,15.0
9.0,Herman Westerlund Kalland,250.0,2.0,2.0,7.0,7.0,7.0,86.0,22.0,25.0,3.0,4.0,5.0,4.0,21.0,1.0,13.0,8.0,33.0
10.0,Jacob Oliver Bruun,265.0,54.0,27.0,38.0,18.0,13.0,12.0,2.0,4.0,24.0,3.0,15.0,18.0,14.0,11.0,5.0,4.0,3.0
11.0,Einar Kvam Lundberg,285.0,22.0,23.0,15.0,17.0,19.0,19.0,8.0,1.0,15.0,33.0,18.0,31.0,15.0,19.0,6.0,8.0,16.0
12.0,Anders Barhaugen,306.0,30.0,13.0,21.0,15.0,12.0,10.0,43.0,36.0,24.0,2.0,20.0,12.0,9.0,5.0,13.0,8.0,33.0
13.0,Liam Uno Timour-Silveira,324.0,29.0,32.0,16.0,9.0,4.0,3.0,33.0,42.0,17.0,15.0,17.0,10.0,20.0,23.0,13.0,8.0,33.0
14.0,Lars Johan Folde,416.0,18.0,50.0,23.0,23.0,15.0,11.0,14.0,36.0,40.0,21.0,11.0,60.0,51.0,10.0,13.0,8.0,12.0
15.0,Ulrik Bredland,542.0,11.0,8.0,2.0,16.0,31.0,37.0,60.0,4.0,4.0,106.0,78.0,23.0,3.0,105.0,13.0,8.0,33.0
16.0,Julian Giæver-Engesmo,560.0,33.0,25.0,45.0,37.0,18.0,24.0,70.0,42.0,27.0,71.0,49.0,11.0,39.0,15.0,13.0,8.0,33.0
17.0,Magne Njå,571.0,47.0,38.0,30.0,31.0,24.0,40.0,27.0,25.0,60.0,17.0,57.0,9.0,34.0,92.0,13.0,8.0,19.0
