Rank,name,Sum,333,222,444,555,666,333oh,minx,pyram,skewb
1.0,Mohammed Al Said,16.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0
2.0,Zaid Taqi,18.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0
3.0,Qais Ali Taqi,25.0,3.0,4.0,3.0,3.0,2.0,5.0,2.0,1.0,2.0
4.0,Mohammed Jaffer Baqer Mohamed,27.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0
5.0,Salim Al Yahyaei,32.0,5.0,6.0,6.0,3.0,2.0,3.0,2.0,3.0,2.0
6.0,Ammar Taqi,39.0,9.0,5.0,5.0,3.0,2.0,5.0,2.0,6.0,2.0
7.0,Mazin Altarshi,42.0,7.0,7.0,7.0,3.0,2.0,5.0,2.0,7.0,2.0
8.0,Khalfan Salim Al-Arfi,46.0,10.0,9.0,7.0,3.0,2.0,5.0,2.0,7.0,1.0
8.0,Hamza Saeed Abdul Ghafoor Saif Udeen,46.0,6.0,12.0,7.0,3.0,2.0,5.0,2.0,7.0,2.0
10.0,Hamid Al Yahyaei,47.0,12.0,8.0,7.0,3.0,2.0,4.0,2.0,7.0,2.0
11.0,Hamza Al Lawati,49.0,8.0,13.0,7.0,3.0,2.0,5.0,2.0,7.0,2.0
12.0,Hamza Saeed Abdul Ghafoor Saif Udeen,50.0,11.0,11.0,7.0,3.0,2.0,5.0,2.0,7.0,2.0
13.0,Ahmed Taqi,51.0,13.0,10.0,7.0,3.0,2.0,5.0,2.0,7.0,2.0
