Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Muhammad Saleh Imtiaz,22.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
2.0,Abdullah Gulab,47.0,8.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,6.0,2.0,4.0,1.0,1.0
3.0,Mohammad Owais,60.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,8.0,3.0,3.0,5.0,3.0,3.0
4.0,Muhammad Haris Aamir,106.0,2.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
5.0,Mehak Zehra,120.0,19.0,16.0,18.0,9.0,4.0,4.0,4.0,4.0,12.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0
6.0,Muhammad Munim,125.0,9.0,32.0,5.0,6.0,4.0,4.0,4.0,4.0,14.0,5.0,8.0,8.0,11.0,5.0,3.0,3.0
7.0,Yanis Aamir,137.0,13.0,6.0,13.0,16.0,4.0,4.0,3.0,4.0,37.0,5.0,8.0,2.0,11.0,5.0,3.0,3.0
8.0,Saffi-ul Hassan,141.0,6.0,14.0,11.0,8.0,4.0,4.0,4.0,4.0,10.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
8.0,Muhammad Ali,141.0,7.0,12.0,6.0,16.0,4.0,4.0,4.0,3.0,9.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
10.0,Ahmed Nadeem,142.0,10.0,10.0,15.0,11.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
11.0,Kublai Khan Qasimi,147.0,5.0,11.0,10.0,10.0,4.0,4.0,4.0,4.0,19.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
12.0,Muhammad Hashir,160.0,17.0,12.0,17.0,7.0,4.0,4.0,4.0,4.0,15.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
13.0,Muhammad Dawar,161.0,34.0,19.0,19.0,16.0,4.0,4.0,4.0,4.0,18.0,5.0,8.0,4.0,11.0,5.0,3.0,3.0
14.0,Affan Bin Naveed,167.0,28.0,22.0,12.0,5.0,4.0,4.0,4.0,4.0,8.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
15.0,Mahrukh Atif Zahoor,178.0,18.0,8.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,14.0,11.0,5.0,3.0,3.0
16.0,Ali Jawad Parpia,179.0,12.0,25.0,21.0,16.0,4.0,4.0,4.0,4.0,37.0,2.0,8.0,25.0,9.0,2.0,3.0,3.0
17.0,Abdul Wahab,188.0,26.0,37.0,31.0,16.0,4.0,4.0,4.0,4.0,20.0,5.0,8.0,7.0,11.0,5.0,3.0,3.0
17.0,Haniel Idrees,188.0,33.0,26.0,20.0,13.0,4.0,4.0,4.0,4.0,26.0,5.0,8.0,20.0,10.0,5.0,3.0,3.0
