Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Mohammad Ahmad Abu Hussein,31.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0
2.0,Adam Tiro,54.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,12.0,2.0,6.0,9.0,2.0
3.0,Ahmad Abu Hussein,82.0,19.0,14.0,5.0,3.0,2.0,1.0,2.0,2.0,9.0,2.0,6.0,9.0,3.0,4.0,1.0
4.0,Zina Yaseen,84.0,6.0,8.0,3.0,9.0,3.0,2.0,4.0,3.0,6.0,3.0,12.0,12.0,4.0,7.0,2.0
5.0,Aziza Sbeih,85.0,5.0,13.0,11.0,9.0,3.0,2.0,4.0,3.0,8.0,3.0,12.0,7.0,2.0,1.0,2.0
6.0,Taleen Sharawneh,116.0,28.0,20.0,7.0,5.0,3.0,2.0,4.0,3.0,17.0,3.0,2.0,6.0,5.0,9.0,2.0
7.0,Ahmad Qaq,123.0,12.0,5.0,19.0,9.0,3.0,2.0,4.0,3.0,19.0,3.0,12.0,3.0,18.0,9.0,2.0
8.0,Mohammad Hammouz,135.0,8.0,6.0,6.0,6.0,3.0,2.0,4.0,3.0,5.0,3.0,12.0,46.0,20.0,9.0,2.0
8.0,Ismael Khalil,135.0,4.0,9.0,4.0,4.0,3.0,2.0,3.0,3.0,24.0,3.0,12.0,46.0,7.0,9.0,2.0
10.0,Munes Ameen Mohammad Abd Elhaq,138.0,23.0,16.0,13.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,8.0,13.0,3.0,2.0
11.0,Khaled Mohammad Shanty,144.0,46.0,12.0,12.0,7.0,3.0,2.0,4.0,3.0,14.0,3.0,12.0,4.0,11.0,9.0,2.0
12.0,Mayar Adnan Natsheh,147.0,25.0,3.0,16.0,9.0,3.0,2.0,4.0,3.0,13.0,3.0,12.0,23.0,20.0,9.0,2.0
13.0,Abdallah Jamjoum,154.0,11.0,18.0,9.0,9.0,3.0,2.0,4.0,3.0,3.0,3.0,12.0,46.0,20.0,9.0,2.0
14.0,Shadi Almohtaseb,163.0,15.0,17.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,21.0,20.0,9.0,2.0
15.0,Zaid Asem Abdeen,171.0,32.0,15.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,14.0,20.0,9.0,2.0
16.0,Yazan Hicham,172.0,20.0,23.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,19.0,20.0,9.0,2.0
17.0,Abdallah Awedah,173.0,10.0,26.0,19.0,9.0,3.0,2.0,4.0,3.0,12.0,3.0,12.0,39.0,20.0,9.0,2.0
17.0,Rober John Robert Rober Handal,173.0,39.0,31.0,14.0,9.0,3.0,2.0,4.0,3.0,20.0,3.0,10.0,5.0,20.0,8.0,2.0
17.0,Yousef Dweik,173.0,7.0,10.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
20.0,Mazen Abu Alfilat,176.0,21.0,27.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,18.0,20.0,9.0,2.0
21.0,Yazan K.I. Hamad,177.0,33.0,33.0,10.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,10.0,20.0,9.0,2.0
22.0,Ahmed Nasser,178.0,26.0,29.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,3.0,22.0,20.0,9.0,2.0
23.0,Ahmad Dadua,183.0,16.0,11.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
24.0,Bara' Rame Zakarni,191.0,24.0,24.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,33.0,20.0,9.0,2.0
25.0,Mohammad Tarsha,196.0,48.0,19.0,15.0,8.0,3.0,2.0,4.0,3.0,24.0,3.0,8.0,36.0,16.0,5.0,2.0
26.0,Nabeel Sabobeh,197.0,34.0,7.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,12.0,46.0,20.0,9.0,2.0
27.0,Widad Nabulsi,198.0,72.0,28.0,19.0,9.0,3.0,2.0,4.0,3.0,24.0,3.0,4.0,11.0,8.0,6.0,2.0
