Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Egdar Castillo,45.0,4.0,8.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,7.0,1.0,2.0,2.0
2.0,Davis Joel Fonseca Rios,67.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,8.0,5.0,2.0,8.0,8.0,7.0,3.0
3.0,Luis Angel Soto Castillo,77.0,2.0,11.0,2.0,2.0,1.0,1.0,4.0,5.0,5.0,6.0,3.0,13.0,14.0,5.0,3.0
4.0,Jair Steve Granda Cedeño,85.0,0.0,0.0,0.0,19.0,7.0,7.0,4.0,5.0,0.0,14.0,19.0,0.0,0.0,7.0,3.0
5.0,Egdar Antonio Castillo Gonzalez,99.0,14.0,8.0,7.0,7.0,7.0,7.0,4.0,3.0,17.0,3.0,4.0,2.0,6.0,7.0,3.0
6.0,Josué Ahmed González,104.0,15.0,7.0,8.0,6.0,5.0,5.0,3.0,5.0,9.0,14.0,5.0,9.0,3.0,7.0,3.0
7.0,Luis Bosch,122.0,5.0,3.0,5.0,5.0,7.0,7.0,4.0,5.0,7.0,13.0,14.0,22.0,15.0,7.0,3.0
8.0,Cesar Augusto Rodríguez Medina,147.0,31.0,17.0,9.0,9.0,7.0,7.0,4.0,5.0,21.0,7.0,12.0,6.0,2.0,7.0,3.0
9.0,Karla Victoria Suárez Rosario,159.0,28.0,16.0,18.0,19.0,7.0,7.0,4.0,5.0,16.0,4.0,19.0,1.0,9.0,3.0,3.0
10.0,Miguel Ángel Hernández,161.0,1.0,60.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,14.0,19.0,5.0,36.0,6.0,3.0
11.0,Ezequiel Cedeño,163.0,9.0,22.0,12.0,19.0,7.0,7.0,4.0,5.0,13.0,14.0,11.0,3.0,27.0,7.0,3.0
12.0,Diego Bonilla,180.0,24.0,30.0,26.0,16.0,7.0,7.0,4.0,5.0,10.0,12.0,7.0,17.0,5.0,7.0,3.0
13.0,Kendrick Montenegro,182.0,16.0,1.0,15.0,19.0,7.0,7.0,4.0,5.0,22.0,14.0,19.0,21.0,22.0,7.0,3.0
14.0,Miguel Solis,188.0,32.0,33.0,17.0,12.0,7.0,7.0,4.0,5.0,14.0,14.0,8.0,20.0,11.0,1.0,3.0
15.0,Níkolas Pineda,190.0,6.0,19.0,14.0,19.0,7.0,7.0,4.0,5.0,15.0,14.0,19.0,15.0,36.0,7.0,3.0
16.0,Misael Peñafiel,191.0,11.0,4.0,19.0,19.0,7.0,7.0,4.0,5.0,6.0,14.0,6.0,69.0,10.0,7.0,3.0
17.0,Juan David Pérez,199.0,10.0,24.0,10.0,10.0,6.0,6.0,1.0,4.0,1.0,1.0,13.0,69.0,36.0,7.0,1.0
18.0,Gian Franco Loo Rodriguez,201.0,35.0,12.0,27.0,19.0,7.0,7.0,4.0,5.0,29.0,9.0,19.0,14.0,4.0,7.0,3.0
18.0,Howard Antonio González Domínguez,201.0,18.0,18.0,28.0,19.0,7.0,7.0,4.0,5.0,19.0,14.0,19.0,26.0,7.0,7.0,3.0
20.0,Ramón Ortega,206.0,20.0,20.0,25.0,17.0,7.0,7.0,4.0,5.0,23.0,14.0,17.0,25.0,12.0,7.0,3.0
21.0,Maria Huang,216.0,21.0,27.0,16.0,15.0,7.0,7.0,4.0,5.0,11.0,14.0,19.0,41.0,19.0,7.0,3.0
22.0,Gaspar Guillén,221.0,7.0,6.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,11.0,23.0,7.0,3.0
23.0,Ariel De Sedas,232.0,12.0,43.0,37.0,19.0,7.0,7.0,4.0,5.0,25.0,14.0,19.0,12.0,18.0,7.0,3.0
24.0,Alex Herrera,236.0,30.0,23.0,21.0,13.0,7.0,7.0,4.0,5.0,31.0,14.0,10.0,48.0,13.0,7.0,3.0
25.0,Eduardo Caraquito,248.0,8.0,32.0,30.0,19.0,7.0,7.0,4.0,5.0,4.0,14.0,9.0,63.0,36.0,7.0,3.0
26.0,Andres Felipe Mendez Lopez,260.0,17.0,5.0,6.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
27.0,Rafael Qiu Peng,274.0,25.0,45.0,39.0,19.0,7.0,7.0,4.0,5.0,12.0,14.0,19.0,32.0,36.0,7.0,3.0
27.0,Lynette Alicia Chan Zhu,274.0,36.0,30.0,47.0,19.0,7.0,7.0,4.0,5.0,20.0,14.0,19.0,27.0,29.0,7.0,3.0
29.0,Timoteo Erick Chen Liao,278.0,29.0,36.0,13.0,8.0,7.0,7.0,4.0,5.0,26.0,14.0,19.0,64.0,36.0,7.0,3.0
30.0,Adrián González Rey,293.0,34.0,38.0,47.0,19.0,7.0,7.0,4.0,5.0,18.0,14.0,19.0,35.0,36.0,7.0,3.0
31.0,Sam Zhong,295.0,39.0,35.0,47.0,19.0,7.0,7.0,4.0,5.0,34.0,14.0,19.0,29.0,26.0,7.0,3.0
32.0,Allen Ameth Arias Castillo,296.0,67.0,28.0,47.0,19.0,7.0,7.0,4.0,5.0,27.0,10.0,19.0,10.0,36.0,7.0,3.0
33.0,Edwin Ramos,299.0,63.0,55.0,29.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,4.0,21.0,7.0,3.0
34.0,Osmel Nehyl Coronado Rosas,301.0,22.0,48.0,11.0,11.0,7.0,7.0,4.0,5.0,42.0,14.0,15.0,69.0,36.0,7.0,3.0
35.0,Samuel Elias Medrano Valderrama,303.0,23.0,34.0,47.0,19.0,7.0,7.0,4.0,5.0,24.0,14.0,19.0,57.0,33.0,7.0,3.0
36.0,José Liang,305.0,50.0,15.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,30.0,36.0,7.0,3.0
37.0,Javier Elias Cuan Him,307.0,49.0,44.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,16.0,24.0,7.0,3.0
38.0,Carlos Eduardo Morrison,311.0,19.0,37.0,23.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
39.0,José Luis Timoteo Caballero,312.0,47.0,40.0,36.0,19.0,7.0,7.0,4.0,5.0,33.0,14.0,18.0,52.0,20.0,7.0,3.0
40.0,Omar Arrocha,313.0,47.0,10.0,38.0,19.0,7.0,7.0,4.0,5.0,37.0,14.0,19.0,60.0,36.0,7.0,3.0
41.0,Tomas Alfaro,315.0,43.0,12.0,40.0,19.0,7.0,7.0,4.0,5.0,39.0,14.0,19.0,65.0,31.0,7.0,3.0
42.0,Jairo Guardia,324.0,57.0,39.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,18.0,36.0,7.0,3.0
42.0,David Laffaurie,324.0,62.0,29.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,8.0,19.0,31.0,34.0,7.0,3.0
44.0,Carlos Enrique Díaz García,333.0,53.0,53.0,22.0,19.0,7.0,7.0,4.0,5.0,28.0,14.0,19.0,56.0,36.0,7.0,3.0
45.0,Juan Carlos Sánchez Calderón,340.0,96.0,12.0,33.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,36.0,36.0,7.0,3.0
46.0,Denzel Burke,343.0,38.0,59.0,34.0,19.0,7.0,7.0,4.0,5.0,30.0,14.0,19.0,61.0,36.0,7.0,3.0
47.0,Jhon Jairo Alonso Ramos,352.0,66.0,21.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,55.0,36.0,7.0,3.0
48.0,Luis Valencia,353.0,75.0,25.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,43.0,36.0,7.0,3.0
48.0,Mario Diaz,353.0,56.0,62.0,31.0,19.0,7.0,7.0,4.0,5.0,38.0,14.0,19.0,45.0,36.0,7.0,3.0
50.0,Frederick Zuñiga,358.0,37.0,42.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
