Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Milko Sebastián Gutiérrez Arroyo,52.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,9.0,2.0,5.0,3.0,8.0
2.0,David Emmanuel Velozo Cabrera,101.0,3.0,6.0,1.0,4.0,6.0,6.0,8.0,12.0,1.0,17.0,7.0,23.0,5.0,2.0
3.0,José Chávez,118.0,19.0,15.0,2.0,8.0,3.0,5.0,2.0,1.0,13.0,17.0,3.0,20.0,7.0,3.0
4.0,Martin Alejandro Benítez López,167.0,1.0,4.0,15.0,30.0,15.0,10.0,8.0,12.0,6.0,17.0,16.0,1.0,18.0,14.0
5.0,Renato José Orrego Insfran,180.0,22.0,16.0,8.0,5.0,5.0,2.0,8.0,9.0,15.0,15.0,6.0,46.0,12.0,11.0
6.0,Giovanni Mendez,182.0,25.0,19.0,20.0,16.0,10.0,10.0,8.0,4.0,16.0,17.0,13.0,4.0,19.0,1.0
7.0,Kenji Caceres,200.0,6.0,7.0,6.0,11.0,15.0,10.0,8.0,12.0,5.0,17.0,28.0,12.0,49.0,14.0
8.0,Eduardo Villalba,201.0,30.0,21.0,24.0,13.0,12.0,9.0,8.0,12.0,25.0,6.0,15.0,18.0,1.0,7.0
9.0,Misael Alexander Mancuello Ayala,210.0,14.0,13.0,4.0,3.0,8.0,10.0,8.0,12.0,8.0,17.0,28.0,22.0,49.0,14.0
10.0,Victor Ayala,212.0,7.0,7.0,29.0,25.0,15.0,10.0,8.0,1.0,12.0,17.0,28.0,25.0,14.0,14.0
11.0,Pier Patrick Gaub,245.0,33.0,55.0,14.0,7.0,4.0,7.0,8.0,12.0,22.0,17.0,1.0,50.0,10.0,5.0
12.0,Ana Burguez,247.0,5.0,22.0,10.0,33.0,15.0,10.0,8.0,12.0,4.0,17.0,28.0,43.0,26.0,14.0
12.0,Arturo Ocampos,247.0,34.0,18.0,17.0,15.0,14.0,10.0,8.0,12.0,63.0,14.0,10.0,13.0,9.0,10.0
14.0,Fabrizio Jesús Ozorio Chávez,255.0,20.0,10.0,19.0,19.0,15.0,10.0,8.0,12.0,44.0,17.0,28.0,28.0,11.0,14.0
15.0,Jose Maria Escobar Fernandez,257.0,8.0,2.0,23.0,33.0,15.0,10.0,8.0,12.0,2.0,17.0,28.0,70.0,15.0,14.0
16.0,Pedro Benjamín Uliambre Galeano,265.0,16.0,43.0,34.0,27.0,15.0,10.0,8.0,12.0,18.0,17.0,8.0,2.0,49.0,6.0
17.0,Gianfranco Kessler,267.0,18.0,1.0,33.0,33.0,15.0,10.0,8.0,12.0,63.0,5.0,28.0,11.0,21.0,9.0
18.0,Oliver Richard Zoilan Avalos,273.0,28.0,28.0,5.0,9.0,15.0,10.0,8.0,12.0,23.0,17.0,28.0,27.0,49.0,14.0
19.0,José Benítez,279.0,23.0,13.0,7.0,6.0,2.0,1.0,8.0,12.0,63.0,17.0,4.0,70.0,49.0,4.0
20.0,Daniel Maidana,280.0,26.0,16.0,25.0,26.0,13.0,10.0,8.0,6.0,45.0,8.0,28.0,42.0,13.0,14.0
21.0,Elias Miguel Acosta Acosta,281.0,52.0,31.0,36.0,33.0,15.0,10.0,1.0,5.0,43.0,1.0,28.0,8.0,4.0,14.0
22.0,Gustavo Riveiro,287.0,47.0,49.0,22.0,23.0,15.0,10.0,5.0,8.0,41.0,3.0,27.0,16.0,8.0,13.0
23.0,Elías Villamayor,297.0,2.0,33.0,69.0,33.0,15.0,10.0,8.0,12.0,14.0,17.0,18.0,3.0,49.0,14.0
24.0,Guido Rubén Reyes Miers,303.0,69.0,34.0,32.0,24.0,15.0,10.0,8.0,12.0,21.0,11.0,28.0,8.0,17.0,14.0
25.0,David Arturo Díaz,306.0,9.0,11.0,27.0,29.0,15.0,10.0,6.0,6.0,29.0,17.0,22.0,62.0,49.0,14.0
26.0,Mauricio Bernal,308.0,11.0,5.0,69.0,33.0,15.0,10.0,8.0,12.0,27.0,17.0,28.0,10.0,49.0,14.0
27.0,Matías Almiron,310.0,31.0,53.0,28.0,33.0,15.0,10.0,8.0,10.0,10.0,17.0,17.0,15.0,49.0,14.0
28.0,Robinsón Axel Conrado Rodriguez Arias,317.0,46.0,20.0,26.0,20.0,15.0,10.0,8.0,12.0,30.0,16.0,28.0,70.0,2.0,14.0
29.0,Milena Noemí Medina Obelar,322.0,15.0,7.0,12.0,17.0,15.0,10.0,8.0,12.0,48.0,17.0,28.0,70.0,49.0,14.0
30.0,Alan Torres,327.0,24.0,42.0,9.0,14.0,11.0,10.0,8.0,12.0,19.0,17.0,28.0,70.0,49.0,14.0
31.0,Mateo Chica,329.0,12.0,23.0,40.0,22.0,15.0,10.0,8.0,12.0,9.0,17.0,28.0,70.0,49.0,14.0
32.0,Gonzalo Santino Moran Galeano,346.0,21.0,24.0,18.0,33.0,15.0,10.0,8.0,12.0,63.0,17.0,28.0,34.0,49.0,14.0
33.0,Joshua Giesbrecht,354.0,42.0,36.0,51.0,33.0,15.0,10.0,8.0,12.0,28.0,17.0,28.0,35.0,25.0,14.0
34.0,Dary Leandro Wladimir Cano Galeano,357.0,10.0,135.0,13.0,2.0,7.0,8.0,8.0,12.0,7.0,17.0,9.0,70.0,45.0,14.0
35.0,Walter Guillermo Cardozo Troche,368.0,60.0,25.0,53.0,33.0,15.0,10.0,8.0,12.0,24.0,4.0,24.0,59.0,27.0,14.0
36.0,Martín Rafael Orué Aguilera,375.0,44.0,61.0,30.0,10.0,9.0,4.0,8.0,11.0,20.0,17.0,28.0,70.0,49.0,14.0
37.0,Cristofer Chica,377.0,39.0,35.0,43.0,18.0,15.0,10.0,8.0,12.0,36.0,17.0,11.0,70.0,49.0,14.0
38.0,Mauricio Ortiz,383.0,35.0,12.0,69.0,33.0,15.0,10.0,8.0,12.0,11.0,17.0,28.0,70.0,49.0,14.0
39.0,Henry Correa,386.0,27.0,30.0,69.0,11.0,15.0,10.0,8.0,12.0,26.0,17.0,28.0,70.0,49.0,14.0
40.0,Jonathan Rubio,389.0,43.0,64.0,69.0,33.0,15.0,10.0,8.0,12.0,32.0,17.0,28.0,21.0,23.0,14.0
41.0,Guzman Shakur Rodriguez Flores,395.0,56.0,38.0,69.0,33.0,15.0,10.0,8.0,12.0,39.0,17.0,28.0,32.0,24.0,14.0
42.0,Stefano Valentino Basili Gamarra,397.0,73.0,37.0,48.0,33.0,15.0,10.0,8.0,12.0,56.0,10.0,21.0,26.0,34.0,14.0
43.0,Carlos Rotela,409.0,38.0,26.0,49.0,33.0,15.0,10.0,8.0,12.0,40.0,17.0,28.0,70.0,49.0,14.0
44.0,Jorge Sol Salinas,417.0,54.0,47.0,69.0,33.0,15.0,10.0,8.0,12.0,47.0,17.0,28.0,14.0,49.0,14.0
45.0,Mathias Alejandro Quiroga Alcaraz,418.0,40.0,40.0,47.0,33.0,15.0,10.0,8.0,12.0,35.0,17.0,28.0,70.0,49.0,14.0
46.0,Carlos Benjamin Mereles Martinez,420.0,93.0,38.0,69.0,33.0,15.0,10.0,8.0,12.0,63.0,2.0,28.0,7.0,28.0,14.0
