Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Jose Polorhenzo Aquino,172.0,19.0,17.0,5.0,5.0,2.0,7.0,14.0,1.0,25.0,11.0,6.0,6.0,20.0,7.0,7.0,7.0,13.0
2.0,Jaden Lim,302.0,56.0,48.0,3.0,9.0,11.0,18.0,6.0,4.0,24.0,31.0,17.0,36.0,16.0,11.0,1.0,1.0,10.0
3.0,Brenton Angelo Lo Wong,340.0,3.0,2.0,2.0,14.0,34.0,29.0,17.0,19.0,4.0,7.0,15.0,35.0,82.0,4.0,13.0,8.0,52.0
4.0,Robbie Villarica,344.0,25.0,13.0,6.0,3.0,10.0,15.0,86.0,8.0,39.0,1.0,8.0,34.0,20.0,3.0,13.0,8.0,52.0
5.0,Jolo Endona,432.0,49.0,30.0,34.0,35.0,33.0,44.0,2.0,8.0,13.0,35.0,66.0,12.0,52.0,14.0,2.0,2.0,1.0
6.0,Ace Djun T. Aguirre Jr.,488.0,39.0,36.0,10.0,15.0,13.0,10.0,165.0,49.0,7.0,16.0,16.0,40.0,1.0,15.0,13.0,8.0,35.0
7.0,Yuji Yoshida,517.0,58.0,121.0,16.0,19.0,14.0,17.0,41.0,11.0,83.0,18.0,30.0,17.0,28.0,6.0,12.0,8.0,18.0
8.0,Christian Angelo Araneta Naguio,596.0,44.0,22.0,18.0,4.0,5.0,2.0,21.0,112.0,29.0,86.0,14.0,108.0,67.0,40.0,4.0,8.0,12.0
9.0,Miguel Gonzaga,620.0,123.0,86.0,30.0,21.0,9.0,12.0,149.0,36.0,14.0,14.0,28.0,2.0,2.0,21.0,13.0,8.0,52.0
10.0,Brian Acuña,700.0,128.0,142.0,49.0,29.0,20.0,13.0,28.0,14.0,69.0,24.0,92.0,23.0,29.0,9.0,8.0,4.0,19.0
11.0,Lorenzo Layug,772.0,55.0,3.0,25.0,20.0,182.0,156.0,157.0,6.0,28.0,21.0,25.0,15.0,5.0,1.0,13.0,8.0,52.0
12.0,Kaidrich Keolo Pobre,815.0,94.0,72.0,70.0,40.0,48.0,42.0,43.0,42.0,22.0,38.0,40.0,111.0,74.0,43.0,13.0,8.0,15.0
