Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Magdalena Pabisz,451.0,7.0,4.0,10.0,11.0,15.0,20.0,86.0,78.0,11.0,14.0,1.0,13.0,16.0,9.0,55.0,28.0,73.0
2.0,Michał Krasowski,467.0,33.0,5.0,11.0,17.0,26.0,25.0,61.0,30.0,32.0,26.0,13.0,30.0,5.0,1.0,55.0,28.0,69.0
3.0,Karol Zakrzewski,468.0,26.0,12.0,13.0,3.0,6.0,5.0,46.0,16.0,3.0,64.0,29.0,28.0,62.0,56.0,24.0,28.0,47.0
4.0,Bartłomiej Owczarek,532.0,7.0,18.0,18.0,6.0,10.0,9.0,50.0,78.0,29.0,89.0,16.0,35.0,19.0,22.0,55.0,28.0,43.0
5.0,Łukasz Burliga,534.0,5.0,5.0,5.0,7.0,13.0,18.0,91.0,30.0,1.0,71.0,9.0,45.0,3.0,46.0,55.0,28.0,102.0
6.0,Kajetan Opach,588.0,3.0,12.0,8.0,15.0,36.0,37.0,31.0,54.0,9.0,118.0,20.0,17.0,74.0,13.0,55.0,28.0,58.0
7.0,Jakub Hamkało,725.0,49.0,41.0,12.0,27.0,24.0,34.0,65.0,39.0,37.0,53.0,37.0,136.0,42.0,4.0,44.0,28.0,53.0
8.0,Tymon Kolasiński,784.0,1.0,7.0,1.0,1.0,1.0,1.0,179.0,68.0,7.0,221.0,34.0,4.0,18.0,34.0,55.0,28.0,124.0
9.0,Piotr Olszewski,792.0,58.0,71.0,54.0,24.0,18.0,21.0,101.0,25.0,51.0,1.0,46.0,7.0,59.0,20.0,55.0,28.0,153.0
10.0,Gabriel Rejdych,798.0,11.0,83.0,8.0,5.0,11.0,10.0,112.0,54.0,33.0,12.0,50.0,100.0,63.0,87.0,55.0,28.0,76.0
11.0,Dawid Wójcik,810.0,71.0,149.0,70.0,50.0,43.0,27.0,37.0,11.0,94.0,29.0,28.0,24.0,31.0,23.0,55.0,28.0,40.0
12.0,Adam Kędziorski,821.0,12.0,71.0,14.0,14.0,12.0,7.0,106.0,30.0,65.0,74.0,57.0,22.0,98.0,3.0,55.0,28.0,153.0
13.0,Mateusz Szulik,860.0,26.0,69.0,4.0,3.0,3.0,4.0,140.0,54.0,13.0,210.0,47.0,39.0,4.0,8.0,55.0,28.0,153.0
14.0,Łukasz Dubicki,896.0,78.0,22.0,62.0,54.0,42.0,43.0,79.0,39.0,88.0,51.0,67.0,52.0,65.0,10.0,55.0,28.0,61.0
15.0,Michał Mlostek,924.0,65.0,111.0,59.0,32.0,19.0,13.0,70.0,25.0,76.0,40.0,71.0,26.0,59.0,85.0,55.0,28.0,90.0
16.0,Przemysław Rogalski,940.0,104.0,83.0,76.0,109.0,82.0,82.0,82.0,11.0,53.0,11.0,36.0,16.0,45.0,31.0,55.0,28.0,36.0
17.0,Oliwier Tkaczyk,950.0,20.0,34.0,34.0,22.0,16.0,11.0,144.0,96.0,67.0,13.0,10.0,156.0,69.0,53.0,55.0,28.0,122.0
18.0,Szymon Malinowski,964.0,15.0,31.0,7.0,8.0,4.0,3.0,212.0,30.0,16.0,167.0,5.0,89.0,21.0,120.0,55.0,28.0,153.0
19.0,Wojciech Knott,980.0,42.0,167.0,15.0,20.0,25.0,28.0,99.0,54.0,44.0,8.0,80.0,125.0,81.0,49.0,46.0,26.0,71.0
20.0,Adam Chodyniecki,1001.0,10.0,39.0,28.0,34.0,23.0,39.0,225.0,158.0,22.0,28.0,48.0,23.0,5.0,83.0,55.0,28.0,153.0
21.0,Jan Zych,1066.0,28.0,7.0,35.0,39.0,59.0,57.0,152.0,7.0,17.0,252.0,2.0,129.0,7.0,39.0,55.0,28.0,153.0
22.0,Maksymilian Misiak,1107.0,81.0,47.0,50.0,26.0,20.0,24.0,28.0,116.0,80.0,147.0,7.0,130.0,222.0,6.0,18.0,28.0,77.0
23.0,Maksymilian Kulas,1121.0,83.0,25.0,84.0,70.0,79.0,121.0,187.0,78.0,63.0,27.0,17.0,8.0,26.0,17.0,55.0,28.0,153.0
24.0,Tomasz Pietruszka,1140.0,61.0,43.0,17.0,10.0,14.0,23.0,239.0,333.0,42.0,37.0,11.0,37.0,12.0,25.0,55.0,28.0,153.0
25.0,Oskar Hanuszkiewicz,1215.0,49.0,19.0,30.0,28.0,29.0,46.0,344.0,333.0,25.0,19.0,25.0,8.0,9.0,15.0,55.0,28.0,153.0
26.0,Tomasz Cepil,1276.0,20.0,66.0,33.0,33.0,44.0,59.0,7.0,333.0,180.0,69.0,30.0,176.0,123.0,50.0,12.0,28.0,13.0
