Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Afonso Carapeto,77.0,3.0,1.0,3.0,3.0,3.0,8.0,8.0,10.0,2.0,11.0,1.0,5.0,2.0,10.0,2.0,5.0
2.0,Pedro Azevedo,79.0,2.0,4.0,2.0,2.0,2.0,8.0,4.0,6.0,4.0,11.0,3.0,13.0,3.0,8.0,2.0,5.0
3.0,Leandro Baltazar,144.0,11.0,13.0,21.0,10.0,10.0,7.0,6.0,4.0,17.0,6.0,16.0,1.0,12.0,5.0,2.0,3.0
4.0,António Gomes,166.0,27.0,50.0,12.0,7.0,5.0,5.0,5.0,3.0,9.0,2.0,8.0,9.0,11.0,7.0,2.0,4.0
5.0,João Filipe dos Santos Pinheiro,168.0,9.0,15.0,18.0,6.0,12.0,8.0,12.0,10.0,16.0,7.0,12.0,3.0,1.0,32.0,2.0,5.0
6.0,Luís Pedro Gomes Costa,182.0,5.0,18.0,27.0,33.0,12.0,8.0,12.0,10.0,3.0,11.0,4.0,4.0,22.0,6.0,2.0,5.0
7.0,Vasco Vasconcelos,186.0,4.0,24.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,11.0,2.0,62.0,44.0,23.0,2.0,5.0
8.0,António Dias,198.0,21.0,12.0,24.0,12.0,6.0,4.0,12.0,10.0,27.0,8.0,14.0,19.0,7.0,15.0,2.0,5.0
9.0,Diogo Miguel Alves Guerreiro,207.0,20.0,8.0,15.0,33.0,12.0,8.0,12.0,7.0,35.0,11.0,10.0,12.0,16.0,1.0,2.0,5.0
10.0,Xiang Guo,230.0,30.0,8.0,14.0,8.0,12.0,8.0,11.0,10.0,7.0,11.0,28.0,10.0,34.0,32.0,2.0,5.0
11.0,Anselmo José Gonçalves Falorca,231.0,18.0,10.0,6.0,15.0,12.0,8.0,12.0,10.0,20.0,11.0,6.0,15.0,49.0,32.0,2.0,5.0
12.0,Didier Batista Ferreira,249.0,10.0,2.0,16.0,33.0,12.0,8.0,1.0,10.0,28.0,11.0,28.0,7.0,49.0,32.0,1.0,1.0
13.0,Afonso Cláudio Machado,251.0,1.0,16.0,9.0,16.0,12.0,8.0,12.0,10.0,6.0,11.0,28.0,34.0,49.0,32.0,2.0,5.0
13.0,Sara García Mendes,251.0,43.0,36.0,37.0,13.0,12.0,8.0,12.0,10.0,31.0,11.0,13.0,8.0,10.0,0.0,2.0,5.0
15.0,José Manuel Lucena,264.0,33.0,39.0,25.0,21.0,12.0,8.0,12.0,10.0,22.0,3.0,15.0,2.0,23.0,32.0,2.0,5.0
16.0,Jiayu Liu,301.0,47.0,31.0,22.0,9.0,7.0,3.0,12.0,10.0,37.0,11.0,7.0,33.0,33.0,32.0,2.0,5.0
16.0,Rui Alexandre Reis Lopes,301.0,28.0,38.0,17.0,14.0,9.0,8.0,12.0,10.0,44.0,11.0,19.0,21.0,31.0,32.0,2.0,5.0
18.0,Tiago Oliveira,302.0,6.0,10.0,4.0,33.0,12.0,8.0,12.0,10.0,11.0,11.0,28.0,69.0,49.0,32.0,2.0,5.0
18.0,David Martins,302.0,24.0,7.0,26.0,33.0,12.0,8.0,12.0,10.0,39.0,11.0,28.0,23.0,49.0,13.0,2.0,5.0
20.0,Luís Tovar,306.0,23.0,18.0,34.0,33.0,12.0,8.0,12.0,10.0,13.0,11.0,28.0,16.0,49.0,32.0,2.0,5.0
21.0,Gabriel Vidal Figueiredo,307.0,32.0,51.0,59.0,33.0,12.0,8.0,12.0,10.0,41.0,1.0,5.0,20.0,14.0,2.0,2.0,5.0
22.0,Francisco Power,310.0,37.0,59.0,28.0,33.0,12.0,8.0,12.0,10.0,32.0,11.0,28.0,14.0,5.0,14.0,2.0,5.0
23.0,Francisco Almeida,314.0,26.0,48.0,7.0,25.0,12.0,8.0,12.0,10.0,14.0,11.0,28.0,74.0,8.0,24.0,2.0,5.0
24.0,André Melão,316.0,70.0,22.0,23.0,17.0,12.0,8.0,12.0,10.0,24.0,11.0,28.0,27.0,13.0,32.0,2.0,5.0
25.0,Nuno Ricardo Cordeiro Serafim,320.0,53.0,43.0,35.0,31.0,12.0,8.0,7.0,2.0,21.0,11.0,18.0,17.0,26.0,32.0,2.0,2.0
26.0,Tomás Freire,333.0,8.0,17.0,10.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,47.0,45.0,16.0,2.0,5.0
27.0,Tiago Almeida,343.0,44.0,30.0,40.0,33.0,12.0,8.0,12.0,10.0,38.0,11.0,28.0,26.0,19.0,25.0,2.0,5.0
28.0,Gonçalo Carrasquinho,350.0,7.0,13.0,11.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,22.0,82.0,49.0,4.0,2.0,5.0
29.0,Miguel Carvalho,351.0,69.0,46.0,44.0,23.0,12.0,8.0,12.0,10.0,34.0,11.0,9.0,25.0,9.0,32.0,2.0,5.0
30.0,Laura Kahle,362.0,60.0,57.0,55.0,33.0,12.0,8.0,12.0,10.0,18.0,11.0,28.0,35.0,4.0,12.0,2.0,5.0
31.0,Nelson Estevão,364.0,12.0,25.0,64.0,33.0,12.0,8.0,12.0,10.0,19.0,11.0,21.0,49.0,49.0,32.0,2.0,5.0
31.0,Luís Duarte Oliveira,364.0,36.0,28.0,20.0,33.0,12.0,8.0,12.0,10.0,23.0,11.0,28.0,55.0,49.0,32.0,2.0,5.0
33.0,Tomás Worm Ramos,365.0,40.0,44.0,33.0,18.0,8.0,6.0,12.0,7.0,39.0,11.0,28.0,40.0,42.0,30.0,2.0,5.0
34.0,Nuno Freitas,366.0,13.0,32.0,29.0,11.0,12.0,8.0,12.0,10.0,30.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
35.0,Joao Pedro Fernandes Silva,400.0,72.0,76.0,42.0,24.0,11.0,8.0,12.0,10.0,26.0,5.0,26.0,38.0,15.0,28.0,2.0,5.0
36.0,Diogo Marquês Soares,416.0,38.0,27.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,11.0,18.0,32.0,21.0,2.0,5.0
