Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,DongSoo Park (박동수),136.0,11.0,7.0,3.0,2.0,2.0,2.0,12.0,6.0,3.0,8.0,4.0,10.0,20.0,7.0,3.0,5.0,31.0
2.0,Kyeongmin Choi,192.0,6.0,1.0,19.0,31.0,25.0,26.0,6.0,1.0,11.0,15.0,1.0,7.0,11.0,4.0,7.0,19.0,2.0
3.0,Jaemin Chang (장재민),299.0,9.0,2.0,11.0,7.0,19.0,5.0,40.0,18.0,5.0,72.0,9.0,9.0,3.0,3.0,28.0,19.0,40.0
4.0,Jong-Ho Jeong (정종호),365.0,13.0,14.0,16.0,5.0,6.0,19.0,4.0,12.0,24.0,123.0,18.0,24.0,32.0,23.0,13.0,14.0,5.0
5.0,Yeon Kyun Park (박연균),372.0,17.0,47.0,58.0,27.0,31.0,17.0,21.0,38.0,20.0,1.0,11.0,11.0,2.0,17.0,9.0,15.0,30.0
6.0,Jinseo Hong,398.0,12.0,12.0,4.0,3.0,5.0,10.0,150.0,47.0,9.0,13.0,21.0,3.0,5.0,9.0,28.0,19.0,48.0
7.0,Doyul Kim (김도율),427.0,8.0,72.0,17.0,16.0,10.0,7.0,49.0,59.0,4.0,6.0,10.0,15.0,17.0,42.0,28.0,19.0,48.0
8.0,SeungO Han (한승오),457.0,28.0,17.0,26.0,22.0,21.0,22.0,129.0,23.0,8.0,25.0,19.0,17.0,6.0,5.0,28.0,19.0,42.0
9.0,Kim Min (김민),524.0,71.0,43.0,25.0,12.0,20.0,11.0,13.0,18.0,49.0,28.0,12.0,33.0,84.0,22.0,28.0,19.0,36.0
9.0,MinSeo Gu (구민서),524.0,30.0,28.0,13.0,11.0,7.0,12.0,63.0,68.0,15.0,32.0,28.0,28.0,42.0,52.0,28.0,19.0,48.0
11.0,SeungBeom Cho (조승범),603.0,1.0,8.0,10.0,15.0,13.0,16.0,43.0,34.0,14.0,211.0,48.0,35.0,19.0,41.0,28.0,19.0,48.0
12.0,Yu Da-Hyun (유다현),604.0,18.0,106.0,12.0,20.0,15.0,15.0,17.0,59.0,36.0,69.0,2.0,61.0,74.0,81.0,4.0,3.0,12.0
13.0,Yoochan Hong (홍유찬),625.0,23.0,38.0,2.0,25.0,134.0,46.0,127.0,55.0,2.0,16.0,27.0,13.0,16.0,6.0,28.0,19.0,48.0
14.0,Jungwoo Kim (김정우),662.0,53.0,39.0,59.0,80.0,42.0,58.0,27.0,27.0,77.0,66.0,31.0,22.0,22.0,26.0,16.0,13.0,4.0
15.0,Seung Hyuk Nahm (남승혁),672.0,2.0,9.0,1.0,1.0,1.0,1.0,56.0,119.0,1.0,80.0,7.0,47.0,34.0,218.0,28.0,19.0,48.0
16.0,Choi Hyo-jin (최효진),692.0,40.0,76.0,72.0,41.0,45.0,43.0,46.0,27.0,89.0,12.0,5.0,43.0,36.0,24.0,27.0,19.0,47.0
17.0,Park Ji Won (박지원),733.0,73.0,61.0,32.0,30.0,22.0,21.0,150.0,119.0,67.0,29.0,3.0,18.0,12.0,1.0,28.0,19.0,48.0
18.0,Yunsu Nam (남윤수),786.0,62.0,24.0,44.0,38.0,53.0,82.0,61.0,15.0,29.0,115.0,33.0,20.0,86.0,62.0,26.0,19.0,17.0
19.0,Sungho Hong (홍성호),793.0,34.0,64.0,31.0,50.0,40.0,30.0,102.0,44.0,13.0,18.0,55.0,64.0,85.0,68.0,28.0,19.0,48.0
20.0,Junseop Kim (김준섭),796.0,87.0,31.0,30.0,37.0,47.0,73.0,99.0,82.0,26.0,62.0,34.0,36.0,55.0,2.0,28.0,19.0,48.0
21.0,Beom San Kim (김범산),894.0,19.0,13.0,15.0,10.0,11.0,18.0,150.0,119.0,7.0,90.0,60.0,30.0,39.0,218.0,28.0,19.0,48.0
22.0,Koh Youngjin (고영진),916.0,98.0,76.0,73.0,62.0,70.0,75.0,5.0,10.0,97.0,45.0,37.0,51.0,117.0,64.0,18.0,12.0,6.0
23.0,Shin Myeong Park (박신명),923.0,58.0,16.0,60.0,44.0,48.0,40.0,55.0,92.0,87.0,119.0,83.0,48.0,62.0,16.0,28.0,19.0,48.0
24.0,Min-Hyuk Son (손민혁),958.0,45.0,119.0,36.0,43.0,29.0,63.0,75.0,119.0,53.0,87.0,20.0,66.0,38.0,70.0,28.0,19.0,48.0
25.0,Jungwoo Ha (하정우),987.0,7.0,10.0,38.0,29.0,79.0,151.0,113.0,119.0,16.0,170.0,75.0,55.0,18.0,12.0,28.0,19.0,48.0
26.0,Yu Byeong-Seon (유병선),989.0,22.0,61.0,23.0,33.0,50.0,49.0,100.0,38.0,87.0,118.0,39.0,91.0,129.0,54.0,28.0,19.0,48.0
27.0,Gang Yong-Jin,1105.0,138.0,131.0,76.0,104.0,59.0,55.0,11.0,38.0,94.0,134.0,22.0,95.0,60.0,11.0,17.0,19.0,41.0
28.0,Hong Seungbin,1154.0,33.0,64.0,78.0,101.0,62.0,151.0,150.0,67.0,22.0,155.0,91.0,19.0,8.0,58.0,28.0,19.0,48.0
29.0,Choi Goho (최고호),1176.0,231.0,155.0,155.0,73.0,32.0,45.0,47.0,18.0,140.0,42.0,24.0,69.0,48.0,31.0,19.0,19.0,28.0
30.0,Minhyun Kim (김민현),1195.0,171.0,48.0,51.0,59.0,55.0,53.0,14.0,3.0,95.0,133.0,43.0,140.0,203.0,99.0,8.0,7.0,13.0
