Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Andrey Che,253.0,2.0,9.0,4.0,1.0,15.0,18.0,25.0,5.0,1.0,11.0,2.0,5.0,30.0,8.0,34.0,20.0,63.0
2.0,Alexey Zharikov,372.0,15.0,20.0,2.0,4.0,1.0,1.0,40.0,1.0,32.0,84.0,14.0,38.0,29.0,6.0,34.0,20.0,31.0
3.0,Ilya Nazarov,459.0,16.0,45.0,7.0,10.0,30.0,30.0,73.0,5.0,7.0,31.0,28.0,4.0,19.0,8.0,34.0,20.0,92.0
4.0,Maxim Ilin,476.0,32.0,13.0,35.0,17.0,33.0,19.0,52.0,14.0,17.0,39.0,25.0,48.0,5.0,7.0,34.0,20.0,66.0
5.0,Alexander Bashutkin,507.0,1.0,7.0,3.0,2.0,10.0,16.0,185.0,28.0,6.0,55.0,22.0,1.0,12.0,13.0,34.0,20.0,92.0
6.0,Alexey Kislovskiy,596.0,103.0,160.0,30.0,34.0,23.0,28.0,13.0,21.0,39.0,16.0,23.0,26.0,20.0,18.0,10.0,20.0,12.0
7.0,Vladimir Korovin,699.0,22.0,80.0,44.0,62.0,57.0,58.0,20.0,43.0,42.0,70.0,16.0,54.0,15.0,28.0,28.0,20.0,40.0
8.0,Ivan Zabrodin,871.0,150.0,38.0,62.0,70.0,34.0,27.0,44.0,21.0,58.0,15.0,87.0,55.0,22.0,125.0,20.0,18.0,25.0
9.0,Artem Yashkov,944.0,58.0,29.0,9.0,26.0,31.0,45.0,234.0,68.0,28.0,52.0,43.0,128.0,24.0,23.0,34.0,20.0,92.0
10.0,Dmitry Kryuzban,954.0,33.0,33.0,58.0,36.0,20.0,21.0,151.0,59.0,165.0,8.0,17.0,6.0,175.0,36.0,34.0,20.0,82.0
11.0,Artyom Martirosov,985.0,43.0,85.0,11.0,7.0,2.0,7.0,1.0,33.0,40.0,177.0,52.0,350.0,144.0,20.0,4.0,3.0,6.0
12.0,Ivan Polkanov (Иван Полканов),1001.0,13.0,17.0,5.0,3.0,53.0,259.0,29.0,352.0,11.0,21.0,42.0,46.0,8.0,45.0,34.0,20.0,43.0
13.0,Dmitry Aniskin,1020.0,23.0,29.0,56.0,74.0,95.0,77.0,125.0,49.0,21.0,87.0,15.0,136.0,67.0,25.0,34.0,20.0,87.0
14.0,Stepan Makarenko,1061.0,75.0,141.0,26.0,11.0,26.0,34.0,65.0,87.0,83.0,46.0,26.0,169.0,124.0,2.0,34.0,20.0,92.0
15.0,Vyacheslav Kochergin (Вячеслав Кочергин),1064.0,20.0,23.0,18.0,20.0,27.0,31.0,296.0,213.0,133.0,37.0,12.0,22.0,17.0,49.0,34.0,20.0,92.0
16.0,David Arzamastsev,1110.0,50.0,71.0,67.0,56.0,78.0,62.0,296.0,33.0,37.0,40.0,44.0,7.0,13.0,110.0,34.0,20.0,92.0
17.0,Timur Imanov,1117.0,31.0,25.0,71.0,71.0,111.0,132.0,239.0,9.0,24.0,117.0,8.0,36.0,62.0,35.0,34.0,20.0,92.0
18.0,Vladislav Kozhin,1148.0,65.0,124.0,43.0,35.0,32.0,40.0,296.0,43.0,41.0,48.0,92.0,72.0,2.0,69.0,34.0,20.0,92.0
19.0,Fedor Abaev,1284.0,155.0,80.0,131.0,90.0,66.0,94.0,18.0,14.0,137.0,34.0,169.0,52.0,92.0,82.0,17.0,20.0,33.0
20.0,Grigoriy Barashkin,1286.0,23.0,40.0,20.0,44.0,106.0,223.0,296.0,80.0,7.0,138.0,34.0,12.0,36.0,81.0,34.0,20.0,92.0
21.0,Danila Ryabinin,1292.0,81.0,3.0,54.0,21.0,12.0,8.0,21.0,49.0,33.0,377.0,32.0,380.0,97.0,32.0,34.0,20.0,38.0
22.0,Mikhail Kuzin,1293.0,252.0,78.0,65.0,42.0,72.0,89.0,135.0,28.0,117.0,51.0,70.0,52.0,6.0,135.0,34.0,20.0,47.0
23.0,Pavel Mesyatsev,1296.0,53.0,34.0,24.0,27.0,36.0,59.0,296.0,352.0,98.0,36.0,19.0,3.0,101.0,12.0,34.0,20.0,92.0
24.0,Dmitry Zvyagintsev,1299.0,26.0,44.0,14.0,24.0,5.0,10.0,104.0,49.0,18.0,420.0,71.0,171.0,94.0,103.0,34.0,20.0,92.0
24.0,Pavel Galaktionov,1299.0,18.0,48.0,22.0,15.0,21.0,22.0,296.0,14.0,3.0,447.0,103.0,24.0,26.0,94.0,34.0,20.0,92.0
26.0,Timofei Tarasenko,1312.0,3.0,69.0,1.0,5.0,4.0,9.0,296.0,352.0,2.0,71.0,1.0,15.0,305.0,33.0,34.0,20.0,92.0
27.0,Semen Artyukhov,1366.0,52.0,122.0,48.0,31.0,11.0,20.0,296.0,115.0,51.0,75.0,47.0,125.0,4.0,223.0,34.0,20.0,92.0
28.0,Mikhail Kopylov (Михаил Копылов),1413.0,45.0,157.0,36.0,48.0,38.0,259.0,296.0,115.0,26.0,26.0,7.0,93.0,97.0,24.0,34.0,20.0,92.0
29.0,Sergey Chirin,1441.0,167.0,102.0,50.0,78.0,54.0,81.0,296.0,59.0,64.0,103.0,118.0,40.0,79.0,4.0,34.0,20.0,92.0
30.0,Ekaterina Kaneva,1548.0,30.0,1.0,92.0,96.0,45.0,78.0,95.0,352.0,407.0,95.0,60.0,32.0,9.0,10.0,34.0,20.0,92.0
31.0,Aleksandr Beznogov,1633.0,13.0,51.0,116.0,115.0,321.0,259.0,296.0,3.0,60.0,93.0,51.0,10.0,7.0,92.0,34.0,20.0,92.0
32.0,Chingizkhan Mukhametdinov,1637.0,94.0,124.0,66.0,49.0,42.0,33.0,296.0,149.0,141.0,231.0,57.0,46.0,116.0,47.0,34.0,20.0,92.0
33.0,Anatoly Turenko (Анатолий Туренко),1655.0,8.0,51.0,17.0,91.0,321.0,259.0,158.0,170.0,10.0,13.0,38.0,9.0,292.0,72.0,34.0,20.0,92.0
34.0,Nikita Popkov,1659.0,163.0,213.0,57.0,65.0,62.0,61.0,53.0,87.0,174.0,85.0,55.0,218.0,114.0,106.0,34.0,20.0,92.0
35.0,Vladimir Tikhonenko (Владимир Тихоненко),1706.0,47.0,63.0,104.0,83.0,71.0,174.0,296.0,264.0,21.0,121.0,162.0,89.0,62.0,3.0,34.0,20.0,92.0
36.0,Nikolay Vasilyev,1712.0,185.0,177.0,170.0,103.0,55.0,51.0,111.0,28.0,44.0,101.0,29.0,245.0,174.0,128.0,34.0,20.0,57.0
37.0,Saveliy Surikov,1717.0,56.0,55.0,94.0,163.0,121.0,259.0,296.0,68.0,88.0,221.0,6.0,29.0,85.0,30.0,34.0,20.0,92.0
38.0,Pavel Eroshkin (Павел Ерошкин),1747.0,36.0,48.0,77.0,85.0,75.0,48.0,296.0,352.0,146.0,198.0,3.0,156.0,65.0,16.0,34.0,20.0,92.0
39.0,Andrey Kolevatykh (Андрей Колеватых),1772.0,72.0,65.0,63.0,133.0,96.0,134.0,296.0,297.0,19.0,107.0,93.0,82.0,54.0,115.0,34.0,20.0,92.0
40.0,Boris Monakhov,1801.0,119.0,51.0,51.0,157.0,122.0,64.0,156.0,100.0,376.0,125.0,100.0,21.0,73.0,140.0,34.0,20.0,92.0
41.0,Sergey Marin (Сергей Марьин),1858.0,121.0,5.0,140.0,216.0,148.0,111.0,34.0,68.0,178.0,23.0,257.0,170.0,111.0,130.0,34.0,20.0,92.0
42.0,Islam Kitiev,1859.0,226.0,3.0,156.0,97.0,70.0,71.0,296.0,100.0,102.0,299.0,5.0,67.0,133.0,88.0,34.0,20.0,92.0
43.0,Evgeniy Mazhara,1869.0,146.0,257.0,139.0,84.0,35.0,60.0,138.0,100.0,113.0,163.0,129.0,181.0,71.0,132.0,34.0,20.0,67.0
44.0,Timur Kononov (Тимур Кононов),1918.0,122.0,47.0,129.0,173.0,206.0,259.0,203.0,33.0,99.0,168.0,73.0,33.0,104.0,123.0,34.0,20.0,92.0
45.0,Deni Mintsaev (Дени Минцаев),1965.0,116.0,57.0,99.0,205.0,116.0,95.0,4.0,3.0,104.0,118.0,242.0,139.0,359.0,268.0,14.0,12.0,14.0
46.0,Vladislav Shurshilin,2031.0,81.0,72.0,93.0,196.0,321.0,259.0,51.0,200.0,94.0,89.0,265.0,101.0,23.0,40.0,34.0,20.0,92.0
47.0,Dmitry Dergunov,2035.0,11.0,41.0,46.0,64.0,39.0,65.0,296.0,14.0,5.0,559.0,110.0,261.0,124.0,254.0,34.0,20.0,92.0
48.0,Maxim Brednev (Максим Бреднев),2056.0,116.0,122.0,84.0,40.0,321.0,259.0,82.0,255.0,382.0,3.0,115.0,18.0,106.0,38.0,34.0,20.0,61.0
49.0,Ewsey Obzherin,2104.0,151.0,127.0,53.0,28.0,19.0,14.0,296.0,137.0,377.0,465.0,36.0,65.0,53.0,137.0,34.0,20.0,92.0
50.0,Iurii Chesnokov (Юрий Чесноков),2115.0,132.0,264.0,76.0,93.0,60.0,47.0,296.0,352.0,326.0,99.0,41.0,76.0,28.0,79.0,34.0,20.0,92.0
