Rank,name,Sum,333,222,444,555,333oh,clock,minx,pyram,skewb,sq1
1.0,Hussain Bukhamsin,30.0,9.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0
2.0,Mohammed A. Abualsaud,45.0,5.0,1.0,5.0,3.0,12.0,3.0,3.0,2.0,7.0,4.0
3.0,Rayan Ali Al Hamad,60.0,19.0,7.0,3.0,2.0,7.0,3.0,2.0,5.0,8.0,4.0
4.0,Omar Boodai,69.0,12.0,3.0,4.0,3.0,8.0,3.0,3.0,26.0,3.0,4.0
5.0,Hussain Alasiri,73.0,1.0,31.0,17.0,3.0,12.0,3.0,1.0,3.0,1.0,1.0
6.0,Hussain Albaqshi,76.0,7.0,6.0,17.0,3.0,10.0,3.0,3.0,7.0,16.0,4.0
7.0,Muhammad Mubarak,80.0,6.0,10.0,7.0,3.0,2.0,3.0,3.0,26.0,16.0,4.0
7.0,Omar Alshenawy,80.0,10.0,18.0,6.0,3.0,12.0,3.0,3.0,8.0,13.0,4.0
9.0,Ali Mohammed Ghazzawi,85.0,4.0,12.0,11.0,3.0,3.0,3.0,3.0,26.0,16.0,4.0
10.0,Fahad Almakrami,88.0,11.0,15.0,17.0,3.0,12.0,3.0,3.0,4.0,16.0,4.0
10.0,Abdulmohsin Almarzouq,88.0,20.0,9.0,12.0,3.0,11.0,3.0,3.0,11.0,12.0,4.0
12.0,Hatim Nadeem,90.0,22.0,8.0,17.0,3.0,12.0,3.0,3.0,12.0,6.0,4.0
13.0,Mishari Alhussain,91.0,23.0,5.0,17.0,3.0,12.0,2.0,3.0,17.0,5.0,4.0
13.0,Fadil Binjabi (فاضل احمد بنجابي),91.0,14.0,16.0,8.0,3.0,4.0,3.0,3.0,20.0,16.0,4.0
15.0,Faisal Al Nahwi,93.0,24.0,4.0,13.0,3.0,12.0,3.0,3.0,23.0,4.0,4.0
15.0,Nawaf Aldrees,93.0,2.0,31.0,1.0,1.0,6.0,3.0,3.0,26.0,16.0,4.0
17.0,Hasan Yasir Shosho,106.0,8.0,14.0,17.0,3.0,12.0,3.0,3.0,26.0,16.0,4.0
17.0,Ali Wajih Alsafwani,106.0,13.0,20.0,17.0,3.0,9.0,3.0,3.0,18.0,16.0,4.0
19.0,Rishit Agarwal,112.0,35.0,19.0,15.0,3.0,12.0,3.0,3.0,9.0,10.0,3.0
