Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Luka Jankovic,56.0,5.0,10.0,1.0,1.0,2.0,2.0,4.0,1.0,6.0,2.0,2.0,11.0,4.0,1.0,2.0,2.0
2.0,Aleksa Radovanović,79.0,3.0,9.0,2.0,2.0,1.0,1.0,11.0,4.0,5.0,6.0,4.0,16.0,5.0,4.0,2.0,4.0
3.0,Bogdan Čumić,96.0,7.0,4.0,5.0,5.0,10.0,12.0,6.0,13.0,8.0,13.0,1.0,1.0,2.0,3.0,2.0,4.0
3.0,Jakov Ljubicic,96.0,4.0,1.0,7.0,7.0,6.0,6.0,11.0,6.0,4.0,1.0,5.0,5.0,17.0,10.0,2.0,4.0
5.0,Stefan Šebez,103.0,1.0,3.0,3.0,3.0,3.0,5.0,11.0,13.0,3.0,13.0,6.0,17.0,14.0,2.0,2.0,4.0
6.0,Luka Stošić,144.0,13.0,8.0,9.0,10.0,16.0,12.0,7.0,10.0,19.0,13.0,7.0,7.0,1.0,6.0,2.0,4.0
7.0,Ivan Miletić,155.0,12.0,21.0,4.0,4.0,4.0,3.0,1.0,2.0,9.0,13.0,8.0,10.0,51.0,11.0,1.0,1.0
8.0,Mihajlo Sremac,158.0,6.0,7.0,18.0,20.0,16.0,12.0,11.0,8.0,11.0,4.0,10.0,6.0,8.0,15.0,2.0,4.0
9.0,Matej Marčok,174.0,2.0,2.0,15.0,25.0,16.0,12.0,11.0,13.0,1.0,8.0,9.0,4.0,16.0,34.0,2.0,4.0
10.0,Olivera Radovanović,184.0,21.0,16.0,10.0,6.0,9.0,9.0,11.0,8.0,21.0,13.0,11.0,2.0,29.0,12.0,2.0,4.0
11.0,Đorđe Vuković,189.0,9.0,5.0,8.0,19.0,16.0,12.0,11.0,13.0,14.0,13.0,3.0,21.0,9.0,30.0,2.0,4.0
12.0,Petar Mladenović,192.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,13.0,0.0,13.0,0.0,0.0,97.0,36.0,2.0,4.0
13.0,Nikola Lazarevic,221.0,27.0,14.0,6.0,8.0,16.0,12.0,11.0,13.0,20.0,13.0,17.0,13.0,36.0,9.0,2.0,4.0
14.0,Djordje Timotijevic,249.0,40.0,17.0,14.0,36.0,16.0,12.0,11.0,13.0,12.0,11.0,12.0,3.0,10.0,36.0,2.0,4.0
15.0,Nikola Acimović,252.0,34.0,11.0,20.0,22.0,16.0,12.0,11.0,11.0,36.0,13.0,30.0,9.0,13.0,8.0,2.0,4.0
16.0,Dunja Dosen Majkic,301.0,23.0,27.0,38.0,38.0,16.0,12.0,11.0,13.0,33.0,13.0,19.0,12.0,15.0,25.0,2.0,4.0
17.0,Lazar Žujović,318.0,18.0,18.0,28.0,44.0,16.0,12.0,9.0,13.0,24.0,13.0,41.0,29.0,11.0,36.0,2.0,4.0
18.0,Damjan Sredojević,329.0,15.0,12.0,24.0,44.0,16.0,12.0,11.0,13.0,7.0,13.0,41.0,76.0,3.0,36.0,2.0,4.0
19.0,Vuk Ilic,342.0,28.0,34.0,35.0,15.0,16.0,12.0,11.0,13.0,15.0,13.0,41.0,54.0,20.0,29.0,2.0,4.0
20.0,Aleksandar Siljanoski,345.0,25.0,66.0,11.0,9.0,5.0,4.0,11.0,13.0,28.0,13.0,16.0,42.0,60.0,36.0,2.0,4.0
21.0,Viktor Nedeljković,353.0,22.0,26.0,71.0,44.0,16.0,12.0,11.0,13.0,39.0,13.0,41.0,28.0,6.0,5.0,2.0,4.0
22.0,Fotina Ilić,362.0,20.0,18.0,17.0,44.0,16.0,12.0,11.0,13.0,89.0,13.0,41.0,14.0,12.0,36.0,2.0,4.0
23.0,Luka Lukić,381.0,17.0,12.0,72.0,44.0,16.0,12.0,11.0,13.0,15.0,13.0,32.0,8.0,97.0,13.0,2.0,4.0
24.0,Vukašin Šućur,382.0,31.0,22.0,40.0,44.0,16.0,12.0,11.0,13.0,48.0,13.0,41.0,18.0,31.0,36.0,2.0,4.0
25.0,Aleksa Ilić,390.0,33.0,54.0,27.0,23.0,16.0,12.0,11.0,13.0,38.0,12.0,35.0,24.0,59.0,27.0,2.0,4.0
26.0,Janko Vučetić,399.0,55.0,30.0,41.0,44.0,16.0,12.0,11.0,13.0,70.0,13.0,18.0,19.0,37.0,14.0,2.0,4.0
27.0,Nikolaj Jokic,400.0,14.0,31.0,16.0,29.0,16.0,12.0,11.0,13.0,13.0,13.0,41.0,62.0,97.0,26.0,2.0,4.0
28.0,Veljko Vitkovac,410.0,11.0,18.0,52.0,44.0,16.0,12.0,11.0,13.0,10.0,13.0,41.0,30.0,97.0,36.0,2.0,4.0
29.0,Dušan Mašović,412.0,42.0,39.0,101.0,44.0,16.0,12.0,11.0,13.0,26.0,13.0,41.0,23.0,7.0,18.0,2.0,4.0
30.0,Nikola Kojić,420.0,49.0,35.0,42.0,35.0,16.0,12.0,11.0,13.0,77.0,9.0,29.0,33.0,25.0,28.0,2.0,4.0
30.0,David Buzgo,420.0,8.0,24.0,13.0,14.0,16.0,12.0,11.0,3.0,25.0,3.0,38.0,133.0,97.0,17.0,2.0,4.0
32.0,Lazar Bojanić,424.0,30.0,31.0,53.0,31.0,16.0,12.0,11.0,13.0,29.0,13.0,41.0,45.0,57.0,36.0,2.0,4.0
