Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Wong Chong Wen (黄崇文),100.0,7.0,14.0,1.0,8.0,8.0,8.0,9.0,1.0,5.0,3.0,9.0,4.0,4.0,6.0,4.0,4.0,5.0
2.0,Tristan Chua Yong,126.0,2.0,1.0,4.0,2.0,2.0,1.0,47.0,8.0,9.0,7.0,1.0,1.0,1.0,2.0,9.0,7.0,22.0
3.0,Daryl Tan Hong An,191.0,6.0,13.0,2.0,1.0,1.0,2.0,32.0,13.0,3.0,30.0,8.0,7.0,7.0,30.0,9.0,7.0,20.0
4.0,Dylan Seah Tze Siang,212.0,10.0,16.0,12.0,10.0,10.0,5.0,47.0,7.0,22.0,11.0,6.0,3.0,6.0,9.0,9.0,7.0,22.0
5.0,Lee Yu Zhe,279.0,16.0,43.0,9.0,7.0,9.0,11.0,47.0,26.0,1.0,20.0,7.0,18.0,14.0,13.0,9.0,7.0,22.0
6.0,Isaac Lai Yin Chung,285.0,17.0,18.0,10.0,14.0,22.0,21.0,16.0,8.0,19.0,81.0,2.0,9.0,5.0,5.0,9.0,7.0,22.0
7.0,Ng Yong Teng,341.0,1.0,21.0,6.0,4.0,4.0,7.0,37.0,11.0,6.0,45.0,5.0,24.0,92.0,40.0,9.0,7.0,22.0
8.0,Darius Soh Zi Jie,407.0,13.0,40.0,13.0,15.0,17.0,19.0,47.0,66.0,17.0,34.0,27.0,15.0,28.0,18.0,9.0,7.0,22.0
9.0,Ng Jun Jie,456.0,29.0,17.0,15.0,43.0,53.0,54.0,47.0,8.0,56.0,12.0,41.0,25.0,11.0,7.0,9.0,7.0,22.0
10.0,Gabriel Tan,491.0,27.0,7.0,7.0,19.0,25.0,25.0,47.0,66.0,40.0,67.0,55.0,16.0,21.0,31.0,9.0,7.0,22.0
11.0,Theodore Chan,518.0,66.0,34.0,84.0,59.0,49.0,46.0,1.0,5.0,13.0,4.0,28.0,45.0,32.0,46.0,1.0,2.0,3.0
12.0,Andrew Tan Jing Bang,547.0,80.0,20.0,63.0,49.0,32.0,31.0,6.0,18.0,102.0,10.0,43.0,19.0,47.0,8.0,6.0,6.0,7.0
13.0,Jonathan Chng,550.0,11.0,6.0,5.0,6.0,6.0,9.0,47.0,26.0,12.0,81.0,25.0,182.0,49.0,47.0,9.0,7.0,22.0
14.0,Beth Lee,567.0,57.0,83.0,35.0,24.0,26.0,39.0,47.0,66.0,32.0,16.0,3.0,40.0,41.0,20.0,9.0,7.0,22.0
15.0,Nigel Phang,570.0,28.0,3.0,73.0,80.0,69.0,66.0,47.0,41.0,69.0,9.0,36.0,6.0,2.0,3.0,9.0,7.0,22.0
