Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Jakub Drobný,54.0,5.0,2.0,6.0,4.0,3.0,3.0,3.0,5.0,7.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0
2.0,Marek Majerik,82.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,12.0,9.0,2.0,4.0,5.0,6.0,4.0,2.0,7.0
3.0,Samuel Simko,83.0,3.0,6.0,5.0,6.0,5.0,5.0,5.0,1.0,3.0,10.0,3.0,2.0,9.0,8.0,4.0,2.0,6.0
4.0,Tomáš Zatroch,92.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,32.0,6.0,3.0,10.0,2.0,4.0,2.0,7.0
5.0,Šimon Borovský,108.0,8.0,9.0,8.0,8.0,6.0,8.0,2.0,9.0,19.0,1.0,4.0,5.0,7.0,10.0,1.0,1.0,2.0
6.0,Timotej Andrejko,152.0,6.0,14.0,3.0,3.0,11.0,14.0,19.0,6.0,11.0,7.0,5.0,20.0,11.0,9.0,4.0,2.0,7.0
7.0,Dalibor Mrška,183.0,18.0,14.0,14.0,19.0,20.0,17.0,11.0,1.0,2.0,14.0,17.0,7.0,1.0,15.0,4.0,2.0,7.0
8.0,Eduard Mrug,186.0,16.0,16.0,12.0,13.0,9.0,10.0,12.0,4.0,14.0,11.0,10.0,13.0,21.0,12.0,4.0,2.0,7.0
9.0,Oliver Kugler,195.0,13.0,20.0,7.0,7.0,4.0,4.0,19.0,27.0,6.0,32.0,9.0,16.0,11.0,7.0,4.0,2.0,7.0
10.0,Timotej Šimurka,197.0,12.0,10.0,21.0,11.0,8.0,9.0,14.0,14.0,15.0,32.0,14.0,8.0,2.0,14.0,4.0,2.0,7.0
11.0,Matúš Buffa,221.0,15.0,21.0,19.0,10.0,10.0,7.0,19.0,9.0,8.0,32.0,24.0,25.0,4.0,5.0,4.0,2.0,7.0
11.0,Karol Tomík,221.0,17.0,7.0,10.0,25.0,20.0,19.0,19.0,22.0,13.0,17.0,8.0,12.0,8.0,11.0,4.0,2.0,7.0
13.0,Michaela Švecová,281.0,31.0,17.0,34.0,29.0,20.0,19.0,19.0,27.0,17.0,24.0,13.0,9.0,6.0,3.0,4.0,2.0,7.0
14.0,Adam Frátrik,322.0,4.0,11.0,4.0,5.0,20.0,19.0,19.0,27.0,46.0,32.0,47.0,11.0,17.0,47.0,4.0,2.0,7.0
15.0,Nikolas Márkus,331.0,69.0,19.0,35.0,23.0,15.0,18.0,7.0,12.0,29.0,3.0,42.0,18.0,15.0,16.0,4.0,2.0,4.0
16.0,Timo Hromádka,340.0,30.0,35.0,23.0,16.0,14.0,19.0,1.0,27.0,18.0,29.0,22.0,32.0,25.0,44.0,2.0,2.0,1.0
17.0,Filip Hrnko,344.0,20.0,22.0,13.0,14.0,12.0,11.0,19.0,8.0,10.0,32.0,27.0,67.0,29.0,47.0,4.0,2.0,7.0
18.0,Simon Rúčka,345.0,27.0,45.0,18.0,17.0,20.0,13.0,19.0,27.0,22.0,32.0,12.0,39.0,23.0,18.0,4.0,2.0,7.0
19.0,Vincent Švec,367.0,22.0,35.0,15.0,20.0,20.0,19.0,19.0,27.0,23.0,32.0,31.0,14.0,52.0,25.0,4.0,2.0,7.0
20.0,Philipp Ručka,382.0,10.0,12.0,31.0,28.0,20.0,19.0,19.0,21.0,1.0,32.0,47.0,24.0,72.0,33.0,4.0,2.0,7.0
20.0,Matej Kawulok,382.0,21.0,3.0,39.0,36.0,20.0,19.0,19.0,27.0,35.0,32.0,20.0,10.0,43.0,45.0,4.0,2.0,7.0
22.0,Mário Dominik Gejdoš,414.0,58.0,24.0,64.0,45.0,20.0,19.0,19.0,15.0,30.0,12.0,28.0,6.0,14.0,47.0,4.0,2.0,7.0
23.0,Michal Vasko,427.0,26.0,41.0,9.0,9.0,7.0,6.0,19.0,12.0,9.0,32.0,15.0,126.0,56.0,47.0,4.0,2.0,7.0
24.0,Anton Mozola,431.0,9.0,8.0,24.0,58.0,20.0,19.0,19.0,15.0,4.0,32.0,47.0,126.0,16.0,21.0,4.0,2.0,7.0
25.0,Samuel Kuchár,437.0,25.0,17.0,29.0,58.0,20.0,19.0,19.0,18.0,27.0,32.0,47.0,44.0,22.0,47.0,4.0,2.0,7.0
26.0,Denis Saniga,440.0,38.0,13.0,37.0,40.0,20.0,19.0,19.0,27.0,68.0,32.0,25.0,29.0,13.0,47.0,4.0,2.0,7.0
