Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Matic Omulec,66.0,5.0,6.0,2.0,1.0,1.0,1.0,7.0,2.0,6.0,9.0,1.0,2.0,6.0,2.0,6.0,3.0,6.0
2.0,Marcel Ručigaj,75.0,2.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,11.0,3.0,15.0,10.0,9.0,1.0,1.0,2.0
3.0,Jure Gregorc,88.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,7.0,12.0,8.0,6.0,3.0,9.0
4.0,Staš Zupanc,112.0,1.0,1.0,1.0,2.0,3.0,4.0,19.0,8.0,1.0,33.0,5.0,5.0,3.0,6.0,6.0,3.0,11.0
5.0,Nejc Ian Čurman,143.0,4.0,7.0,9.0,9.0,9.0,11.0,19.0,11.0,4.0,28.0,6.0,3.0,2.0,1.0,6.0,3.0,11.0
6.0,Rok Glinšek,150.0,13.0,11.0,6.0,6.0,6.0,8.0,19.0,11.0,9.0,6.0,8.0,18.0,5.0,4.0,6.0,3.0,11.0
7.0,Jakob Kitak,200.0,6.0,5.0,14.0,19.0,14.0,27.0,19.0,24.0,13.0,19.0,7.0,1.0,1.0,11.0,6.0,3.0,11.0
7.0,Matej Bolta,200.0,7.0,2.0,10.0,12.0,20.0,7.0,2.0,8.0,10.0,33.0,2.0,54.0,17.0,10.0,3.0,2.0,1.0
9.0,Blaž Dobravec,225.0,12.0,10.0,4.0,10.0,29.0,18.0,14.0,11.0,5.0,33.0,16.0,12.0,15.0,16.0,6.0,3.0,11.0
10.0,Erik Červek Roškarič,235.0,18.0,20.0,15.0,17.0,13.0,12.0,8.0,8.0,32.0,3.0,23.0,21.0,10.0,15.0,6.0,3.0,11.0
11.0,Dušan Zakelšek,241.0,30.0,16.0,34.0,15.0,17.0,17.0,4.0,3.0,33.0,5.0,20.0,4.0,29.0,5.0,2.0,3.0,4.0
12.0,Filip Barbirič Frank,267.0,17.0,8.0,17.0,25.0,18.0,27.0,11.0,23.0,40.0,1.0,9.0,6.0,45.0,3.0,6.0,3.0,8.0
13.0,Matej Brkić,268.0,21.0,19.0,12.0,11.0,11.0,16.0,19.0,24.0,22.0,10.0,49.0,9.0,4.0,21.0,6.0,3.0,11.0
14.0,Anton Kokalj Pezzano,281.0,9.0,18.0,28.0,13.0,12.0,10.0,19.0,24.0,21.0,13.0,37.0,11.0,20.0,26.0,6.0,3.0,11.0
15.0,Jernej Omulec,305.0,29.0,33.0,31.0,18.0,15.0,14.0,19.0,6.0,31.0,16.0,11.0,19.0,30.0,13.0,6.0,3.0,11.0
16.0,Lan Fabjan,317.0,13.0,40.0,7.0,8.0,16.0,13.0,12.0,24.0,24.0,33.0,17.0,34.0,32.0,24.0,6.0,3.0,11.0
17.0,Darko Zakelšek,331.0,35.0,13.0,18.0,24.0,29.0,22.0,9.0,6.0,20.0,33.0,10.0,35.0,25.0,36.0,6.0,3.0,7.0
18.0,Taiyo Bercic,351.0,11.0,31.0,25.0,20.0,29.0,27.0,19.0,24.0,15.0,12.0,19.0,23.0,46.0,30.0,6.0,3.0,11.0
19.0,Jan Vodopivec Suhadolc,356.0,15.0,30.0,8.0,29.0,29.0,27.0,19.0,24.0,7.0,33.0,12.0,29.0,38.0,36.0,6.0,3.0,11.0
20.0,Juš Mejaš,376.0,28.0,28.0,21.0,23.0,22.0,23.0,19.0,5.0,11.0,33.0,49.0,38.0,20.0,36.0,6.0,3.0,11.0
21.0,Peter Kropec,395.0,35.0,9.0,26.0,28.0,29.0,27.0,19.0,24.0,8.0,33.0,21.0,46.0,34.0,36.0,6.0,3.0,11.0
22.0,Tine Kalač,417.0,25.0,35.0,22.0,14.0,10.0,27.0,19.0,24.0,50.0,33.0,36.0,50.0,16.0,36.0,6.0,3.0,11.0
23.0,Marko Obradović,429.0,32.0,41.0,42.0,35.0,23.0,27.0,19.0,24.0,43.0,14.0,13.0,16.0,52.0,28.0,6.0,3.0,11.0
