Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Ruben Grobler,54.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,5.0
2.0,Maverick Pearson,152.0,7.0,2.0,9.0,8.0,9.0,8.0,7.0,5.0,8.0,23.0,7.0,7.0,12.0,19.0,7.0,6.0,8.0
3.0,Osman Badroodin,157.0,10.0,5.0,4.0,3.0,4.0,4.0,31.0,2.0,6.0,28.0,6.0,10.0,6.0,1.0,12.0,6.0,19.0
4.0,Daniel Rush,161.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,35.0,12.0,9.0,2.0,6.0,36.0,5.0,12.0,6.0,19.0
5.0,Dylan Swarts,173.0,17.0,18.0,5.0,10.0,5.0,7.0,1.0,21.0,21.0,22.0,9.0,15.0,8.0,10.0,1.0,1.0,2.0
6.0,Heinrich de Lange,193.0,16.0,22.0,14.0,11.0,12.0,12.0,4.0,5.0,14.0,15.0,1.0,26.0,9.0,15.0,5.0,6.0,6.0
7.0,Samuel Collett,232.0,15.0,19.0,13.0,5.0,7.0,10.0,20.0,25.0,15.0,2.0,11.0,33.0,18.0,9.0,12.0,6.0,12.0
8.0,Conor Cronin,237.0,42.0,55.0,15.0,9.0,10.0,5.0,8.0,9.0,16.0,3.0,10.0,20.0,5.0,7.0,8.0,5.0,10.0
9.0,Cameron Blumenow,309.0,5.0,15.0,11.0,12.0,20.0,33.0,36.0,35.0,7.0,49.0,26.0,4.0,11.0,8.0,12.0,6.0,19.0
10.0,Joshua Christian Marais,323.0,9.0,50.0,17.0,23.0,19.0,24.0,28.0,5.0,1.0,5.0,5.0,77.0,3.0,20.0,12.0,6.0,19.0
11.0,Waseem Hoosain,333.0,3.0,37.0,2.0,4.0,6.0,27.0,36.0,14.0,2.0,38.0,4.0,12.0,75.0,36.0,12.0,6.0,19.0
11.0,Jesse Osburn,333.0,25.0,20.0,19.0,14.0,22.0,17.0,36.0,35.0,41.0,11.0,14.0,5.0,31.0,6.0,12.0,6.0,19.0
13.0,Marike Faught,351.0,27.0,59.0,12.0,7.0,8.0,6.0,5.0,20.0,23.0,40.0,12.0,47.0,56.0,21.0,2.0,3.0,3.0
14.0,Calum Visagie,398.0,30.0,40.0,18.0,21.0,21.0,18.0,36.0,16.0,10.0,46.0,39.0,37.0,16.0,13.0,12.0,6.0,19.0
15.0,Shivaan Harichander,402.0,2.0,9.0,7.0,62.0,41.0,41.0,36.0,35.0,3.0,49.0,25.0,14.0,38.0,3.0,12.0,6.0,19.0
16.0,Andreas de Lange,419.0,23.0,12.0,22.0,31.0,30.0,41.0,36.0,12.0,25.0,26.0,40.0,57.0,25.0,2.0,12.0,6.0,19.0
17.0,Nicholas Gray,465.0,0.0,0.0,0.0,0.0,41.0,41.0,36.0,35.0,0.0,49.0,159.0,0.0,0.0,67.0,12.0,6.0,19.0
18.0,Jesse Tipton,501.0,111.0,75.0,39.0,41.0,25.0,23.0,26.0,9.0,37.0,7.0,19.0,27.0,1.0,24.0,12.0,6.0,19.0
19.0,Pieterjan Joubert,505.0,45.0,44.0,21.0,22.0,11.0,9.0,36.0,35.0,33.0,49.0,8.0,44.0,71.0,40.0,12.0,6.0,19.0
20.0,Emile Compion,518.0,77.0,16.0,25.0,13.0,17.0,15.0,9.0,9.0,28.0,16.0,35.0,139.0,81.0,17.0,6.0,6.0,9.0
21.0,Markus Visagie,544.0,50.0,85.0,48.0,20.0,13.0,13.0,36.0,35.0,42.0,25.0,13.0,52.0,42.0,33.0,12.0,6.0,19.0
22.0,Zandré Calitz,572.0,22.0,46.0,50.0,34.0,41.0,41.0,36.0,35.0,105.0,19.0,21.0,25.0,28.0,32.0,12.0,6.0,19.0
23.0,Pranav Ramraj,587.0,29.0,78.0,38.0,28.0,41.0,41.0,36.0,35.0,19.0,49.0,57.0,8.0,24.0,67.0,12.0,6.0,19.0
24.0,Ian Luies,589.0,70.0,21.0,16.0,15.0,14.0,11.0,36.0,35.0,32.0,17.0,49.0,108.0,87.0,41.0,12.0,6.0,19.0
25.0,Lonwabo Mvovo,596.0,37.0,56.0,71.0,33.0,41.0,41.0,23.0,35.0,11.0,49.0,16.0,56.0,23.0,67.0,12.0,6.0,19.0
26.0,Isaac Scheepers,616.0,6.0,22.0,8.0,19.0,41.0,41.0,36.0,35.0,26.0,31.0,17.0,54.0,213.0,30.0,12.0,6.0,19.0
27.0,Taariq Hassim,625.0,80.0,112.0,20.0,16.0,23.0,21.0,14.0,22.0,64.0,18.0,45.0,61.0,72.0,35.0,9.0,6.0,7.0
27.0,Brendan James Gray,625.0,120.0,171.0,51.0,52.0,31.0,29.0,11.0,4.0,24.0,12.0,46.0,17.0,14.0,14.0,10.0,6.0,13.0
29.0,Patrick Ellis,640.0,28.0,45.0,10.0,18.0,16.0,14.0,27.0,18.0,9.0,49.0,38.0,51.0,213.0,67.0,12.0,6.0,19.0
29.0,Justin Zhang,640.0,24.0,58.0,23.0,38.0,32.0,25.0,36.0,35.0,49.0,41.0,54.0,75.0,46.0,67.0,12.0,6.0,19.0
31.0,Shane Swanepoel,653.0,67.0,25.0,30.0,45.0,29.0,31.0,36.0,16.0,38.0,43.0,94.0,38.0,57.0,67.0,12.0,6.0,19.0
32.0,Quinton Scholtz,660.0,47.0,24.0,32.0,59.0,41.0,41.0,36.0,30.0,100.0,20.0,55.0,29.0,65.0,44.0,12.0,6.0,19.0
33.0,Timothy Lawrance,663.0,166.0,89.0,65.0,39.0,24.0,20.0,6.0,1.0,132.0,14.0,47.0,19.0,20.0,12.0,3.0,2.0,4.0
34.0,Jaco Momberg,667.0,68.0,139.0,70.0,25.0,26.0,19.0,12.0,23.0,55.0,48.0,48.0,28.0,30.0,39.0,12.0,6.0,19.0
35.0,Tristan Ford,679.0,75.0,130.0,57.0,57.0,41.0,41.0,18.0,35.0,47.0,8.0,18.0,89.0,4.0,22.0,12.0,6.0,19.0
36.0,Jaron Weyermüller,686.0,35.0,65.0,33.0,35.0,41.0,41.0,15.0,35.0,28.0,49.0,31.0,153.0,51.0,37.0,12.0,6.0,19.0
37.0,Jaméan Groenewald,708.0,58.0,25.0,41.0,17.0,15.0,22.0,36.0,35.0,69.0,49.0,90.0,114.0,89.0,11.0,12.0,6.0,19.0
38.0,Christian Swartz,722.0,34.0,27.0,42.0,63.0,41.0,41.0,36.0,35.0,27.0,49.0,159.0,29.0,35.0,67.0,12.0,6.0,19.0
39.0,Riley Naidoo,732.0,76.0,48.0,63.0,24.0,27.0,30.0,36.0,35.0,59.0,39.0,32.0,116.0,62.0,48.0,12.0,6.0,19.0
40.0,Chase Lee Roodt,743.0,134.0,6.0,104.0,65.0,41.0,41.0,36.0,35.0,117.0,24.0,24.0,2.0,10.0,67.0,12.0,6.0,19.0
41.0,Noah Levin,754.0,123.0,63.0,58.0,69.0,41.0,41.0,36.0,8.0,31.0,49.0,60.0,98.0,22.0,18.0,12.0,6.0,19.0
42.0,Micah Willenburgh,761.0,141.0,31.0,96.0,60.0,41.0,41.0,36.0,35.0,76.0,49.0,27.0,42.0,33.0,16.0,12.0,6.0,19.0
43.0,Andre Johannes Goosen,764.0,55.0,204.0,31.0,128.0,41.0,41.0,21.0,35.0,61.0,13.0,34.0,3.0,18.0,42.0,12.0,6.0,19.0
44.0,George Guvamatanga,788.0,39.0,101.0,64.0,32.0,33.0,41.0,16.0,29.0,17.0,10.0,159.0,104.0,43.0,67.0,12.0,6.0,15.0
45.0,Charlie Cleworth,807.0,13.0,11.0,93.0,128.0,41.0,41.0,36.0,35.0,53.0,49.0,159.0,45.0,40.0,26.0,12.0,6.0,19.0
46.0,Zander Daniel Wessels,813.0,181.0,128.0,67.0,49.0,28.0,28.0,36.0,35.0,93.0,6.0,44.0,35.0,21.0,25.0,12.0,6.0,19.0
47.0,Herman Fourie,815.0,21.0,123.0,6.0,6.0,2.0,3.0,36.0,35.0,22.0,49.0,159.0,36.0,213.0,67.0,12.0,6.0,19.0
48.0,Christiaan Botha,824.0,51.0,34.0,79.0,53.0,41.0,41.0,36.0,28.0,40.0,49.0,43.0,12.0,213.0,67.0,12.0,6.0,19.0
49.0,Thomas Lourens,827.0,142.0,90.0,75.0,56.0,41.0,41.0,36.0,35.0,108.0,49.0,23.0,39.0,26.0,29.0,12.0,6.0,19.0
50.0,Jonathan Munro,831.0,11.0,17.0,24.0,29.0,41.0,41.0,32.0,26.0,20.0,49.0,159.0,113.0,168.0,67.0,12.0,6.0,16.0
51.0,Stephen Cotterrell,895.0,31.0,96.0,26.0,48.0,41.0,41.0,36.0,35.0,35.0,49.0,64.0,76.0,213.0,67.0,12.0,6.0,19.0
52.0,Raefe Roodt,900.0,41.0,42.0,52.0,58.0,41.0,41.0,36.0,35.0,118.0,37.0,72.0,185.0,67.0,38.0,12.0,6.0,19.0
53.0,Jan-Hendrik Hoogendyk,927.0,20.0,7.0,40.0,128.0,41.0,41.0,36.0,35.0,35.0,49.0,159.0,63.0,213.0,23.0,12.0,6.0,19.0
54.0,Nkosinathi Radebe,971.0,91.0,72.0,72.0,46.0,41.0,41.0,34.0,35.0,107.0,49.0,61.0,124.0,94.0,67.0,12.0,6.0,19.0
