Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Carlos Méndez García-Barroso,178.0,2.0,5.0,9.0,13.0,19.0,16.0,9.0,8.0,1.0,5.0,9.0,31.0,2.0,1.0,23.0,14.0,11.0
2.0,Manuel Prieto de Antón,206.0,5.0,10.0,11.0,14.0,12.0,13.0,23.0,5.0,12.0,6.0,4.0,3.0,1.0,13.0,19.0,14.0,41.0
3.0,Josete Sánchez,256.0,15.0,24.0,29.0,18.0,9.0,7.0,2.0,40.0,2.0,14.0,10.0,30.0,25.0,25.0,3.0,1.0,2.0
4.0,Arnau Tous Mateu,349.0,11.0,17.0,25.0,20.0,15.0,19.0,59.0,36.0,5.0,12.0,11.0,1.0,4.0,14.0,30.0,14.0,56.0
5.0,Álvaro Aguilar Salobreña,355.0,19.0,3.0,10.0,25.0,39.0,38.0,20.0,20.0,11.0,28.0,26.0,37.0,56.0,3.0,10.0,5.0,5.0
6.0,Julen Simón Iriarte,411.0,14.0,2.0,19.0,31.0,23.0,28.0,15.0,53.0,19.0,48.0,27.0,42.0,40.0,15.0,15.0,8.0,12.0
7.0,Miguel Ángel González-Herrero García,426.0,10.0,1.0,20.0,20.0,38.0,39.0,32.0,40.0,25.0,52.0,12.0,8.0,15.0,10.0,30.0,14.0,60.0
8.0,Raúl Cuevas Castillo,427.0,30.0,65.0,31.0,29.0,42.0,45.0,16.0,36.0,20.0,13.0,2.0,6.0,28.0,24.0,7.0,14.0,19.0
9.0,Daniel Gracia Ortiz,430.0,17.0,7.0,27.0,37.0,36.0,36.0,6.0,47.0,17.0,26.0,65.0,15.0,11.0,7.0,8.0,14.0,54.0
10.0,Antonio López,461.0,7.0,30.0,18.0,6.0,2.0,2.0,5.0,40.0,22.0,110.0,5.0,89.0,31.0,60.0,4.0,14.0,16.0
11.0,Alberto Pérez de Rada Fiol,496.0,20.0,23.0,40.0,33.0,17.0,18.0,24.0,10.0,23.0,45.0,20.0,18.0,37.0,97.0,21.0,14.0,36.0
11.0,Mauro Moisés Ortega López,496.0,16.0,10.0,3.0,3.0,5.0,6.0,178.0,1.0,8.0,25.0,17.0,26.0,62.0,21.0,30.0,14.0,71.0
13.0,Rafael Rodriguez Santana,498.0,8.0,27.0,6.0,26.0,37.0,47.0,30.0,2.0,14.0,40.0,73.0,52.0,27.0,33.0,28.0,14.0,34.0
14.0,Ting Sheng Bao Yang,539.0,44.0,18.0,43.0,17.0,16.0,15.0,53.0,16.0,67.0,9.0,44.0,9.0,52.0,31.0,30.0,14.0,61.0
15.0,Lorenzo Escobar Kraskouskaya,568.0,1.0,18.0,12.0,19.0,31.0,31.0,178.0,36.0,7.0,28.0,37.0,21.0,18.0,16.0,30.0,14.0,71.0
16.0,Daniel Ortega Pastor,576.0,54.0,49.0,13.0,22.0,22.0,40.0,65.0,16.0,61.0,35.0,18.0,18.0,20.0,28.0,30.0,14.0,71.0
17.0,Raúl Martínez Redondo,590.0,25.0,14.0,14.0,9.0,49.0,34.0,134.0,66.0,30.0,30.0,1.0,39.0,3.0,27.0,30.0,14.0,71.0
18.0,Jaime Calzado Gomez,595.0,76.0,58.0,56.0,53.0,43.0,44.0,26.0,28.0,43.0,1.0,40.0,11.0,5.0,17.0,27.0,14.0,53.0
19.0,Jorge Castillo Matas,600.0,50.0,12.0,47.0,30.0,32.0,22.0,12.0,16.0,35.0,57.0,49.0,16.0,65.0,76.0,30.0,14.0,37.0
20.0,Adrián Martínez Macías,694.0,22.0,40.0,32.0,41.0,40.0,33.0,36.0,20.0,32.0,23.0,110.0,84.0,35.0,71.0,30.0,14.0,31.0
21.0,Alejandro Nicolay,735.0,66.0,9.0,34.0,56.0,35.0,54.0,110.0,47.0,24.0,76.0,24.0,41.0,42.0,2.0,30.0,14.0,71.0
22.0,Eder Olivencia González,749.0,6.0,18.0,2.0,1.0,1.0,3.0,178.0,161.0,80.0,15.0,3.0,102.0,41.0,23.0,30.0,14.0,71.0
23.0,Diego Serrano Martínez,819.0,48.0,21.0,37.0,34.0,34.0,26.0,100.0,66.0,27.0,39.0,39.0,113.0,54.0,66.0,30.0,14.0,71.0
24.0,Oscar Sánchez Najarro,883.0,87.0,33.0,49.0,57.0,33.0,50.0,74.0,8.0,138.0,74.0,80.0,57.0,24.0,4.0,30.0,14.0,71.0
25.0,Javier López Fernández,943.0,110.0,54.0,89.0,79.0,52.0,46.0,54.0,28.0,105.0,125.0,23.0,22.0,36.0,5.0,30.0,14.0,71.0
26.0,Rubén López de Juan,998.0,67.0,85.0,71.0,49.0,27.0,27.0,178.0,85.0,85.0,62.0,59.0,29.0,48.0,11.0,30.0,14.0,71.0
27.0,Jorge Martín Espinosa,1014.0,63.0,56.0,65.0,46.0,79.0,108.0,71.0,10.0,16.0,151.0,66.0,44.0,44.0,80.0,30.0,14.0,71.0
28.0,Alejandro Riveiro Rodríguez,1016.0,64.0,94.0,60.0,62.0,53.0,58.0,56.0,24.0,83.0,67.0,62.0,49.0,118.0,84.0,29.0,14.0,39.0
29.0,Arián Martín Núñez,1045.0,35.0,64.0,15.0,11.0,26.0,20.0,88.0,103.0,59.0,77.0,6.0,88.0,239.0,99.0,30.0,14.0,71.0
30.0,Jerónimo Ibarra Bernal,1051.0,29.0,37.0,24.0,27.0,18.0,12.0,52.0,10.0,58.0,334.0,100.0,62.0,95.0,109.0,30.0,14.0,40.0
31.0,Laura Tarrés Gimeno,1075.0,114.0,115.0,81.0,101.0,48.0,71.0,106.0,64.0,75.0,72.0,19.0,6.0,43.0,45.0,30.0,14.0,71.0
32.0,Jorge Alfageme Sotillos,1109.0,38.0,36.0,41.0,44.0,25.0,24.0,178.0,66.0,13.0,196.0,92.0,24.0,63.0,154.0,30.0,14.0,71.0
33.0,Artur Miralles Hernàndez,1121.0,109.0,30.0,145.0,129.0,87.0,85.0,13.0,28.0,54.0,70.0,96.0,163.0,57.0,8.0,20.0,14.0,13.0
34.0,Pau Vela García,1135.0,27.0,45.0,59.0,61.0,62.0,70.0,178.0,53.0,48.0,18.0,16.0,96.0,93.0,194.0,30.0,14.0,71.0
35.0,Darío Pérez Melendo,1136.0,107.0,139.0,73.0,38.0,44.0,30.0,178.0,66.0,81.0,96.0,21.0,37.0,73.0,38.0,30.0,14.0,71.0
36.0,Mar Gallego Vicente,1154.0,80.0,72.0,122.0,141.0,89.0,113.0,60.0,66.0,99.0,54.0,33.0,71.0,10.0,48.0,30.0,14.0,52.0
37.0,Laura Freitas Martín,1164.0,127.0,48.0,63.0,76.0,123.0,114.0,46.0,80.0,121.0,67.0,63.0,4.0,50.0,67.0,30.0,14.0,71.0
37.0,Abel Pérez Gisbert,1164.0,53.0,26.0,44.0,45.0,196.0,77.0,44.0,100.0,50.0,50.0,15.0,122.0,105.0,150.0,30.0,14.0,43.0
39.0,Andrés Rodríguez Galán,1174.0,56.0,57.0,7.0,47.0,196.0,162.0,64.0,206.0,101.0,2.0,56.0,2.0,51.0,52.0,30.0,14.0,71.0
40.0,Alexander Olleta del Molino,1235.0,107.0,61.0,97.0,124.0,98.0,106.0,7.0,5.0,55.0,83.0,34.0,45.0,257.0,137.0,6.0,3.0,10.0
41.0,Javier Tovar Castro,1310.0,78.0,177.0,70.0,32.0,14.0,8.0,123.0,154.0,31.0,153.0,118.0,42.0,23.0,172.0,30.0,14.0,71.0
42.0,Jorge Marín Segovia,1359.0,71.0,52.0,21.0,16.0,20.0,21.0,178.0,206.0,33.0,334.0,8.0,111.0,47.0,126.0,30.0,14.0,71.0
43.0,Eki Gartzia González,1381.0,214.0,34.0,172.0,97.0,78.0,76.0,113.0,10.0,92.0,127.0,161.0,31.0,12.0,49.0,30.0,14.0,71.0
44.0,Alberto Romero,1418.0,88.0,41.0,35.0,63.0,55.0,78.0,168.0,85.0,130.0,58.0,99.0,283.0,38.0,82.0,30.0,14.0,71.0
45.0,Sergi Sabat,1445.0,37.0,39.0,36.0,77.0,99.0,121.0,41.0,40.0,113.0,118.0,111.0,92.0,415.0,34.0,30.0,14.0,28.0
46.0,Carlos Molina Alcolea,1477.0,59.0,52.0,64.0,67.0,88.0,83.0,178.0,206.0,72.0,212.0,57.0,96.0,71.0,57.0,30.0,14.0,71.0
47.0,Rodrigo Pueblas Núñez,1516.0,74.0,28.0,52.0,81.0,104.0,103.0,22.0,53.0,15.0,223.0,227.0,355.0,67.0,87.0,5.0,2.0,18.0
48.0,Fernando Sáez Lázaro,1530.0,61.0,122.0,99.0,87.0,75.0,87.0,178.0,96.0,155.0,37.0,272.0,60.0,7.0,79.0,30.0,14.0,71.0
49.0,Pol Juny Sánchez,1597.0,125.0,110.0,90.0,113.0,196.0,162.0,178.0,74.0,76.0,69.0,127.0,122.0,28.0,12.0,30.0,14.0,71.0
50.0,Gonzalo Orellana Barrasa,1642.0,129.0,132.0,131.0,175.0,96.0,100.0,35.0,10.0,78.0,51.0,263.0,33.0,137.0,191.0,22.0,14.0,45.0
51.0,Sergio Torrijos Santano,1664.0,52.0,72.0,96.0,102.0,83.0,96.0,28.0,47.0,28.0,130.0,306.0,310.0,90.0,175.0,18.0,4.0,27.0
