Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
1.0,Nabhan Niyaz,40.0,2.0,6.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,6.0,2.0,1.0
2.0,Sujan Irosha Kumarapperuma,59.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,3.0,5.0,12.0,1.0,1.0,4.0,14.0,4.0
3.0,Banura Perera,102.0,5.0,8.0,7.0,3.0,7.0,7.0,4.0,6.0,15.0,1.0,14.0,5.0,13.0,3.0,4.0
4.0,Jamaal Burah,110.0,9.0,4.0,9.0,11.0,14.0,8.0,7.0,4.0,4.0,15.0,3.0,4.0,10.0,4.0,4.0
5.0,Samath Keppitiyagama,128.0,6.0,12.0,2.0,5.0,4.0,6.0,7.0,17.0,1.0,14.0,4.0,34.0,11.0,1.0,4.0
6.0,Benul Uthsala Subasinghe,155.0,19.0,1.0,15.0,9.0,9.0,5.0,7.0,4.0,21.0,5.0,7.0,16.0,20.0,13.0,4.0
7.0,Ryan Koralalage,165.0,3.0,5.0,16.0,35.0,14.0,8.0,7.0,17.0,5.0,15.0,18.0,8.0,1.0,9.0,4.0
8.0,Duneth Nisala Praveen Ranaweera,177.0,32.0,14.0,11.0,8.0,8.0,8.0,7.0,11.0,22.0,2.0,12.0,25.0,8.0,5.0,4.0
9.0,Dapana Durage Risith Hansindu,185.0,15.0,25.0,14.0,14.0,14.0,8.0,7.0,8.0,17.0,15.0,18.0,10.0,2.0,14.0,4.0
10.0,Mohamed Diwan,219.0,10.0,16.0,13.0,12.0,5.0,8.0,7.0,17.0,9.0,9.0,18.0,43.0,34.0,14.0,4.0
11.0,Hirosh Nividu,223.0,45.0,29.0,32.0,15.0,13.0,8.0,3.0,14.0,13.0,7.0,10.0,12.0,7.0,12.0,3.0
12.0,Sirima Witharanage Sathmika Navoda,248.0,33.0,60.0,8.0,6.0,6.0,4.0,7.0,16.0,49.0,15.0,8.0,13.0,5.0,14.0,4.0
13.0,Abdur Rahman Azmi,249.0,22.0,17.0,23.0,35.0,14.0,8.0,6.0,10.0,64.0,4.0,18.0,14.0,3.0,7.0,4.0
14.0,Tehan Perera,251.0,16.0,35.0,12.0,7.0,14.0,8.0,7.0,17.0,10.0,15.0,18.0,28.0,46.0,14.0,4.0
15.0,Dulina Harshitha Pieris,273.0,38.0,22.0,41.0,35.0,14.0,8.0,7.0,8.0,30.0,15.0,18.0,7.0,12.0,14.0,4.0
16.0,Anok Miranda,279.0,17.0,10.0,4.0,4.0,3.0,2.0,7.0,17.0,14.0,15.0,18.0,104.0,46.0,14.0,4.0
17.0,Praveen Charuka Athauda-Arachchi,299.0,39.0,60.0,29.0,16.0,14.0,8.0,7.0,17.0,27.0,15.0,18.0,2.0,29.0,14.0,4.0
18.0,Manija Kalansooriya,300.0,18.0,7.0,22.0,13.0,14.0,8.0,7.0,17.0,20.0,15.0,18.0,104.0,19.0,14.0,4.0
19.0,Abdul Azeez Harees,321.0,11.0,11.0,25.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,69.0,9.0,14.0,4.0
20.0,Sahas Thathmira Bandara Palihana,323.0,21.0,15.0,76.0,35.0,14.0,8.0,7.0,17.0,18.0,15.0,18.0,15.0,46.0,14.0,4.0
21.0,Dihindu Ambegoda,335.0,13.0,31.0,10.0,35.0,14.0,8.0,7.0,17.0,8.0,15.0,18.0,95.0,46.0,14.0,4.0
22.0,Pinindu Liyanage,343.0,14.0,37.0,76.0,35.0,14.0,8.0,7.0,17.0,23.0,15.0,6.0,55.0,18.0,14.0,4.0
23.0,Lisul Jayasinghe,362.0,20.0,24.0,34.0,35.0,14.0,8.0,7.0,17.0,24.0,15.0,18.0,82.0,46.0,14.0,4.0
24.0,Sasindu Himansa,365.0,44.0,86.0,17.0,10.0,14.0,8.0,7.0,17.0,36.0,15.0,18.0,29.0,46.0,14.0,4.0
24.0,Mihidu Warnakulasuriya Fernando,365.0,56.0,30.0,40.0,35.0,14.0,8.0,7.0,17.0,52.0,15.0,18.0,30.0,25.0,14.0,4.0
26.0,Dulain James Theverapperuma,373.0,30.0,44.0,19.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,38.0,46.0,14.0,4.0
27.0,Robosriyas Stravakske Fernando,378.0,55.0,33.0,24.0,21.0,14.0,8.0,7.0,17.0,29.0,15.0,18.0,104.0,15.0,14.0,4.0
28.0,Kalindu Sachintha Wijesundara,380.0,78.0,94.0,37.0,17.0,10.0,8.0,2.0,1.0,31.0,6.0,13.0,46.0,24.0,11.0,2.0
29.0,Menuli Vidhanya Ranwala,382.0,47.0,50.0,35.0,35.0,14.0,8.0,7.0,7.0,64.0,15.0,18.0,18.0,46.0,14.0,4.0
30.0,Navindu Sandira Nissanka,384.0,42.0,36.0,42.0,35.0,14.0,8.0,7.0,17.0,26.0,15.0,18.0,60.0,46.0,14.0,4.0
31.0,Santhiviraj Harikesh,388.0,50.0,21.0,76.0,35.0,14.0,8.0,7.0,17.0,19.0,15.0,18.0,44.0,46.0,14.0,4.0
32.0,Imaduwa Wickramarachchige Chandima Jeewantha Wickramarachchi,390.0,36.0,28.0,76.0,35.0,14.0,8.0,7.0,17.0,33.0,15.0,18.0,39.0,46.0,14.0,4.0
33.0,Naveed Irshad,394.0,46.0,64.0,21.0,35.0,14.0,8.0,7.0,14.0,64.0,15.0,18.0,53.0,21.0,10.0,4.0
34.0,Thisanda Wickramasinghe,396.0,52.0,63.0,18.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,50.0,23.0,8.0,4.0
35.0,Sithupa Sanudaya,398.0,34.0,19.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,27.0,46.0,14.0,4.0
36.0,Neleththi Nipun Maleesha Divyanjana,403.0,68.0,84.0,43.0,18.0,14.0,8.0,7.0,17.0,38.0,15.0,18.0,23.0,32.0,14.0,4.0
37.0,Godagama Gamachchige Senuk Dihein Gamachchi,409.0,54.0,26.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,11.0,46.0,14.0,4.0
38.0,Chamod Malshan Senevirathna,416.0,24.0,26.0,20.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,104.0,46.0,14.0,4.0
39.0,Soniru Dinulaka,419.0,28.0,18.0,27.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,104.0,46.0,14.0,4.0
39.0,Sanith Himsara Karunatilake,419.0,57.0,9.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,35.0,46.0,14.0,4.0
41.0,Hirun Randilu Wijesekara Dissanayake,425.0,48.0,47.0,76.0,35.0,14.0,8.0,7.0,17.0,25.0,15.0,18.0,51.0,46.0,14.0,4.0
42.0,Seth De Silva,432.0,8.0,2.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,104.0,46.0,14.0,4.0
43.0,Chahel Chiranjeev Yapa Bandara Udawela,433.0,81.0,76.0,45.0,35.0,14.0,8.0,7.0,17.0,39.0,15.0,11.0,48.0,27.0,6.0,4.0
44.0,Yusri Ahamed,434.0,29.0,65.0,46.0,35.0,14.0,8.0,7.0,17.0,12.0,15.0,18.0,104.0,46.0,14.0,4.0
45.0,Vidul Omike Kumarawadu,438.0,66.0,40.0,76.0,35.0,14.0,8.0,7.0,11.0,64.0,15.0,18.0,20.0,46.0,14.0,4.0
46.0,Humaid Musthak,440.0,26.0,53.0,76.0,35.0,14.0,8.0,7.0,17.0,35.0,15.0,18.0,72.0,46.0,14.0,4.0
46.0,Umar Adheeb Rizni,440.0,41.0,57.0,76.0,35.0,14.0,8.0,7.0,17.0,46.0,15.0,18.0,74.0,14.0,14.0,4.0
48.0,Hilaal Zain,442.0,25.0,52.0,76.0,35.0,14.0,8.0,7.0,17.0,7.0,15.0,18.0,104.0,46.0,14.0,4.0
49.0,Aydin Mubeen,443.0,37.0,53.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,35.0,46.0,14.0,4.0
50.0,Theviru Vihansith Samaraweera,445.0,4.0,167.0,5.0,35.0,14.0,8.0,5.0,17.0,2.0,15.0,5.0,104.0,46.0,14.0,4.0
51.0,Nadeesh Peiris,446.0,86.0,55.0,47.0,28.0,14.0,8.0,7.0,13.0,57.0,13.0,18.0,54.0,28.0,14.0,4.0
52.0,Iyaad Fuwad,447.0,53.0,71.0,36.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,51.0,40.0,14.0,4.0
53.0,Saniru Sandes Bandara Sarathchandra,452.0,31.0,70.0,28.0,35.0,14.0,8.0,7.0,17.0,42.0,15.0,18.0,103.0,46.0,14.0,4.0
54.0,Mevindu Bashitha Rajapaksha,454.0,12.0,20.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,104.0,46.0,14.0,4.0
55.0,Pettagan Rashane Pankaja De Silva,455.0,69.0,51.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,11.0,18.0,41.0,26.0,14.0,4.0
56.0,Basnayaka Appuhamilage Methuka Sandil Tissera,459.0,61.0,43.0,76.0,35.0,14.0,8.0,7.0,17.0,28.0,15.0,18.0,73.0,46.0,14.0,4.0
57.0,Abethunga Kankanam Gamachchige Sanuth Dulmina,464.0,80.0,48.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,48.0,16.0,14.0,4.0
57.0,Layuru Chenuka,464.0,67.0,34.0,76.0,22.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,58.0,46.0,14.0,4.0
59.0,Aravindth Satheeskumar,470.0,107.0,32.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,37.0,22.0,14.0,4.0
59.0,Savain Adikari,470.0,91.0,69.0,76.0,35.0,14.0,8.0,7.0,17.0,64.0,15.0,18.0,21.0,17.0,14.0,4.0
61.0,Senuka Seneviratne,472.0,7.0,167.0,5.0,35.0,14.0,8.0,7.0,17.0,11.0,15.0,18.0,104.0,46.0,14.0,4.0
