Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Daniel Wallin,87.0,4.0,13.0,3.0,9.0,8.0,9.0,1.0,3.0,3.0,2.0,10.0,7.0,6.0,6.0,1.0,1.0,1.0
2.0,Jakob Gunnarsson,97.0,2.0,6.0,6.0,5.0,6.0,5.0,2.0,2.0,1.0,17.0,1.0,19.0,5.0,7.0,3.0,4.0,6.0
3.0,William Jensen,118.0,8.0,8.0,2.0,1.0,2.0,1.0,5.0,10.0,9.0,7.0,4.0,16.0,3.0,4.0,11.0,10.0,17.0
4.0,Elvin Thorsen,144.0,1.0,1.0,16.0,12.0,11.0,11.0,3.0,3.0,34.0,8.0,5.0,3.0,4.0,16.0,4.0,3.0,9.0
5.0,Helmer Ewert,151.0,18.0,3.0,5.0,16.0,14.0,12.0,6.0,6.0,7.0,13.0,13.0,5.0,21.0,1.0,2.0,5.0,4.0
6.0,Joel Lundström,295.0,29.0,25.0,15.0,11.0,10.0,8.0,15.0,13.0,26.0,10.0,2.0,13.0,40.0,14.0,15.0,18.0,31.0
7.0,Simon Westlund,310.0,24.0,13.0,17.0,8.0,5.0,7.0,10.0,10.0,10.0,29.0,3.0,35.0,80.0,34.0,10.0,8.0,7.0
8.0,Leo Lindqvist,343.0,30.0,5.0,20.0,15.0,20.0,35.0,26.0,13.0,5.0,46.0,17.0,29.0,9.0,10.0,21.0,18.0,24.0
9.0,Alvar Nylén,378.0,13.0,9.0,7.0,3.0,1.0,2.0,34.0,111.0,16.0,15.0,18.0,13.0,25.0,2.0,34.0,18.0,57.0
10.0,Marcus Moberg,395.0,26.0,29.0,38.0,35.0,47.0,71.0,4.0,7.0,32.0,9.0,41.0,9.0,1.0,12.0,7.0,12.0,15.0
11.0,Mattias Uvesten,397.0,5.0,2.0,9.0,10.0,21.0,20.0,103.0,16.0,8.0,45.0,8.0,6.0,10.0,25.0,34.0,18.0,57.0
12.0,Toni Beljo,486.0,16.0,17.0,1.0,6.0,9.0,14.0,56.0,35.0,18.0,133.0,28.0,4.0,35.0,22.0,34.0,18.0,40.0
13.0,Govend Avgerinos Djangoi,513.0,48.0,52.0,25.0,17.0,12.0,21.0,103.0,22.0,59.0,4.0,6.0,8.0,14.0,13.0,34.0,18.0,57.0
