Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Kai-Wen Wang (王楷文),131.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,33.0,4.0,26.0,6.0,13.0,14.0,2.0,15.0
2.0,Cian-Jyun Yang (楊謙君),149.0,12.0,7.0,7.0,4.0,2.0,2.0,9.0,1.0,24.0,9.0,12.0,4.0,1.0,3.0,14.0,10.0,28.0
3.0,Chao-Che Chung (鍾肇哲),232.0,19.0,19.0,13.0,11.0,11.0,12.0,28.0,13.0,12.0,7.0,16.0,25.0,3.0,9.0,13.0,10.0,11.0
4.0,Ho Hsieh (謝合),234.0,21.0,9.0,6.0,8.0,21.0,17.0,24.0,6.0,23.0,14.0,8.0,6.0,6.0,8.0,14.0,10.0,33.0
5.0,Ping-Yueh Huang (黃品越),295.0,2.0,15.0,5.0,3.0,5.0,1.0,36.0,6.0,3.0,25.0,3.0,42.0,20.0,72.0,14.0,10.0,33.0
6.0,Wei-Ming Zeng (曾唯銘),299.0,7.0,15.0,4.0,5.0,6.0,8.0,68.0,24.0,13.0,13.0,26.0,3.0,21.0,29.0,14.0,10.0,33.0
7.0,Yi-Fan Wu (吳亦凡),349.0,3.0,8.0,2.0,2.0,4.0,6.0,8.0,35.0,6.0,31.0,17.0,46.0,55.0,69.0,14.0,10.0,33.0
8.0,Shih-Hao Wang (王士豪),422.0,15.0,59.0,15.0,6.0,1.0,5.0,104.0,3.0,7.0,54.0,11.0,65.0,16.0,4.0,14.0,10.0,33.0
9.0,Lee Chiang (蔣礪),519.0,23.0,35.0,35.0,22.0,36.0,26.0,104.0,47.0,32.0,12.0,39.0,7.0,2.0,42.0,14.0,10.0,33.0
10.0,Rui-Jun Liu (劉睿鈞),571.0,54.0,62.0,24.0,26.0,23.0,21.0,104.0,6.0,45.0,26.0,25.0,32.0,59.0,7.0,14.0,10.0,33.0
11.0,Bo-Yan Wu (吳柏彥),577.0,41.0,31.0,25.0,17.0,17.0,22.0,52.0,6.0,33.0,197.0,14.0,2.0,22.0,41.0,14.0,10.0,33.0
12.0,Shao-Heng Hung (洪紹恆),588.0,46.0,12.0,33.0,43.0,20.0,24.0,104.0,64.0,113.0,1.0,19.0,10.0,11.0,31.0,14.0,10.0,33.0
13.0,Yen-An Chen (陳彥安),616.0,39.0,19.0,20.0,19.0,13.0,16.0,29.0,64.0,80.0,2.0,57.0,99.0,100.0,2.0,14.0,10.0,33.0
14.0,Yu-Kai Chen (陳宇楷),629.0,38.0,2.0,18.0,24.0,25.0,19.0,104.0,127.0,54.0,22.0,28.0,27.0,33.0,51.0,14.0,10.0,33.0
15.0,Shu-Yii Luo (駱書翊),654.0,70.0,37.0,34.0,50.0,31.0,35.0,82.0,6.0,22.0,58.0,54.0,42.0,10.0,66.0,14.0,10.0,33.0
16.0,Ruei-Jyun Chang (張睿鈞),668.0,103.0,110.0,49.0,30.0,12.0,11.0,104.0,17.0,53.0,4.0,76.0,5.0,17.0,20.0,14.0,10.0,33.0
17.0,Jun-Rui Rao (饒峻睿),696.0,8.0,18.0,11.0,14.0,14.0,14.0,104.0,20.0,20.0,197.0,6.0,120.0,31.0,62.0,14.0,10.0,33.0
18.0,Ruei-Ying Huang (黃睿穎),741.0,78.0,47.0,62.0,63.0,41.0,39.0,79.0,2.0,46.0,82.0,7.0,31.0,53.0,54.0,14.0,10.0,33.0
19.0,Yen-Pin Xiao (蕭彥平),797.0,75.0,105.0,64.0,39.0,40.0,44.0,104.0,29.0,38.0,18.0,49.0,18.0,94.0,23.0,14.0,10.0,33.0
20.0,Kai-Lun Cheng (鄭凱倫),804.0,23.0,105.0,9.0,13.0,22.0,20.0,104.0,35.0,43.0,78.0,66.0,24.0,4.0,201.0,14.0,10.0,33.0
21.0,Wei-Chen Hsieh (謝維宸),838.0,17.0,11.0,41.0,42.0,62.0,72.0,104.0,127.0,56.0,3.0,151.0,72.0,18.0,5.0,14.0,10.0,33.0
22.0,He-Ping Zheng (鄭和平),872.0,4.0,5.0,3.0,9.0,7.0,9.0,104.0,127.0,4.0,197.0,43.0,17.0,49.0,237.0,14.0,10.0,33.0
23.0,Chun-Pao Ni (倪君寶),900.0,82.0,97.0,28.0,16.0,8.0,4.0,104.0,44.0,34.0,114.0,58.0,62.0,81.0,111.0,14.0,10.0,33.0
24.0,Shao-Yu Hu (胡紹宇),921.0,51.0,69.0,53.0,36.0,38.0,46.0,104.0,35.0,8.0,113.0,38.0,68.0,109.0,96.0,14.0,10.0,33.0
25.0,Yu-Nan Chen (陳宥男),970.0,65.0,127.0,17.0,44.0,64.0,114.0,104.0,127.0,9.0,28.0,65.0,56.0,56.0,37.0,14.0,10.0,33.0
26.0,Rui Yu (余睿),1010.0,28.0,176.0,31.0,7.0,10.0,10.0,104.0,84.0,26.0,21.0,126.0,157.0,15.0,158.0,14.0,10.0,33.0
27.0,Cheng-Ying Lee (李承穎),1040.0,11.0,58.0,10.0,20.0,16.0,51.0,104.0,127.0,16.0,197.0,36.0,12.0,88.0,237.0,14.0,10.0,33.0
28.0,Derek Hsieh,1073.0,12.0,24.0,52.0,58.0,200.0,0.0,104.0,127.0,5.0,197.0,0.0,0.0,0.0,237.0,14.0,10.0,33.0
29.0,Wayne Pi,1112.0,109.0,153.0,38.0,66.0,71.0,60.0,7.0,35.0,61.0,120.0,9.0,44.0,264.0,65.0,5.0,4.0,1.0
30.0,Chih-Chuan Yang (楊智全),1124.0,31.0,96.0,66.0,35.0,42.0,59.0,1.0,97.0,97.0,96.0,125.0,143.0,115.0,90.0,14.0,10.0,7.0
31.0,Chun-Chen Chu (朱峻辰),1137.0,99.0,64.0,163.0,108.0,63.0,34.0,104.0,24.0,47.0,65.0,94.0,47.0,51.0,117.0,14.0,10.0,33.0
32.0,Chung-Han Hsu (許鍾瀚),1145.0,91.0,105.0,76.0,69.0,43.0,54.0,104.0,78.0,88.0,155.0,15.0,102.0,92.0,16.0,14.0,10.0,33.0
33.0,Cheng-Hua Wu (巫政樺),1164.0,35.0,71.0,12.0,25.0,15.0,37.0,104.0,70.0,120.0,135.0,53.0,151.0,129.0,150.0,14.0,10.0,33.0
34.0,Yueh-Lin Tsai (蔡岳霖),1179.0,18.0,33.0,23.0,10.0,19.0,13.0,104.0,61.0,125.0,148.0,87.0,191.0,212.0,78.0,14.0,10.0,33.0
35.0,Hong-An Lai (賴泓安),1184.0,57.0,94.0,44.0,53.0,37.0,89.0,62.0,127.0,83.0,35.0,106.0,269.0,43.0,28.0,14.0,10.0,33.0
35.0,Shun-Hsin Chang (張舜欣),1184.0,112.0,116.0,39.0,91.0,88.0,96.0,34.0,70.0,304.0,10.0,2.0,30.0,93.0,52.0,14.0,10.0,23.0
37.0,Jie-Yu Xie (謝傑宇),1199.0,25.0,48.0,83.0,137.0,120.0,134.0,104.0,113.0,131.0,61.0,104.0,22.0,28.0,32.0,14.0,10.0,33.0
38.0,Zi-Xian Liao (廖子賢),1233.0,89.0,137.0,19.0,20.0,24.0,25.0,86.0,29.0,89.0,67.0,127.0,38.0,290.0,136.0,14.0,10.0,33.0
39.0,Kuo-Hau Wu (吳國豪),1234.0,37.0,78.0,16.0,15.0,9.0,7.0,23.0,51.0,36.0,197.0,73.0,82.0,415.0,138.0,14.0,10.0,33.0
40.0,Chia-Liang Tai (戴嘉良),1254.0,192.0,41.0,206.0,239.0,124.0,115.0,63.0,61.0,29.0,17.0,78.0,13.0,9.0,10.0,14.0,10.0,33.0
41.0,Yu-Chi Hou (侯宥圻),1271.0,127.0,56.0,44.0,74.0,86.0,111.0,20.0,70.0,154.0,48.0,84.0,189.0,72.0,79.0,14.0,10.0,33.0
